time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/learning_rate,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/clip_fraction,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss
391,1,1,768,,,,,,,,,,,,
248,2,6,1536,0.00025,0.031526487,18.354461742771996,0.2,0.006331026554107666,1019.0,0.3532986111111111,-1043.3333333333333,0.009134203822921134,21.24545669555664,3,-8.292137331432766
218,3,10,2304,0.00025,0.016930673,21.595312429798973,0.2,-0.03825211524963379,1019.0,0.2925347222222222,-1043.3333333333333,0.0017807188883630766,21.043136596679688,6,-8.271243678198921
204,4,15,3072,0.00025,0.111516215,13.20591053697798,0.2,0.06483668088912964,1019.0,0.5125868055555556,341.1666666666667,0.021450688687360123,22.5000057220459,9,-8.187848488489786
173,5,22,3840,0.00025,0.018648377,20.069686743948196,0.2,-0.0764092206954956,1019.0,0.3146701388888889,341.1666666666667,0.006249092946139474,13.918487548828125,12,-8.160023729006449
174,6,26,4608,0.00025,0.02347674,18.736942264768814,0.2,-0.056291937828063965,1019.0,0.4149305555555556,1660.6666666666667,0.0004162857464204232,15.471426963806152,15,-8.110345575544569
174,7,30,5376,0.00025,0.025248675,13.980944494406382,0.2,0.04248601198196411,1019.0,0.2651909722222222,1660.6666666666667,1.860900212907129e-05,9.40580940246582,18,-8.050530698564318
174,8,35,6144,0.00025,0.057780847,21.23383331298828,0.2,0.00011372566223144531,1019.0,0.4049479166666667,3180.25,0.0172234327894532,12.284078598022461,21,-7.954217414061229
174,9,39,6912,0.00025,0.037081435,15.25286951329973,0.2,-0.0200655460357666,1019.0,0.4275173611111111,3180.25,0.015858107543964352,7.583273410797119,24,-7.874463425742255
175,10,43,7680,0.00025,0.024876377,15.104575203524696,0.2,0.08929431438446045,1019.0,0.3572048611111111,4125.733333333334,0.013268116887451874,7.9879045486450195,27,-7.940797686576843
175,11,48,8448,0.00025,0.023010716,13.37023311191135,0.2,0.1867404580116272,1019.0,0.3289930555555556,4125.733333333334,-0.006249879008262522,2.962791681289673,30,-7.890590104791853
164,12,55,9216,0.00025,0.02613697,12.967253022723728,0.2,0.10277265310287476,1019.0,0.3684895833333333,4980.611111111111,0.006042781880953246,4.337274551391602,33,-7.8165435791015625
164,13,60,9984,0.00025,0.034433052,23.864611208438873,0.2,0.14373546838760376,1019.0,0.3602430555555556,4980.611111111111,0.0015732331667095423,16.844329833984375,36,-7.815816488530901
165,14,64,10752,0.00025,0.06199609,17.8965755171246,0.2,0.20721817016601562,1019.0,0.41796875,5806.047619047619,0.006634319265786972,11.418405532836914,39,-7.712121844291687
165,15,69,11520,0.00025,0.037968088,24.700713561640846,0.2,0.2733939290046692,1019.0,0.4049479166666667,5806.047619047619,0.020299602358136326,10.993532180786133,42,-7.63544088602066
166,16,74,12288,0.00025,0.03880788,23.262540141741436,0.2,0.3316715955734253,1019.0,0.3910590277777778,6822.125,0.016517809669797618,8.848634719848633,45,-7.583939777480231
166,17,78,13056,0.00025,0.048421547,65.77269903818767,0.2,0.21952491998672485,1019.0,0.5334201388888888,6822.125,0.03741027821605611,48.71096420288086,48,-7.478841529952155
166,18,82,13824,0.00025,0.0959208,17.417987280421787,0.2,0.2682150602340698,1019.0,0.5677083333333334,7539.185185185185,0.05350774232970758,12.304461479187012,51,-7.576842526594798
166,19,87,14592,0.00025,0.020273658,61.99951137436761,0.2,0.14107567071914673,1019.0,0.3719618055555556,7539.185185185185,0.02182529936544597,44.068233489990234,54,-7.550281332598792
162,20,94,15360,0.00025,0.06623728,14.56680918402142,0.2,0.39740675687789917,1011.95,0.5017361111111112,7711.483333333334,0.04109602299932805,6.606452465057373,57,-7.565068814489576
162,21,99,16128,0.00025,0.033132724,128.13886313968234,0.2,0.003655731678009033,1011.95,0.3732638888888889,7711.483333333334,0.010818844816337029,78.79605865478516,60,-7.529626813199785
163,22,103,16896,0.00025,0.22825648,18.259158571561176,0.2,-0.8310915231704712,1007.8787878787879,0.6128472222222222,8100.909090909091,0.06437979974887437,8.493366241455078,63,-7.485338336891598
163,23,108,17664,0.00025,0.044329192,80.32707368002997,0.2,0.1351451873779297,999.8059701492538,0.4040798611111111,8091.059701492537,0.027268720454432897,34.35917282104492,66,-6.997210681438446
163,24,112,18432,0.00025,0.06607949,28.25353416469362,0.2,0.7246018648147583,997.375,0.4908854166666667,7972.680555555556,0.03346935453979919,21.50060272216797,69,-7.135501199298435
164,25,116,19200,0.00025,0.049784467,83.58099667231242,0.2,0.44297128915786743,997.6712328767123,0.4040798611111111,7739.013698630137,0.026283881238972146,44.71841812133789,72,-7.332290675905016
164,26,121,19968,0.00025,0.10939625,35.40968261824714,0.2,0.6732450723648071,999.0384615384615,0.6080729166666666,8000.782051282052,0.06754650333378878,16.971111297607422,75,-7.553849067952898
160,27,128,20736,0.00025,0.07262013,119.68360283639696,0.2,0.03755062818527222,999.2911392405064,0.5915798611111112,8014.025316455696,0.039310945120329656,19.918474197387695,78,-7.756140377786425
160,28,133,21504,0.00025,0.04237176,67.57425506909688,0.2,0.546647310256958,1000.4642857142857,0.4079861111111111,8045.940476190476,0.02347630466101691,21.59168815612793,81,-7.635072522693211
161,29,137,22272,0.00025,0.04093982,71.96967946158514,0.2,0.6360819339752197,1000.6823529411764,0.4240451388888889,7997.458823529411,0.022619774364607617,45.2703742980957,84,-7.769918057653639
