time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
114,26,174,19968,-0.24975104526513153,4.255432605743408,0.20031368732452393,75,0.2,5.06186609963576,0.03428819444444445,0.00025,0.02371726,0.006513599623253362,,
121,27,171,20736,-0.17327168749438393,2.2567925453186035,-0.02838420867919922,78,0.2,7.675958300630252,0.022569444444444444,0.00025,0.0037498896,0.0008533822999904967,,
124,28,172,21504,-0.197074288295375,3.2179105281829834,-0.10368132591247559,81,0.2,8.083376424180138,0.010416666666666666,0.00025,0.0021697392,-0.00018896664389305643,,
128,29,172,22272,-0.1728421300649643,1.8032848834991455,-0.062123894691467285,84,0.2,4.370938072601954,0.009982638888888888,0.00025,0.0012394119,7.308625693743427e-05,,
133,30,171,23040,-0.15255265362146828,6.196954250335693,0.02466505765914917,87,0.2,11.228135698371464,0.018229166666666668,0.00025,0.003797752,0.0037809606874361634,,
138,31,172,23808,-0.13493677021728623,3.2713775634765625,0.44573062658309937,90,0.2,7.49712116850747,0.023871527777777776,0.00025,0.01435268,0.00015609948443145386,,
142,32,173,24576,-0.11449488655974467,7.761784076690674,0.2965009808540344,93,0.2,6.679926582508617,0.009982638888888888,0.00025,0.0025438527,-0.0020841910219233897,,
145,33,173,25344,-0.10071876862396796,1.4579931497573853,0.37624186277389526,96,0.2,6.2346217930316925,0.005208333333333333,0.00025,0.0011424526,-0.0006447162013500929,,
149,34,174,26112,-0.12331510987132788,6.3861846923828125,0.6200019121170044,99,0.2,4.307001738084687,0.007378472222222222,0.00025,0.18661815,-0.0011756119137215945,,
156,35,171,26880,-0.30129525158554316,6.111231327056885,0.5826406478881836,102,0.2,6.228512451052666,0.1506076388888889,0.00025,0.00032830393,0.015749233129705924,,
160,36,172,27648,-0.2550131214989556,8.163322448730469,0.6999104022979736,105,0.2,5.581791523430082,0.017795138888888888,0.00025,0.009206721,0.005574986073447185,,
164,37,172,28416,-0.2878285584350427,9.53569507598877,0.8544504642486572,108,0.2,5.438711095187399,0.02734375,0.00025,0.01198241,0.0029254693880728963,,
168,38,173,29184,-0.11302641986144914,4.5192389488220215,0.546352207660675,111,0.2,7.647098650534947,0.016493055555555556,0.00025,0.0037478127,-0.0002459292979134868,,
172,39,173,29952,-0.17642616832421887,2.971834897994995,0.24435633420944214,114,0.2,3.916206416156557,0.0030381944444444445,0.00025,0.0033816977,-0.0012878037167764786,,
