time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate
19,-273.6211666666667,322,1622.0,1,6144,,,,,,,,,,
68,-239.82583329999997,179,1622.0,2,12288,-0.02742265415630148,0.2,0.01608122,-0.003360748291015625,-8.302585830291113,7.96331262588501,16.55390341083209,4,0.2809244791666667,0.00025
106,-210.95752378571427,173,1622.0,3,18432,-0.024930014318670146,0.2,0.015709033,0.10791516304016113,-8.271875470876694,7.298080921173096,17.056433339913685,8,0.2862955729166667,0.00025
145,-191.08449165,168,1622.0,4,24576,-0.02172143130155746,0.2,0.01648419,0.08506852388381958,-8.212715278069178,9.336200714111328,21.160696516434353,12,0.2955322265625,0.00025
184,-180.32009027777778,166,1622.0,5,30720,-0.005330717593703109,0.2,0.040792797,0.15042513608932495,-8.124485860268274,8.153074264526367,25.95701319972674,16,0.377197265625,0.00025
219,-316.37364444444444,167,1622.0,6,36864,0.0021736215615722663,0.2,0.05274049,0.5581108331680298,-8.053816591699919,6.586049556732178,22.300208042065304,20,0.346923828125,0.00025
257,-407.7137500700001,167,1622.0,7,43008,0.009074606889043935,0.2,0.014863718,0.7799957990646362,-7.993118758002917,7.092567443847656,30.612515201171238,24,0.23909505208333334,0.00025
291,-560.1196902,168,1622.0,8,49152,0.013018563935474958,0.2,0.013567965,0.9018598794937134,-7.971954807639122,13.738350868225098,39.34078133106232,28,0.2841389973958333,0.00025
333,-627.2034652500001,165,1611.61,9,55296,0.009930287140984243,0.2,0.022559645,0.9211835265159607,-8.007439076900482,20.987655639648438,54.48209557930628,32,0.2838948567708333,0.00025
380,-691.8439553299999,161,1611.61,10,61440,0.0105412263267984,0.2,0.019405933,0.922061026096344,-8.062647571166357,19.972888946533203,53.034829338391624,36,0.266357421875,0.00025
414,-753.4289203700002,162,1611.61,11,67584,0.006974229424182947,0.2,0.022887437,0.9351755380630493,-8.081813921531042,21.25152587890625,57.4005883137385,40,0.2657470703125,0.00025
447,-756.42716039,164,1611.61,12,73728,0.007269418486127203,0.2,0.021833941,0.9574525952339172,-8.04881458481153,13.382918357849121,45.088317116101585,44,0.2926025390625,0.00025
481,-631.6181053700002,165,1604.21,13,79872,0.017932887009616632,0.2,0.026066652,0.9478598833084106,-8.030615592996279,18.136306762695312,37.498334427674614,48,0.4026692708333333,0.00025
518,-533.82589035,165,1604.21,14,86016,0.007026706169805645,0.2,0.016425995,0.9321198463439941,-7.9759696672360105,23.735118865966797,64.80834134419759,52,0.2574462890625,0.00025
556,-410.63202527999994,165,1605.3,15,92160,0.002382649196079001,0.2,0.015352294,0.9561001658439636,-7.99574243525664,26.735666275024414,59.6859912276268,56,0.214599609375,0.00025
595,-339.4815752200001,165,1573.21,16,98304,0.00393255274927166,0.2,0.013633191,0.9272584915161133,-7.917074690262477,12.690299034118652,37.02664311726888,60,0.277587890625,0.00025
629,-296.1261702,165,1540.78,17,104448,0.005798322364474491,0.2,0.015840935,0.9473676085472107,-7.970074787735939,16.701000213623047,44.81025105714798,64,0.21732584635416666,0.00025
660,-303.83097518999995,167,1521.12,18,110592,0.00882510135609967,0.2,0.021213973,0.9440849423408508,-7.980389614899953,31.798513412475586,70.24977799256642,68,0.2855224609375,0.00025
700,-278.93890515,166,1510.39,19,116736,0.006663638897104344,0.2,0.016735796,0.9594669342041016,-7.95186831553777,11.668893814086914,42.98830759525299,72,0.2665201822916667,0.00025
736,-220.67772505999997,166,1496.42,20,122880,0.0031803680709951245,0.2,0.020820953,0.9292470216751099,-7.916603744029999,18.730751037597656,40.95684401194254,76,0.2837727864583333,0.00025
770,-203.07681508,167,1470.42,21,129024,0.005905289382402164,0.2,0.037290256,0.8724825978279114,-7.913226996858914,11.49268913269043,29.690130074818928,80,0.3642171223958333,0.00025
