time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/clip_fraction,rollout/ep_len_mean,train/entropy_loss
768,1,297,2,,,,,,,,,,,,
1536,2,197,7,21.60530310206943,0.035269257,0.00025,-0.0007699728012084961,0.0038980598910711706,7.697445869445801,-69.700001,3,0.2,0.3845486111111111,1019.0,-8.288743760850695
2304,3,185,12,23.952978783183628,0.028655248,0.00025,-0.009490132331848145,0.012762129242118034,33.263038635253906,-69.700001,6,0.2,0.4075520833333333,1019.0,-8.264575984742907
3072,4,170,18,11.71708189116584,0.12269413,0.00025,0.17486554384231567,0.03254715786574201,12.487946510314941,-59.733334333333325,9,0.2,0.5164930555555556,1019.0,-8.186121967103746
3840,5,164,23,27.632213724984062,0.034751516,0.00025,0.12358605861663818,-0.0025795846142702633,8.844049453735352,-59.733334333333325,12,0.2,0.3780381944444444,1019.0,-8.027703430917528
4608,6,158,29,14.043647925059,0.036130633,0.00025,0.1493743658065796,0.026247235558306176,14.213318824768066,-45.61111177777778,15,0.2,0.40234375,1019.0,-7.877534283532037
5376,7,153,34,15.344483382172054,0.033124674,0.00025,-0.0012410879135131836,-0.008391036005276773,5.009016513824463,-45.61111177777778,18,0.2,0.35546875,1019.0,-7.9216651982731285
6144,8,152,40,18.29873169793023,0.027998403,0.00025,0.15260368585586548,0.04995714239905485,7.423161029815674,-30.391667124999998,21,0.2,0.4505208333333333,1019.0,-7.885706881682078
6912,9,153,44,17.918038533793556,0.055596303,0.00025,-0.519665002822876,0.05367090679808623,6.099925994873047,-30.391667124999998,24,0.2,0.4700520833333333,1019.0,-7.820560289753808
7680,10,152,50,33.00620347923703,0.14115627,0.00025,0.19129300117492676,0.0852109123305935,11.66696548461914,-22.706666799999997,27,0.2,0.6592881944444444,1019.0,-7.2337374620967445
8448,11,152,55,35.18703105714586,0.04284561,0.00025,0.20308518409729004,0.009400415505903462,19.43304443359375,-22.706666799999997,30,0.2,0.4565972222222222,1019.0,-7.628561913967133
9216,12,152,60,16.409052689870197,0.0550203,0.00025,0.42159366607666016,0.061949655775808625,6.858072280883789,-19.722222027777782,33,0.2,0.5746527777777778,1019.0,-7.36460883087582
9984,13,151,65,44.06722446282705,0.04937276,0.00025,0.4227822422981262,0.0321330281569519,25.513893127441406,-19.08108086486487,36,0.2,0.4713541666666667,1003.6756756756756,-7.350076927079095
10752,14,151,70,26.06876336203681,0.049788248,0.00025,0.6844812631607056,0.027147081318414874,22.496845245361328,-28.147618452380954,39,0.2,0.4496527777777778,1000.8571428571429,-7.350937214162615
11520,15,153,75,45.94387719366286,0.073456556,0.00025,0.5959368944168091,0.04492813798909386,12.84552001953125,-26.59302265116279,42,0.2,0.5299479166666666,1001.2790697674419,-7.229496426052517
12288,16,152,80,28.3293053706487,0.06656192,0.00025,0.8015466332435608,0.04499921787323223,27.316875457763672,-38.13749933333333,45,0.2,0.4809027777777778,1003.125,-7.491714689466688
13056,17,151,86,32.5487926668591,0.10497364,0.00025,0.767924427986145,0.05934501581618355,14.817035675048828,-37.4779993,48,0.2,0.6493055555555556,992.98,-7.498149971167247
13824,18,150,91,25.575611114501953,0.08768797,0.00025,0.8268752098083496,0.06113177206781176,16.647123336791992,-32.58727196363636,51,0.2,0.6032986111111112,984.6363636363636,-7.5885516206423445
14592,19,150,96,64.68480422761705,0.077432305,0.00025,0.7864434719085693,0.047725699143484235,51.680152893066406,-51.12857057142857,54,0.2,0.5733506944444444,985.25,-7.612075752682156
15360,20,150,101,26.85576711760627,0.0994452,0.00025,0.9086270928382874,0.038887797104608685,18.666475296020508,-43.440982754098364,57,0.2,0.5177951388888888,988.016393442623,-7.557398888799879
16128,21,152,105,30.695633186234367,0.18967678,0.00025,0.7069683074951172,0.09032919301858379,19.061986923217773,-42.287095935483876,60,0.2,0.6618923611111112,988.516129032258,-7.463513751824697
16896,22,152,110,19.01808661222458,0.05607775,0.00025,0.8264210820198059,0.03711162669221974,6.676425933837891,-36.74179022388059,63,0.2,0.5855034722222222,990.7910447761194,-7.5795961883333
17664,23,152,116,27.187097158696915,0.045241505,0.00025,0.6546609401702881,0.03484589127927191,13.985727310180664,-35.93235213235294,66,0.2,0.5303819444444444,991.2058823529412,-7.521454009744856
18432,24,151,121,18.67849071820577,0.06738455,0.00025,0.8800331354141235,0.043526890170243054,16.913148880004883,-39.4342455890411,69,0.2,0.5243055555555556,993.1095890410959,-7.542887945969899
19200,25,150,127,15.390234298176235,0.22138135,0.00025,0.884860098361969,0.12700079867823255,8.460769653320312,-38.529728756756754,72,0.2,0.6063368055555556,993.4594594594595,-7.208952102396223
19968,26,150,132,19.91100127167172,0.12370821,0.00025,0.6525675058364868,0.07516658292540039,15.611783027648926,-35.12278388607594,75,0.2,0.6293402777777778,995.0759493670886,-7.708964904149373
20736,27,150,137,30.970261838701035,0.056290586,0.00025,0.4993642568588257,0.04941464654661508,19.800098419189453,-34.5099990875,78,0.2,0.5208333333333334,995.375,-7.676271749867333
21504,28,150,142,11.148094760047066,0.08161655,0.00025,0.7876462936401367,0.03963017198515849,5.616048812866211,-31.135293258823523,81,0.2,0.5651041666666666,996.7647058823529,-7.686804585986668
22272,29,150,148,28.691420369678074,0.026686318,0.00025,0.49988842010498047,0.0031540290219709277,34.79928207397461,-30.337208441860458,84,0.2,0.4275173611111111,997.0232558139535,-7.526335484451717
23040,30,151,152,33.155593832333885,0.07380444,0.00025,0.8083924651145935,0.017193896773581702,20.05626678466797,-54.53955925274725,87,0.2,0.4722222222222222,998.2307692307693,-7.508174531989628
23808,31,151,157,41.784268856048584,0.108361475,0.00025,0.8798191547393799,0.04265674411888338,21.160724639892578,-53.582607510869565,90,0.2,0.4874131944444444,998.4565217391304,-7.464532501167721
24576,32,151,162,16.17655838198132,0.048011944,0.00025,0.7509461045265198,0.029743929820445675,6.79050350189209,-50.06288547422681,93,0.2,0.4461805555555556,999.5154639175257,-7.734010047382778
25344,33,150,168,27.829569578170776,0.035613637,0.00025,0.43538904190063477,0.02459544798411015,15.26013469696045,-49.26938664285715,96,0.2,0.4357638888888889,999.7142857142857,-7.554349581400554
26112,34,150,173,15.383543014526367,0.034517527,0.00025,0.788339376449585,0.01139632719827609,5.806639194488525,-44.42799886000001,99,0.2,0.3502604166666667,1000.1,-7.570023788346185
26880,35,150,178,25.812311205599045,0.03250937,0.00025,0.734529972076416,0.012949084759586386,23.728715896606445,-50.34999879,102,0.2,0.3780381944444444,1000.1,-7.674722082085079
27648,36,150,183,15.183493793010712,0.14663337,0.00025,0.8557354807853699,0.05398627616361611,6.6194539070129395,-45.58599868999999,105,0.2,0.5577256944444444,1000.1,-7.6370732055770025
28416,37,150,188,20.340352204110886,0.08064797,0.00025,0.878210186958313,0.04884250522849874,10.732491493225098,-44.75599867,108,0.2,0.5998263888888888,1000.1,-7.72583485311932
29184,38,150,193,19.80533194541931,0.029912114,0.00025,0.680867075920105,0.012750727124512196,15.096382141113281,-42.11999863999999,111,0.2,0.3858506944444444,1000.1,-7.709257708655463
29952,39,150,198,23.70528142982059,0.07673236,0.00025,0.5722781419754028,0.05380859039723873,27.305824279785156,-41.84399864,114,0.2,0.5434027777777778,1000.1,-7.618470893965827
30720,40,150,203,9.627327720324198,0.08218569,0.00025,0.8561730980873108,0.033967804952731565,4.314424514770508,-40.95399864,117,0.2,0.5364583333333334,1000.1,-7.68187720908059
31488,41,150,209,16.602091206444634,0.02490201,0.00025,0.8742632865905762,0.022864439958033875,6.247912406921387,-41.251998640000004,120,0.2,0.41015625,1000.1,-7.787824908892314
32256,42,150,214,13.89509074555503,0.04055989,0.00025,0.8895775675773621,0.030431731280663774,10.608107566833496,-43.10999867,123,0.2,0.47265625,1000.1,-7.693379461765289
33024,43,150,218,15.760933624373543,0.08938378,0.00025,0.7904410362243652,0.02930959621961746,9.242571830749512,-47.00999865,126,0.2,0.50390625,1000.1,-7.7568462822172375
33792,44,150,223,17.935846534040238,0.0739091,0.00025,0.8819326162338257,0.024897252817431256,6.974538803100586,-52.78199867,129,0.2,0.4973958333333333,1000.1,-7.731793608930376
34560,45,151,228,31.365478184488083,0.06267148,0.00025,0.8564479351043701,0.02661426260601729,13.7030668258667,-52.51199869,132,0.2,0.4457465277777778,1000.1,-7.793606890572442
35328,46,150,234,11.319002158111996,0.091686346,0.00025,0.6140716075897217,0.026915803564608924,6.255457878112793,-50.1379988,135,0.2,0.4735243055555556,1007.72,-7.651498079299927
36096,47,150,239,19.019396152761246,0.029529214,0.00025,0.724479079246521,0.032018639004996255,13.499112129211426,-50.639998809999994,138,0.2,0.44921875,1007.72,-7.750600801573859
36864,48,150,244,11.819434768623776,0.025712192,0.00025,0.9272446036338806,0.01356326026790258,7.7602009773254395,-45.21199896,141,0.2,0.3541666666666667,1007.72,-7.737410558594598
37632,49,151,248,13.107675141758389,0.02650302,0.00025,0.9291223287582397,0.008258934844181769,7.410723686218262,-45.23799896,144,0.2,0.3589409722222222,1007.72,-7.877192238966624
38400,50,150,254,10.9805223080847,0.04014012,0.00025,0.8410276174545288,0.016191423094520967,6.4100022315979,-35.59499901000001,147,0.2,0.38671875,1013.11,-7.712823318110572
39168,51,150,259,13.106640186574724,0.03556823,0.00025,0.9241832494735718,0.009219394479360845,11.156094551086426,-34.33199903,150,0.2,0.3836805555555556,1019.0,-7.723156657483843
39936,52,150,264,13.516779071754879,0.08124954,0.00025,0.9052565097808838,0.02423111954703927,9.383675575256348,-28.319999069999998,153,0.2,0.4813368055555556,1019.0,-7.614214950137669
40704,53,150,270,26.40614519516627,0.038556468,0.00025,0.8918546438217163,0.013289039734647505,24.424514770507812,-28.511999079999995,156,0.2,0.3415798611111111,1019.0,-7.7359312706523475
41472,54,150,275,13.87201381391949,0.06672304,0.00025,0.748908281326294,0.0352163334739291,8.73801326751709,-28.797999090000005,159,0.2,0.4934895833333333,1015.36,-7.664639141824511
