time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,train/approx_kl,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/clip_fraction,train/explained_variance,rollout/ep_rew_mean,train/loss,train/n_updates,train/value_loss,train/learning_rate
768,1,3,231,,,,,,,,,,,,
1536,2,8,184,-0.008233289910195809,0.01965233,1019.0,0.2,-8.293532729148865,0.3598090277777778,-0.0067675113677978516,-459.86659633333335,17.684864044189453,3,19.276889244715374,0.00025
2304,3,12,179,-0.007637146058388882,0.027975606,1019.0,0.2,-8.267062067985535,0.3302951388888889,-0.03013157844543457,-459.86659633333335,17.553531646728516,6,23.969280772738987,0.00025
3072,4,17,174,0.01333051105029881,0.054893237,1019.0,0.2,-8.128832817077637,0.4852430555555556,0.034395039081573486,991.7500924166667,13.402894020080566,9,12.074092838499281,0.00025
3840,5,22,172,-0.006024352520600789,0.039856058,1019.0,0.2,-8.014768977959951,0.4001736111111111,0.09862971305847168,991.7500924166667,17.95679473876953,12,20.98376164171431,0.00025
4608,6,27,169,-0.012449132110406127,0.036262546,1019.0,0.2,-7.937829739517635,0.30078125,0.09420651197433472,2426.6001137777776,13.958885192871094,15,16.9593534734514,0.00025
5376,7,32,166,0.023137645601915818,0.097649574,1019.0,0.2,-7.828724112775591,0.5169270833333334,0.03829675912857056,2426.6001137777776,8.862396240234375,18,15.156170944372812,0.00025
6144,8,38,161,0.04391850066733443,0.063288145,1019.0,0.2,-7.474316252602471,0.5720486111111112,-0.053576111793518066,4012.720985458333,21.361570358276367,21,30.335509922769333,0.00025
6912,9,43,160,0.06754832674697456,0.21091802,1019.0,0.2,-7.314473635620541,0.5364583333333334,-0.03297412395477295,4012.720985458333,24.60244369506836,24,82.8271285560396,0.00025
7680,10,47,162,0.11306681679303034,0.1499964,1019.0,0.2,-7.107484817504883,0.6883680555555556,0.5574765801429749,1569.4901659666664,27.2558650970459,27,48.9226721657647,0.00025
8448,11,51,164,0.05708095714605103,0.09667341,1019.0,0.2,-7.105409363905589,0.6145833333333334,0.6761860847473145,1569.4901659666664,50.63578796386719,30,54.276567220687866,0.00025
9216,12,55,166,0.14197967180775273,0.6710929,1019.0,0.2,-6.5729206866688195,0.7760416666666666,0.8757035732269287,-575.4998246944443,16.068187713623047,33,35.00916797584958,0.00025
9984,13,60,163,0.04957677273907595,0.07107064,1019.0,0.2,-6.720205975903405,0.5555555555555556,0.6176034212112427,-575.4998246944443,47.21976852416992,36,68.551223927074,0.00025
10752,14,65,165,0.06339224345154232,0.07303028,1005.2142857142857,0.2,-6.4529193374845715,0.6046006944444444,0.8247407674789429,-372.1617189523809,97.00483703613281,39,90.16046121385362,0.00025
11520,15,69,165,0.03802906381638928,0.09805557,959.0869565217391,0.2,-6.6093007524808245,0.5368923611111112,0.7840474247932434,-118.0019967608695,33.68193817138672,42,70.79582040839725,0.00025
12288,16,73,167,0.07115587796498504,0.17931347,928.3529411764706,0.2,-6.486297229925792,0.6180555555555556,0.7841135859489441,40.97860127450983,49.43613815307617,45,58.41267132759094,0.00025
13056,17,77,168,0.021915063766452175,0.036768947,909.0185185185185,0.2,-6.4666850037044945,0.4305555555555556,0.8050327897071838,88.94090716666669,51.905181884765625,48,78.78915532430013,0.00025
13824,18,81,168,0.02872375840605754,0.06413698,896.5932203389831,0.2,-6.481323003768921,0.4848090277777778,0.8341255187988281,109.81372449152553,25.565393447875977,51,49.750592178768585,0.00025
14592,19,85,169,0.01911231795222395,0.056157064,869.96875,0.2,-6.625754131211175,0.4435763888888889,0.8194810152053833,542.2220370468751,31.987472534179688,54,61.25608627001444,0.00025
15360,20,89,171,0.03513814590405673,0.06224394,853.6666666666666,0.2,-6.678461399343279,0.4422743055555556,0.8858814239501953,743.1871171594205,22.98386001586914,57,41.90053963661194,0.00025
16128,21,96,166,0.11803255293570045,0.5607099,832.5733333333334,0.2,-6.215228935082753,0.7434895833333334,0.8906813263893127,1241.3588258533332,40.22208023071289,60,33.72698517640432,0.00025
16896,22,100,167,0.039060071899762586,0.06811389,804.6341463414634,0.2,-6.308585087458293,0.4835069444444444,0.769034743309021,1497.6025932073169,44.61177062988281,63,57.450503508249916,0.00025
17664,23,105,167,0.03894983096203456,0.047527533,787.448275862069,0.2,-6.459955811500549,0.4817708333333333,0.7991585731506348,1770.4530258965515,44.37600326538086,66,48.80865995089213,0.00025
18432,24,109,167,0.028403682440208893,0.04267327,779.4130434782609,0.2,-6.531291120582157,0.4869791666666667,0.7825803756713867,2113.855588380435,34.53948974609375,69,35.20183176464505,0.00025
19200,25,114,168,0.031056557044697303,0.06652584,773.1770833333334,0.2,-6.291839798291524,0.4574652777777778,0.8453752398490906,2435.9105711666666,20.704627990722656,72,24.098894284831154,0.00025
19968,26,118,169,0.024652888817298744,0.058682323,775.3232323232323,0.2,-6.522284216350979,0.4444444444444444,0.800628125667572,2664.074905474748,15.319929122924805,75,28.034730950991314,0.00025
20736,27,122,169,0.02857208874128345,0.06878343,765.9,0.2,-6.531943592760298,0.4717881944444444,0.8592190146446228,2967.0061627400005,16.205913543701172,78,35.28078753418393,0.00025
21504,28,126,170,0.024247427082931,0.04417028,755.69,0.2,-6.568841073248121,0.4131944444444444,0.8126459121704102,3024.62116501,30.093828201293945,81,52.73600459098816,0.00025
22272,29,130,170,0.028398547218077712,0.042678963,752.38,0.2,-6.747152328491211,0.4110243055555556,0.8685118556022644,3163.6661666500004,25.002397537231445,84,33.16933895481957,0.00025
23040,30,134,171,0.033393875100753374,0.053289253,752.03,0.2,-6.688314590189192,0.4236111111111111,0.7519906163215637,2994.8901697100005,56.9173583984375,87,50.28386929300096,0.00025
23808,31,138,172,0.03286534613774469,0.05921295,740.38,0.2,-6.578669826189677,0.4861111111111111,0.882603645324707,2982.4361690700007,35.115333557128906,90,52.04872730043199,0.00025
24576,32,145,168,0.03584621748369601,0.07481577,731.2,0.2,-6.577816009521484,0.53125,0.898224949836731,2928.4191660099996,65.20793151855469,93,50.28545435269674,0.00025
25344,33,150,168,0.022207981150131673,0.059415504,723.95,0.2,-6.860174735387166,0.3862847222222222,0.9061775207519531,3154.8111648599997,30.838115692138672,96,36.4232285949919,0.00025
26112,34,154,168,0.022936603468325403,0.05509953,714.15,0.2,-6.768865764141083,0.4652777777777778,0.8518877625465393,3672.85316389,25.9466609954834,99,54.7927225695716,0.00025
26880,35,159,168,0.02788662918222447,0.07866404,712.89,0.2,-6.73803487751219,0.5147569444444444,0.917793333530426,4288.08316723,21.583444595336914,102,28.351261973381042,0.00025
27648,36,163,169,0.05744152672640565,0.070667446,712.89,0.2,-6.766820033391316,0.6011284722222222,0.7188518047332764,5060.057167939999,23.555776596069336,105,45.607698334587944,0.00025
28416,37,167,169,0.03363077302411613,0.040069737,709.0,0.2,-6.902669131755829,0.4939236111111111,0.8577392101287842,5192.250164280001,13.434816360473633,108,30.860334634780884,0.00025
29184,38,171,169,0.027537760505866673,0.0721441,709.0,0.2,-6.909432921144697,0.51171875,0.809398889541626,5042.3811630400005,42.94799041748047,111,48.50965787304772,0.00025
