#{"t_start": 1742572188.0140414, "env_id": "None"}
r,l,t
326.600082,1019,10.773351
2736.200119,1019,19.997983
4719.100149,1019,29.635376
12242.40027,1019,40.460674
-5997.399689,1019,49.624936
-10753.299713,1019,57.741231
-2638.599789,1019,67.466899
3083.100065,446,71.654346
-5396.999805,1019,79.725105
8941.400116,510,84.032446
3374.400053,384,87.578075
6869.800148,603,91.802689
3648.80011,489,98.66029
3733.400068,403,102.497407
9003.90016,519,106.846007
6148.800095,430,111.105425
7601.100094,414,115.011854
-2049.699799,1019,123.003533
10868.200176,609,127.636915
8279.600281,1019,135.639415
10742.300272,1019,143.563988
2589.600147,583,151.520684
9454.800154,593,156.315151
8917.600307,1019,165.136107
-13308.299847,1019,173.475594
4482.800108,481,177.497912
5997.100039,354,182.198417
5965.500191,623,186.786585
-7977.699747,1019,195.201817
-11597.199743,1019,203.723457
12123.400259,1019,212.222883
-7907.299784,1019,225.814463
-13688.899792,1019,234.914482
-19.89983,522,239.256758
13629.400282,1019,247.770701
7906.500225,1019,257.934354
-785.999702,1019,266.540316
11596.300251,1019,275.339538
13629.400282,1019,286.937742
17165.000317,1010,296.166417
-8157.099707,1019,305.127107
-8845.999804,1019,313.755088
8441.800179,650,318.573508
13729.800283,1019,327.150481
12148.500259,1019,339.172697
6175.000202,640,344.464497
13780.000284,1019,353.602645
14608.300297,1019,362.246524
14834.2003,1019,372.510691
13503.90028,1019,381.1683
15035.000303,1019,389.803508
13955.500284,1019,398.452749
-14802.899845,1019,410.253335
8658.300121,518,414.951441
14256.900291,1019,424.008474
5662.600126,480,428.286284
11021.00032,1019,438.76777
11445.700249,1019,447.349546
1959.800299,1019,455.934952
10183.900179,580,460.532187
11940.600222,704,467.861785
12483.900236,1019,479.431993
13604.100279,1019,488.000521
8456.600176,542,492.294036
12323.800257,1019,500.96767
-2425.599701,1019,512.005107
2683.400291,1019,520.641006
10132.100252,1019,529.282112
13656.000229,879,537.223874
7344.000061,378,538.690655
9285.700172,539,546.007735
-11747.399788,1019,554.93323
-2734.899801,1019,563.718841
-15880.799845,1019,572.262746
13152.500275,1019,583.578482
13729.800283,1019,592.196206
14583.000294,1019,600.744045
9146.100174,527,605.108695
14710.80028,936,616.332336
11345.300247,1019,625.083432
12399.500263,1019,633.696836
11621.400251,1019,642.348279
9036.100206,1019,653.76029
7997.900202,645,658.560916
7881.500195,1019,667.094835
6095.800167,1019,675.760636
14909.300299,1019,687.19903
7218.200144,479,691.31218
17218.500334,1019,699.814384
16415.300322,1019,708.593992
9335.000191,638,714.670641
9464.30015,532,724.471193
3781.000156,498,728.837246
5313.900066,354,730.237463
7250.300074,391,734.207337
10375.800192,565,738.734324
-19150.899818,1019,747.338022
15380.300297,942,758.621309
14081.200289,1019,767.348715
11521.00025,1019,776.126341
13553.900278,1019,785.122045
-7472.699768,1019,797.07682
7374.000147,465,801.472569
8984.200167,542,806.044269
13671.700306,1019,814.893002
14282.000292,1019,826.295886
13303.100277,1019,835.235968
10692.700237,1019,844.149424
7753.400177,705,849.297392
10338.700291,1019,860.816027
10391.30023,1019,869.739651
13579.200281,1019,878.637625
11721.800253,1019,887.500017
15461.500307,1019,898.989087
13503.500275,1019,907.918659
6204.800152,532,912.371925
-11446.299761,1019,921.68236
5901.300095,378,925.577703
10612.700199,604,932.993384
10739.600166,589,937.823004
9228.100157,500,942.266496
4649.300205,599,946.9435
13704.700283,1019,957.038493
13301.500229,884,967.986821
13428.600279,1019,976.877708
-11706.899748,1019,985.49477
785.900192,570,990.04927
10665.30022,675,1000.213196
5211.300116,449,1001.930121
14784.000299,1019,1010.847879
4174.70015,478,1015.47255
8637.100134,471,1019.746801
9356.100157,500,1024.134549
13177.400272,1019,1035.660819
-13616.899879,1019,1044.414357
13428.000271,1019,1053.064006
-9231.499743,1019,1061.7357
13820.700245,956,1072.854096
14231.400286,1019,1081.671197
6950.500303,1019,1090.269994
-11166.199724,1019,1098.89256
12199.400255,853,1109.625609
7558.300077,395,1113.549618
10620.700191,619,1118.361271
12474.600262,1019,1126.964769
9216.500214,626,1131.740282
14558.100296,1019,1143.061576
13227.800249,808,1150.912018
15085.000301,1019,1159.542381
15429.900297,1019,1168.980773
10713.200195,610,1176.732107
9100.600185,621,1181.501902
6866.400059,344,1185.175618
2215.600285,1019,1194.034559
5493.100119,428,1195.693342
15737.600311,1019,1204.269614
14683.600298,1019,1215.893952
8549.90015,487,1220.197173
14256.900291,1019,1228.828838
16465.100317,1019,1237.451239
16064.100319,1019,1249.077096
13015.100239,775,1256.814859
15009.7003,1019,1265.37981
13124.800276,837,1271.001477
6012.10009,384,1274.749033
13604.100279,1019,1286.451812
6981.800097,369,1290.24508
16239.600319,1019,1298.9237
-338.299736,1019,1307.544815
9587.000177,550,1312.065685
-8696.199745,1019,1323.667026
10416.200228,1019,1332.439925
11746.700251,1019,1341.128083
10110.000168,636,1345.876976
4713.000101,401,1352.710485
9838.900219,1019,1361.362632
15135.200302,1019,1370.070031
14432.400291,1019,1378.69997
15980.600319,1019,1390.258632
15134.800297,1019,1398.860516
15235.600304,1019,1407.508754
12148.300257,1019,1416.098151
11872.400255,1019,1427.634987
13704.50028,1019,1436.352195
15160.300303,1019,1444.969034
5276.500151,510,1449.285287
