#{"t_start": 1741802669.9866786, "env_id": "None"}
r,l,t
-75.500001,1019,5.501821
-62.100001,1019,10.034444
-70.900001,1019,14.495569
-72.500001,1019,18.98622
-65.900001,1019,23.36994
-77.100001,1019,27.952035
-76.900001,1019,32.322845
-70.100001,1019,36.700643
-52.500001,1019,66.518377
-68.900001,1019,70.950346
-62.300001,1019,75.402997
-63.300001,1019,79.833591
-54.100001,1019,84.216383
-61.700001,1019,88.606215
-65.700001,1019,93.126266
-70.900001,1019,97.51584
-49.300001,1019,126.954222
-49.300001,1019,131.351219
-44.900001,1019,135.741285
-46.300001,1019,140.549715
-47.700001,1019,145.005246
-55.100001,1019,149.428264
-54.700001,1019,153.828738
-41.700001,1019,158.226902
-34.500001,1019,187.588123
-29.7,1019,192.053099
-40.900001,1019,196.463497
-38.700001,1019,200.850883
-32.7,1019,205.366887
-23.9,1019,209.963397
-44.300001,1019,214.450778
-30.5,1019,218.845416
-43.700001,1019,248.169306
-24.3,1019,252.684143
-32.1,1019,257.118891
-30.5,1019,261.622411
-20.1,1019,266.034828
-39.900001,1019,270.4524
-14.1,1019,274.820713
-19.3,1019,279.217703
-18.1,1019,308.677908
-21.5,1019,313.085741
-18.7,1019,317.713787
-1.3,1019,322.116037
-21.7,1019,326.643111
-9.1,1019,331.088622
-20.1,1019,335.561583
-3.7,1019,340.090051
-5.9,1019,370.111791
4.5,1019,374.950567
16.3,1019,379.34803
7.3,1019,384.01107
-4.7,1019,388.573945
-0.3,1019,393.108214
9.3,1019,397.783281
16.3,1019,402.701686
