time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/explained_variance,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range
1,-69.862501,35,1019.0,455,16384,,,,,,,,,,
2,-64.586001,96,1019.0,338,32768,-0.0010673999786376953,12.317190669476986,0.00025,0.013766069,5.745870590209961,0.2638397216796875,4,-8.302591376006603,-0.01271519945748878,0.2
3,-54.606001,157,1019.0,311,49152,0.16471683979034424,15.98178043588996,0.00025,0.016425973,6.458552360534668,0.253021240234375,8,-8.271640934050083,-0.011057331605115905,0.2
4,-42.33600084,218,1019.0,299,65536,0.3924260139465332,16.00198945775628,0.00025,0.01673213,6.455711841583252,0.2986907958984375,12,-8.213308691978455,-0.017289045042161888,0.2
5,-31.884000459999996,279,1019.0,293,81920,0.5555713772773743,14.552983727306128,0.00025,0.022188831,6.0800580978393555,0.3213348388671875,16,-8.129898697137833,-0.02098034599384846,0.2
6,-16.3860001,340,1019.0,289,98304,0.6216773986816406,15.173406567424536,0.00025,0.01881855,5.537205219268799,0.325531005859375,20,-8.05600000731647,-0.022965636689150415,0.2
7,-7.727999789999999,402,1019.0,284,114688,0.5027351379394531,17.020064633339643,0.00025,0.019010002,6.691197872161865,0.3197021484375,24,-7.92892899364233,-0.02555205385760928,0.2
