time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss
2,768,333,1,,,,,,,,,,,,
6,1536,224,2,1019.0,0.007668783370819356,0.00025,-0.011572480201721191,16.95188596513536,-1195.0,15.941317558288574,3,0.3237847222222222,0.015615322,0.2,-8.294104841020372
11,2304,206,3,1019.0,0.0018110766023811367,0.00025,0.040683090686798096,17.964062637752956,-1195.0,12.455513000488281,6,0.3107638888888889,0.02712327,0.2,-8.275383909543356
15,3072,196,4,1019.0,-0.006976162128719605,0.00025,0.17624223232269287,19.752431273460388,-319.6666666666667,9.660090446472168,9,0.2951388888888889,0.027437443,0.2,-8.24209913942549
22,3840,168,5,1019.0,0.006240748425221277,0.00025,-0.0328449010848999,23.67422836356693,-319.6666666666667,27.424148559570312,12,0.3793402777777778,0.023104018,0.2,-8.243435356352064
27,4608,167,6,1019.0,0.006432396773662832,0.00025,-0.07718372344970703,18.872463676664566,633.6666666666666,17.614213943481445,15,0.4379340277777778,0.066149585,0.2,-8.192389461729261
32,5376,166,7,1019.0,0.010302460131545862,0.00025,-0.02176821231842041,31.15398971239726,633.6666666666666,28.102174758911133,18,0.3372395833333333,0.029142817,0.2,-8.110355198383331
37,6144,164,8,1019.0,0.01203804640358107,0.00025,-0.13786089420318604,25.86083495616913,2288.5,14.060693740844727,21,0.3589409722222222,0.02790889,0.2,-8.014657470915052
41,6912,165,9,1019.0,0.06018136002563147,0.00025,0.1109914779663086,21.34264283710056,2288.5,24.289060592651367,24,0.5256076388888888,0.049723774,0.2,-8.05943289730284
46,7680,166,10,1019.0,0.025640201690192852,0.00025,-0.2672765254974365,18.78027261628045,3731.2,9.87883472442627,27,0.4110243055555556,0.030156992,0.2,-7.898282978269789
50,8448,166,11,1019.0,0.005998904739196102,0.00025,0.07264280319213867,28.510694053437973,3731.2,11.397612571716309,30,0.4605034722222222,0.028728342,0.2,-7.5705540378888445
57,9216,159,12,1019.0,0.03508468241327339,0.00025,0.3826940059661865,22.814070522785187,4773.944444444444,11.786969184875488,33,0.4626736111111111,0.044846907,0.2,-7.649440328280131
62,9984,159,13,1019.0,0.019270062462763034,0.00025,-0.31603026390075684,54.80662443902757,4773.944444444444,22.038846969604492,36,0.3276909722222222,0.0253326,0.2,-7.748114718331231
67,10752,159,14,1018.5714285714286,0.06025644713857522,0.00025,0.33280307054519653,14.933120912975735,5781.666666666667,19.54951286315918,39,0.6046006944444444,0.07446367,0.2,-7.529300510883331
72,11520,159,15,1018.5714285714286,0.028867873104496136,0.00025,0.06780654191970825,74.45703789922926,5781.666666666667,28.097976684570312,42,0.3745659722222222,0.049392313,0.2,-7.613496945963965
77,12288,158,16,1018.625,0.04873472598329601,0.00025,0.27220410108566284,12.010579486687979,6492.625,5.330868244171143,45,0.5837673611111112,0.087686025,0.2,-7.633452739980486
82,13056,158,17,1018.625,0.07042407993382464,0.00025,0.1276758909225464,56.82305770450168,6492.625,34.996376037597656,48,0.6223958333333334,0.10650631,0.2,-7.783701340357463
87,13824,157,18,1018.6666666666666,0.08983017382625905,0.00025,-0.34629082679748535,19.66355363527934,6802.62962962963,21.128143310546875,51,0.6736111111111112,0.12755434,0.2,-7.614739212724897
94,14592,153,19,1018.6666666666666,0.01435225998931047,0.00025,0.2462175488471985,64.56162656678094,6802.62962962963,13.814763069152832,54,0.3723958333333333,0.031281367,0.2,-7.676247080167134
100,15360,153,20,1018.7,0.013583920508002242,0.00025,-0.10222017765045166,19.918762346108753,7227.7,9.616549491882324,57,0.4027777777777778,0.027421242,0.2,-7.686749041080475
105,16128,153,21,1018.7,0.009819515075327622,0.00025,0.42850959300994873,38.96964004304674,7227.7,29.812620162963867,60,0.4383680555555556,0.03292506,0.2,-7.623732076750861
110,16896,153,22,1018.7272727272727,0.06223425888715105,0.00025,0.11138200759887695,18.748080677456326,7655.454545454545,14.453303337097168,63,0.5646701388888888,0.15563262,0.2,-7.645543972651164
114,17664,153,23,1018.7272727272727,0.028846157805269793,0.00025,0.4529114365577698,44.90029994646708,7655.454545454545,12.873391151428223,66,0.4305555555555556,0.03765305,0.2,-7.509822759363386
119,18432,154,24,1018.75,0.015518970755187588,0.00025,0.496299147605896,32.210019045405915,7429.611111111111,11.433735847473145,69,0.3107638888888889,0.025599921,0.2,-7.532431324323018
126,19200,151,25,1018.75,0.029803573548431612,0.00025,0.6931772232055664,24.93029061953227,7429.611111111111,9.312460899353027,72,0.4045138888888889,0.022398537,0.2,-7.598824746078915
131,19968,151,26,1018.7692307692307,0.002378736415670978,0.00025,0.2888409495353699,17.10759202639262,7741.692307692308,17.341819763183594,75,0.4010416666666667,0.032866538,0.2,-7.431191874874963
135,20736,152,27,1018.7692307692307,0.019304723892774846,0.00025,0.22258633375167847,30.34959222210778,7741.692307692308,35.123252868652344,78,0.3828125,0.04170422,0.2,-7.707755989498562
140,21504,152,28,1018.7857142857143,0.014211137727316882,0.00025,0.004164278507232666,19.7875663306978,7823.785714285715,21.32283592224121,81,0.4244791666666667,0.03864904,0.2,-7.720510171519385
144,22272,153,29,1018.7857142857143,0.016813444995528296,0.00025,0.42163240909576416,28.887433846791584,7823.785714285715,14.602177619934082,84,0.3732638888888889,0.0324192,0.2,-7.801930321587457
149,23040,154,30,1018.8,0.018946673242478736,0.00025,0.4134559631347656,14.321980681684282,7740.444444444444,7.72651481628418,87,0.4661458333333333,0.05990087,0.2,-7.848063601387872
153,23808,154,31,1018.8,0.0044944620975810624,0.00025,0.3843598961830139,35.744667410850525,7740.444444444444,18.535858154296875,90,0.3671875,0.025160829,0.2,-7.954134543736775
160,24576,152,32,1018.8125,0.0011853803233760926,0.00025,-0.06764018535614014,17.467138634787666,7618.5,20.977392196655273,93,0.4466145833333333,0.03666605,0.2,-7.951630055904388
165,25344,153,33,1018.8125,-0.003182425719892813,0.00025,0.23187178373336792,35.20291033056047,7618.5,17.575927734375,96,0.2877604166666667,0.02384801,0.2,-7.89851172765096
