time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,rollout/ep_len_mean,train/policy_gradient_loss,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates
282,1,2,768,,,,,,,,,,,,
186,2,8,1536,0.2,-0.0014979839324951172,0.2660590277777778,10.956155776977539,1019.0,0.0036111112114869887,-1060.6666666666667,0.024301982,16.628733926349216,-8.298740294244555,0.00025,3
172,3,13,2304,0.2,-0.06464016437530518,0.3381076388888889,18.979267120361328,1019.0,0.0038673909600927597,-1060.6666666666667,0.02978667,24.78414710362752,-8.261832647853428,0.00025,6
163,4,18,3072,0.2,0.06514894962310791,0.43359375,8.963812828063965,1019.0,0.009625782763275007,-267.6666666666667,0.029188454,17.854707446363236,-8.234103348520067,0.00025,9
161,5,23,3840,0.2,-0.08529829978942871,0.3940972222222222,18.240501403808594,1019.0,0.0020621366177996,-267.6666666666667,0.0263964,31.16643618212806,-8.165861156251696,0.00025,12
158,6,29,4608,0.2,-0.22881639003753662,0.4140625,13.269410133361816,1019.0,-0.007742691099540227,1526.0,0.043457758,19.741617732577854,-8.04009360074997,0.00025,15
152,7,35,5376,0.2,-0.03200185298919678,0.3003472222222222,23.66731071472168,1019.0,0.012859574312137233,1526.0,0.027627185,25.064615196651882,-7.996187309424083,0.00025,18
149,8,41,6144,0.2,-0.007437348365783691,0.3645833333333333,14.410774230957031,1019.0,-0.007251503967886997,2748.75,0.043373335,12.971746835443708,-7.946211218833923,0.00025,21
148,9,46,6912,0.2,-0.045525193214416504,0.5464409722222222,10.634915351867676,1019.0,0.06699493498955336,2748.75,0.0667207,13.401532709598541,-7.965641034973992,0.00025,24
147,10,52,7680,0.2,0.022927522659301758,0.4275173611111111,13.000924110412598,1019.0,0.015526000617278947,3698.2,0.047538806,21.248832954300774,-7.870586673418681,0.00025,27
147,11,57,8448,0.2,0.12096762657165527,0.3333333333333333,11.933382987976074,1019.0,-0.003765733796171844,3698.2,0.030058669,14.251852525605095,-7.847544557518429,0.00025,30
147,12,62,9216,0.2,0.18678176403045654,0.5486111111111112,20.46477508544922,1019.0,0.03653853837426545,4266.694444444444,0.1071159,32.02485007709927,-7.470796340041691,0.00025,33
146,13,67,9984,0.2,0.3072463870048523,0.51953125,11.551578521728516,1019.0,0.06623869063332677,4266.694444444444,0.040588345,45.39993488788605,-7.31446897983551,0.00025,36
147,14,72,10752,0.2,0.8065150380134583,0.5625,41.82401657104492,1019.0,0.04317718974521591,3021.404761904762,0.058881048,48.58778950903151,-7.356449663639069,0.00025,39
147,15,78,11520,0.2,0.5039211511611938,0.4292534722222222,25.438154220581055,1019.0,0.026636406442978315,3021.404761904762,0.058554187,46.88021147251129,-7.7175513174798756,0.00025,42
147,16,83,12288,0.2,0.9053775668144226,0.5434027777777778,15.641057968139648,1019.0,0.03306123083974752,3009.4166666666665,0.16628161,20.479148573345608,-7.5775547292497425,0.00025,45
149,17,87,13056,0.2,0.8699982166290283,0.46875,13.208014488220215,1007.9591836734694,0.034558768034912646,3120.816326530612,0.050091665,30.37301188045078,-7.695841285917494,0.00025,48
149,18,92,13824,0.2,0.8689870834350586,0.5789930555555556,34.85654067993164,1008.9814814814815,0.05006933644310468,3420.740740740741,0.11652479,54.076814810434975,-7.530988964769575,0.00025,51
149,19,97,14592,0.2,0.903415322303772,0.5651041666666666,39.420623779296875,1009.1636363636363,0.06216812219160298,3589.2181818181816,0.09498084,51.71302390098572,-7.537220623758104,0.00025,54
149,20,102,15360,0.2,0.6242756843566895,0.6497395833333334,20.527786254882812,1009.9833333333333,0.06835977903877695,4051.4,0.14579208,21.961319512791103,-7.722339557276832,0.00025,57
150,21,107,16128,0.2,0.7099129557609558,0.6631944444444444,9.100027084350586,1010.1311475409836,0.08184660924598575,4164.4098360655735,0.097201325,24.728175547387863,-7.781209376123217,0.00025,60
150,22,112,16896,0.2,0.8801743984222412,0.5394965277777778,10.070425987243652,1010.8030303030303,0.04608172778454092,4629.636363636364,0.08758426,18.09660161866082,-7.658534692393409,0.00025,63
150,23,117,17664,0.2,0.6767671704292297,0.4548611111111111,36.963924407958984,1010.9253731343283,0.03717430655120148,4675.388059701492,0.047082346,41.65553544627296,-7.937852879365285,0.00025,66
151,24,121,18432,0.2,0.568941593170166,0.5008680555555556,23.239151000976562,1011.4861111111111,0.02425636464936866,4958.75,0.04594655,26.57702128092448,-7.742357658015357,0.00025,69
151,25,126,19200,0.2,0.7573156356811523,0.4930555555555556,15.542847633361816,1011.5890410958904,0.010987287270836532,5042.534246575343,0.04615831,21.437858449088203,-7.773804605007172,0.00025,72
151,26,131,19968,0.2,0.5201024413108826,0.5611979166666666,8.154141426086426,1012.0641025641025,0.03087867356629835,5363.897435897436,0.058722895,17.67724746465683,-7.667424652311537,0.00025,75
151,27,137,20736,0.2,0.6150673031806946,0.5147569444444444,29.116321563720703,1012.1518987341772,0.03333314034777383,5436.518987341772,0.059010487,24.938348280058968,-7.761545730961694,0.00025,78
151,28,142,21504,0.2,0.6164603233337402,0.5581597222222222,9.381872177124023,1012.5595238095239,0.03959854806049003,5723.190476190476,0.11876043,20.971736590067547,-7.6654055449697704,0.00025,81
151,29,146,22272,0.2,0.5923651456832886,0.4761284722222222,12.622055053710938,1012.635294117647,0.02402925045074274,5776.058823529412,0.08127176,28.439929631021286,-7.826918734444512,0.00025,84
