#{"t_start": 1755814624.0986502, "env_id": "None"}
r,l,t
-267.8,1622,6.60223
-283.77,1622,16.235166
-213.92,1622,43.247677
-210.1,1622,53.196924
-144.84,1622,59.609912
-113.64,1622,81.551146
-57.870001,1622,90.846184
-96.27,1622,110.69783
68.99,1622,120.733929
-24.06,1622,129.501605
1206.420005,775,151.231424
126.299999,1622,161.999347
1193.389994,1261,167.00045
-292.935002,1622,191.2444
64.61,1622,199.111814
-10.055001,1622,220.449227
166.089999,1622,230.154795
-166.835002,1622,235.923808
99.21,1622,255.370677
-51.635002,1622,264.68999
-424.680003,1622,287.360132
266.91,1622,297.583156
-656.945002,1622,304.068019
-31.510002,1622,324.098784
-619.180003,1622,334.045128
-71.840003,1622,354.145736
-342.325002,1622,360.886103
107.3,1622,370.41935
207.59,1622,392.19465
-195.825005,1622,401.743651
-162.800002,1622,407.773618
44.984998,1622,430.708919
-193.670003,1622,435.789115
203.62,1622,451.596009
-602.555005,1622,456.43692
333.639999,1622,461.463613
828.795,543,476.373038
-367.170001,1622,481.35797
203.094998,1622,486.109796
1199.790004,1112,502.759734
772.53,577,504.634873
741.239999,557,506.425395
-178.400001,1622,510.767033
-260.860002,1622,526.87798
780.955,1562,533.611811
798.760001,597,535.364123
826.300002,658,537.282562
607.314998,1577,552.978269
897.499998,679,554.905637
793.959999,597,556.655857
776.209999,737,558.725387
86.33,1622,575.917054
783.3,940,578.518746
782.169999,857,580.982765
800.8,1036,583.752803
890.759999,700,596.985908
324.985,1461,603.722948
766.055,1518,607.994992
945.465001,556,609.479084
779.13,857,622.636791
92.85,1622,627.241193
920.259999,731,629.208507
171.769999,1622,646.836462
81.589999,1622,651.675741
730.799999,719,653.745847
735.05,839,656.108145
84.86,1622,674.326919
930.019999,714,676.453517
762.169999,929,679.353902
755.144999,548,680.960947
73.9,1622,696.539578
747.790001,1133,700.140087
793.13,923,705.292159
741.964999,970,708.444923
875.425,582,721.484941
94.64,1622,726.827959
901.590001,1579,731.766591
861.830003,1622,752.181227
777.674999,590,754.223435
753.839999,1057,757.720646
885.919999,726,760.13614
788.02,603,777.709802
810.709998,592,779.970875
529.950002,1622,785.694004
90.89,1622,791.199041
88.54,1622,814.194409
816.83,723,817.238303
-320.080002,1622,823.993601
1050.454998,880,844.054548
747.924999,947,847.767313
130.94,1622,853.228142
734.319998,1544,871.205786
778.475,818,874.472517
865.495,550,878.543241
929.369999,652,880.93342
826.365001,1150,884.845624
748.700001,680,898.860165
775.959999,674,901.225617
824.46,907,904.124757
845.849999,873,906.7553
779.360003,1141,912.286773
841.970002,975,927.13149
567.17,920,930.044065
770.969999,670,932.163641
776.809998,895,934.952217
752.164998,665,937.0209
790.859999,527,952.658388
766.59,1314,957.021169
894.975,1078,960.383599
733.249999,803,962.857361
686.164999,633,977.021036
799.76,805,981.897822
352.549998,1622,987.216072
901.58,552,989.119833
153.849999,1622,1006.308431
790.560001,830,1009.164717
817.82,778,1011.662687
692.810001,1619,1018.939142
108.86,1622,1036.858285
892.065,1431,1041.842539
535.219997,899,1045.079467
782.435,1154,1065.5626
772.919999,775,1068.785646
114.779999,1622,1074.896942
811.100002,976,1094.648603
949.760001,1254,1099.62725
763.295,644,1102.071841
735.290001,902,1105.375206
783.97,1022,1109.102885
800.330002,1014,1128.62095
1046.060004,1020,1132.620934
838.209998,882,1135.901665
886.77,1236,1140.361823
20.96,1622,1161.613613
382.38,1622,1166.773112
768.039999,633,1168.82131
681.105,739,1183.19988
95.53,1622,1190.753955
54.34,1622,1195.811893
698.17,1087,1210.610371
803.784999,756,1213.160464
854.889998,574,1214.909644
792.6,525,1216.462322
790.715,680,1220.592696
364.580001,1622,1238.220756
687.995,854,1241.415823
267.11,1622,1247.115021
771.57,912,1266.199857
869.220001,661,1268.732792
923.369999,556,1270.894472
762.499999,646,1273.522759
783.949999,717,1276.390832
834.640002,507,1278.262298
899.340001,550,1280.357835
770.91,734,1299.246623
818.380001,678,1302.39813
735.244999,1082,1307.773595
797.35,578,1310.410041
803.429999,551,1312.991424
163.214999,1622,1343.132787
899.870002,556,1345.686741
734.630002,745,1349.035586
773.570001,570,1351.467297
790.89,647,1354.299039
775.869999,634,1359.441794
873.000001,984,1383.523312
761.065,1184,1388.51662
835.119999,872,1394.675836
720.96,1225,1399.862138
707.005,665,1419.277737
777.279999,692,1422.008357
779.230001,705,1424.804124
924.120002,757,1430.493593
779.590001,593,1432.576207
739.38,866,1447.880689
873.599999,732,1450.41672
782.694997,636,1452.640226
245.949999,1622,1457.788899
756.300001,731,1460.05612
731.485002,1270,1478.055919
732.645,1622,1482.919057
100.019999,1622,1501.468526
847.210001,720,1503.666672
-618.515004,1622,1508.472468
842.749998,815,1510.712169
762.239998,830,1523.601285
791.48,615,1525.475382
860.219998,651,1527.459103
786.310002,653,1529.406468
219.65,1622,1536.984564
760.959999,586,1549.42974
752.570001,942,1552.421441
868.8,526,1553.87119
756.39,901,1556.399397
1092.540003,794,1558.602073
-307.865004,1622,1577.694918
-607.535004,1622,1582.782684
-544.520004,1622,1599.170298
119.21,1622,1607.611744
810.385,1618,1612.844999
710.025,876,1627.559626
-548.095003,1622,1633.276864
763.669998,690,1638.540858
715.95,987,1641.94136
759.285001,630,1644.112954
148.129999,1622,1661.97857
703.879999,810,1664.773008
97.68,1622,1672.925402
-307.260001,1622,1691.0336
806.799999,859,1693.905293
737.01,943,1696.990551
943.67,909,1714.928862
745.93,1393,1719.440699
719.049999,1622,1724.339153
93.63,1622,1739.910469
113.779999,1622,1747.853113
856.039999,551,1749.41044
744.919998,645,1751.153818
269.639999,1622,1765.985514
183.98,1622,1770.614766
852.47,1507,1788.992547
877.585,684,1790.827195
788.615,694,1792.861926
1202.459998,1601,1797.387754
229.265,1622,1814.736179
759.384999,578,1816.432228
912.774997,1622,1820.992297
937.280002,512,1822.381458
886.140001,667,1824.195325
848.939999,1089,1837.952838
926.209999,601,1839.767692
866.45,625,1841.622703
822.369999,807,1843.890284
953.089999,638,1848.065183
697.69,689,1861.157203
804.939998,790,1863.634926
821.895,600,1865.585903
562.58,1622,1870.56058
744.175,1622,1890.305956
704.060001,768,1893.151918
929.82,945,1896.531795
704.93,745,1899.036544
794.850002,501,1900.752995
723.704999,522,1918.007265
827.16,692,1920.923099
738.57,737,1923.877902
754.765001,620,1926.232358
955.04,584,1928.619456
621.710001,1622,1951.534412
823.250001,558,1953.966768
785.435,624,1956.53909
752.11,581,1958.906773
852.999999,681,1961.536336
750.295001,922,1965.588525
805.935002,623,1983.060244
874.665002,674,1988.208055
740.754999,1228,1992.888893
764.58,681,1995.165069
860.820002,562,1997.139262
747.049999,962,2012.192587
781.759998,704,2014.552991
938.029998,1348,2021.367293
-246.130002,1622,2026.257803
820.460001,921,2040.175341
812.515,1604,2045.182147
181.859999,1622,2049.778059
859.294998,904,2065.355037
867.479999,831,2067.932761
224.069999,1622,2072.594435
593.585001,1622,2090.322756
741.659998,1622,2095.149481
262.75,1622,2099.666282
809.079999,635,2112.357117
842.909998,571,2114.18071
735.53,602,2115.882575
737.009998,891,2118.586745
245.29,1622,2137.495627
752.170001,535,2139.103209
760.62,1622,2144.526236
750.81,658,2146.553529
773.01,866,2149.319385
644.384999,1214,2168.092566
800.115,886,2171.337823
818.055002,872,2174.281918
811.859997,1252,2178.519037
919.26,558,2195.543692
659.31,613,2197.820328
960.73,847,2201.021794
893.205,620,2203.142391
791.174999,676,2205.502641
901.304999,772,2208.172633
436.444999,1622,2229.439304
146.15,1622,2234.902341
770.514998,646,2237.004138
788.124999,580,2253.335665
714.099999,596,2255.514519
791.849998,679,2258.188092
830.86,750,2260.443298
838.61,706,2265.551483
765.479999,587,2267.37831
830.064999,857,2281.965086
599.19,1622,2287.260846
213.649999,1622,2292.235228
812.414998,540,2308.091942
940.195001,744,2310.343753
595.31,1622,2315.671521
846.01,703,2317.789536
760.409999,1014,2320.881818
352.79,1622,2340.143049
392.24,1622,2345.170403
737.669999,1538,2361.79569
112.07,1622,2369.564871
265.449999,1622,2374.514878
745.799999,1367,2391.509643
754.47,1622,2396.577369
857.380002,967,2399.597713
808.02,714,2416.093818
777.529999,606,2418.135553
797.035001,798,2420.728452
715.145001,1070,2424.055735
674.845,1108,2427.418346
823.530001,715,2443.789313
827.38,702,2446.229345
733.21,679,2448.316379
845.415,708,2450.617424
847.969998,1396,2466.350297
826.574998,614,2468.188872
213.0,1622,2476.375538
386.53,1622,2481.323454
586.414999,1622,2498.131453
812.669999,695,2500.474677
957.359998,772,2502.795775
803.46,823,2507.983662
842.144999,1006,2522.612297
893.169999,1165,2526.635065
925.130001,735,2529.044021
907.59,528,2530.720304
876.275001,638,2532.750096
915.435,582,2549.576512
772.279999,712,2552.124568
823.09,1343,2556.956174
802.344999,688,2559.31708
208.88,1622,2581.430717
324.329998,1622,2588.116796
896.31,713,2590.803927
202.259999,1622,2615.245491
452.339998,1622,2623.37231
842.32,800,2627.119185
372.929999,1622,2653.829375
785.625001,1206,2657.265753
800.43,683,2659.236045
365.35,1622,2663.495096
150.409999,1622,2678.943752
927.595001,622,2683.785784
905.810001,1125,2687.114142
829.680001,1003,2690.084358
156.309999,1622,2705.710801
270.77,1622,2710.088395
440.759999,1622,2728.575376
179.894999,1622,2733.075025
931.680001,795,2735.202045
312.289999,1622,2750.136379
857.840001,780,2755.276886
783.539999,1103,2758.426388
837.099998,1026,2761.241558
527.689999,1622,2776.607752
411.510001,1622,2781.139582
203.329999,1622,2800.277932
1986.380002,1622,2805.903738
843.22,691,2808.13588
728.885,844,2810.929128
554.989999,1622,2834.227684
856.485,682,2837.485115
463.1,1622,2845.117883
617.515001,1622,2879.501762
234.42,1622,2888.843407
812.400001,650,2895.369611
710.625,1568,2919.432281
824.479999,700,2922.443556
777.610001,1107,2929.406398
365.61,1622,2935.15983
482.59,1622,2952.646033
104.229999,1622,2958.105185
380.05,1622,2979.516968
456.26,1622,2985.641038
631.960002,1622,2991.452714
749.289999,739,3011.477877
425.615001,1622,3018.162806
47.594999,1622,3024.633455
658.25,1622,3046.284077
702.19,1622,3050.573216
819.300001,782,3052.566344
849.254999,854,3065.70653
805.615001,758,3070.991371
568.95,1622,3075.497367
546.93,1622,3090.212593
236.709999,1622,3094.860394
885.585001,661,3096.625664
867.820001,881,3099.02925
889.650001,656,3115.170931
600.600001,1622,3119.663011
266.559999,1622,3124.092051
323.704999,1089,3140.767931
380.185,1622,3145.589593
833.295,1286,3148.987497
914.35,920,3161.945856
320.99,1622,3166.407605
504.37,1622,3170.756596
886.9,637,3175.419086
646.85,1622,3191.461762
651.184998,1622,3196.597063
