time,phidot,speed
0,0,0
1,0,0
2,0,0
3,0,0.166666666666742
4,0,0.333333333333258
5,0,0.333333333333258
6,0,0.166666666666742
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0.166666666666742
13,0,0.333333333333258
14,0,0.527046276694754
15,0,0.897527467855863
16,0,1.37436854187246
17,0,2.00693242979872
18,0,2.5
19,0,3
20,0,3.50396600693811
21,-2.76377007582805,4.17997873466133
22,-3.65287976665607,5.19080383413255
23,-1.38480240908986,6.55320108377919
24,-0.993774533042448,8.08462189042325
25,-0.742631030986032,9.28858319539526
26,-0.909865968275452,9.80929264637464
27,-1.08088507831894,9.51168871558676
28,0.13636754080879,8.8584548439456
29,1.24092749020977,7.97565740933708
30,1.46657137568631,7.09655628534794
31,1.87586453526329,6.05759394846207
32,1.57176050611471,5.02493781056044
33,-0.499621835127978,4.01386485959744
34,-2.77060238901791,2.85287379477053
35,-0.710132773201753,1.86338998124974
36,5.15242323438208,1.17851130197766
37,4.06505117707955,1.16666666666674
38,0,1.5
39,0,2
40,0,2.5
41,-1.43120261305656,2.83333333333326
42,-2.28696062994987,3.33749739908339
43,-0.356964574441663,4.17997873466155
44,1.57091253786721,5.34373984729395
45,1.19142247550693,6.6687496745807
46,-0.325234547782532,8.00173592277187
47,-0.88372335509061,9.17272527054475
48,-0.465111112226473,9.67958906382092
49,0.399928322968977,9.51314879522022
50,0.909649040100381,8.83962040411756
51,0.444024734084277,8.00173592277187
52,-0.621579411413511,7.5018516232846
53,-0.444024734084305,7.84042232422597
54,0.247580927947185,8.83962040411733
55,0.185584439990115,9.83898142876378
56,0.163973729017202,10.6718737290547
57,0.541295619850545,11.8380272380531
58,0.806769466440413,13.5010287673858
59,0.353659684272289,15.6666666666666
60,-0.22917822900032,18.1666666666667
61,-0.400643665053417,20.8339999893337
62,-0.131153582258426,23.8356642216844
63,0.0636252160610119,26.5020963531399
64,0.0272318261672505,28.3352940498046
65,-0.180658144280068,28.6686045856593
66,-0.396624692404718,27.6711843701068
67,-0.845478903680483,26.1751578579556
68,-1.98057296438507,24.5277620485667
69,-3.55070650862868,22.9359010190477
70,-5.22977174665634,21.4819045296786
71,-6.55218821321319,20.1004422284133
72,-7.45200387462553,18.8207922846574
73,-8.17865321245528,18.2361058221198
74,-8.22766470581275,18.9502272047359
75,-7.53855154725606,21.1114766050233
76,-7.20278113836203,23.1720617219196
77,-7.03109142586653,23.8630351054606
78,-6.35635766405778,23.1192560433938
79,-5.03737208683437,21.6345916429119
80,-3.42847386966197,20.069324297987
81,-1.84063473540962,18.5509808066553
82,0.437297180278826,17.1593835683117
83,2.56560798443522,15.8919965880801
84,3.51967557777557,14.8782092709812
85,4.151997995748,13.9204086785475
86,5.6626281490385,12.8754719438853
87,7.09140425157629,11.7058864584352
88,7.42720153563406,10.636676590406
89,7.16516384022026,9.5524865872714
90,5.50087777359102,8.5146931829632
91,3.07958151457171,7.63398832706592
92,0.104808885150653,6.84145858392452
93,-1.74569837434906,5.96750459665599
94,-1.63196744563335,5.46707315561903
95,-1.2091471080677,5.80469158908938
96,-0.779224364631776,6.74330944138123
97,-1.39096957350268,7.91798234681304
98,-2.46321823892777,9.08142181721688
99,-3.49740814937813,10.2537256101815
100,-4.79913833206622,11.3529242439508
101,-6.23890885410735,12.5753285797583
102,-6.80923050611571,14.313940369056
103,-6.06957423117442,15.7233018867611
104,-4.66564473058069,16.0943399298566
105,-2.80570616863481,15.4937263289227
106,-1.22437889140569,14.3855637513601
107,-0.336490669151466,13.3437459341655
108,0.8179890540369,12.329954492121
109,2.7982093574995,11.3749236871678
110,5.02843050762455,10.3494497975067
111,6.33293934525306,9.28559218478929
112,5.41423333409062,8.27479439153776
113,3.25858853834929,7.26100697026407
114,1.41458791881541,6.24054840894956
115,0.711602423316172,5.27046276694724
116,1.0873720573044,4.30116263352131
117,-0.421262130370675,3.33333333333339
118,-2.19935267749726,2.63523138347371
119,-1.34488516157345,2.1730674684008
120,2.19935267749609,1.57233018867606
121,6.49730839594717,0.833333333333394
122,26.5650511770796,0.235702260395543
123,22.5000000000098,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,-22.5000000000098,0
145,-22.4999999999951,0.235702260395543
146,1.46549439250521e-11,0.471404520791005
147,-9.21747441147371,0.471404520791005
148,-22.5000000000049,0.372677996250084
149,-4.06505117707213,0.333333333333258
150,18.4349488229204,0.527046276694718
151,10.6853111346742,0.833333333333394
152,0.502543002628201,1.3017082793178
153,-0.258082114882477,1.90029237516521
154,1.18068732908806,2.36877840059192
155,-1.20975460832914,2.83823106098782
156,-2.62216905535686,3.33333333333339
157,-0.558005195702755,4.06885187191119
158,1.83389402776519,5.13430726691633
159,1.54974354295791,6.40312423743285
160,-0.251290833360517,7.70461622088417
161,-0.321174457396523,8.90224690738243
162,0.0485968825737864,9.96939761915888
163,0.103514959630896,11.0365554207622
164,-0.407924390091466,12.3378370155477
165,-0.506349356706934,13.4339950209243
166,0.272463341471614,14.267289706022
167,0.498952535348739,15.4362488246912
168,0.00761709361386664,17.4395782313932
169,-0.354510617708403,20.303940504247
170,0.271225589388255,23.1690646240966
171,1.41314954048028,25.1440295541948
172,2.54418268045967,25.6520521163079
173,3.70009098667533,24.6379337156705
174,5.04691582974129,23.1288660432033
175,6.11667326465633,22.5345413877352
176,6.10056055161905,23.4426012966896
177,4.96017564575127,25.7390753524675
178,3.31415491589827,28.3646885326731
179,1.76802016207481,30.5732272130737
180,0.471413520763701,32.4867494355606
181,-0.220279316907503,32.8536316274337
182,-0.44130539758163,24.4645435046086
183,-0.672441020554906,8.64500498039829
