#{"t_start": 1755887584.9893131, "env_id": "None"}
r,l,t
-432.9335,1622,7.228702
-369.9335,1622,15.542602
-481.4335,1622,37.797484
-358.9335,1622,44.473268
-366.9335,1622,53.111758
-403.4335,1622,77.719553
-342.4335,1622,85.945535
-378.4335,1622,105.899164
-325.9335,1622,112.911291
-332.4335,1622,121.346122
-267.4335,1622,142.381635
-294.9335,1622,148.90158
-295.9335,1622,171.12236
-362.4335,1622,177.728105
-337.4335,1622,186.318156
-294.9335,1622,206.517621
-287.4335,1622,212.82585
-304.9335,1622,236.143255
-340.4335,1622,242.940069
-341.4335,1622,249.338763
-266.9335,1622,272.681366
-325.4335,1622,279.053113
-316.4335,1622,301.622641
-282.4335,1622,308.296788
-326.9335,1622,314.618811
-301.9335,1622,337.575771
-260.9335,1622,343.836694
-303.4335,1622,367.846305
-282.9335,1622,376.441533
-220.9335,1622,383.786392
-270.9335,1622,406.625023
-288.9335,1622,413.01469
-287.4335,1622,436.993364
-719.433502,1622,443.359451
-234.9335,1622,449.545806
-208.9335,1622,472.243542
-196.4335,1622,478.122285
-195.9335,1622,501.471308
-201.4335,1622,507.412394
-254.4335,1622,513.355851
-223.4335,1622,536.735498
-232.4335,1622,542.603951
-219.4335,1622,565.365492
-232.9335,1622,572.339895
-273.9335,1622,578.090156
-245.9335,1622,601.48821
-219.9335,1622,607.491958
-259.9335,1622,627.52476
-246.4335,1622,636.445007
-262.4335,1622,642.249382
-270.9335,1622,662.667671
-243.9335,1622,672.496243
-244.9335,1622,692.326916
-198.4335,1622,701.409688
-249.9335,1622,707.535101
-226.9335,1622,727.487375
-216.9335,1622,736.502342
-238.4335,1622,742.839271
-221.4335,1622,763.313918
-223.9335,1622,772.072357
-277.433501,1622,791.908627
-249.433501,1622,798.390918
-281.933501,1622,807.268211
-221.9335,1622,827.593461
-219.9335,1622,833.803382
-207.4335,1622,856.308555
-246.9335,1622,862.450146
-247.9335,1622,868.543263
-251.9335,1622,891.260319
-209.4335,1622,897.357112
-248.4335,1622,920.083448
-229.433501,1622,926.45113
-215.4335,1622,932.723806
-236.4335,1622,955.953393
-225.4335,1622,961.65717
-192.933499,1622,985.141488
-269.933501,1622,993.575136
-246.4335,1622,999.551082
-220.4335,1622,1023.217737
-244.9335,1622,1028.988292
-276.4335,1622,1052.400673
-240.9335,1622,1058.486593
-1318.433501,1622,1064.478913
-238.9335,1622,1087.659147
-752.4335,1622,1093.544336
-224.9335,1622,1117.125015
-223.9335,1622,1123.363037
-1274.9335,1622,1129.155472
-1037.4335,1622,1153.598412
-998.4335,1622,1159.43785
-1394.9335,1622,1178.930352
-782.4335,1622,1188.451665
-1106.433499,1622,1194.557008
-240.4335,1622,1215.359157
-229.9335,1622,1223.007562
-224.4335,1622,1243.363707
-254.9335,1622,1250.020496
-313.433501,1622,1258.149612
-307.9335,1622,1278.768016
-273.4335,1622,1284.977299
-296.4335,1622,1306.926657
-331.9335,1622,1313.338704
-303.9335,1622,1319.445062
-896.4335,1622,1342.818089
-316.9335,1622,1349.456989
-304.4335,1622,1372.03205
-340.9335,1622,1378.505614
-826.4335,1622,1384.58185
-332.933499,1622,1407.033652
-318.4335,1622,1413.243726
-349.4335,1622,1435.841909
-298.4335,1622,1442.172807
-300.4335,1622,1448.118701
-315.4335,1622,1470.719305
-1539.9335,1622,1476.987623
-1675.4335,1622,1483.0127
-354.4335,1622,1505.79187
-305.433501,1622,1511.682884
-300.4335,1622,1534.604841
-322.9335,1622,1540.857295
-299.4335,1622,1546.772629
-315.933501,1622,1569.45359
-1223.4335,1622,1575.386997
-263.9335,1622,1598.135886
-342.4335,1622,1604.438358
-1170.433501,1622,1610.615504
-286.433501,1622,1633.912847
-1290.933501,1622,1640.100719
-1027.9335,1622,1659.822351
-790.4335,1622,1668.736823
-256.4335,1622,1674.900374
-1208.933499,1622,1695.434209
-1539.9335,1622,1703.893975
-1533.4335,1622,1723.628183
-553.898199,981,1727.466559
-1538.9335,1622,1736.150893
-1470.4335,1622,1756.234631
-1443.9335,1622,1762.572685
-1453.933501,1622,1771.603642
-1604.4335,1622,1791.881688
-1441.433501,1622,1798.116074
-210.016001,697,1800.755656
-1543.9335,1622,1824.030434
-1505.4335,1622,1829.927052
-1465.9335,1622,1852.324574
-1399.4335,1622,1858.714063
-1168.9335,1622,1864.610867
-1564.4335,1622,1887.630633
-1293.433501,1622,1893.446868
-1400.4335,1622,1916.198163
-1296.433498,1622,1922.446664
-1626.4335,1622,1928.284402
-1248.433499,1622,1950.968018
-1296.4335,1622,1957.064243
-1380.9335,1622,1979.583823
-1530.9335,1622,1986.090206
-1464.9335,1622,1991.916732
-1453.9335,1622,2015.337293
-1547.433501,1622,2021.446393
-1643.433499,1622,2041.215505
-1550.4335,1622,2050.646498
-1312.4335,1622,2056.563151
-1330.4335,1622,2076.757378
-1476.4335,1622,2086.039274
-1473.4335,1622,2105.473587
-822.933501,1622,2112.058328
-1155.433501,1622,2121.301567
-1228.4335,1622,2140.985362
-1567.433499,1622,2147.597213
-1575.433499,1622,2170.296124
-1542.4335,1622,2176.766009
-1560.933499,1622,2183.028298
-192.699899,659,2187.954431
-1528.433502,1622,2207.70168
-1423.4335,1622,2213.869386
-1274.9335,1622,2237.334246
-1502.4335,1622,2244.185204
-1433.433499,1622,2250.318402
-1441.9335,1622,2271.946662
-1092.77,1425,2277.177711
-1541.9335,1622,2300.577131
-1499.433501,1622,2306.933326
-1474.9335,1622,2312.825893
-1595.4335,1622,2334.685931
-257.6409,658,2337.43926
-1537.933499,1622,2343.443499
-1555.4335,1622,2366.275675
-1504.9335,1622,2372.456074
-1385.4335,1622,2394.68838
-1413.933501,1622,2401.205034
-1583.4335,1622,2407.189631
-1501.433499,1622,2430.347654
-1582.9335,1622,2436.728334
-1486.933501,1622,2456.764413
-1530.9335,1622,2465.45032
-1537.933501,1622,2471.582421
-1553.9335,1622,2491.903161
-1564.433501,1622,2500.415889
-1517.433501,1622,2506.46635
-188.347399,653,2522.886941
-1493.9335,1622,2531.523979
-1298.9335,1622,2537.520509
-1034.933501,1622,2557.960053
-535.294,952,2563.785588
-1475.933501,1622,2569.86553
-1363.433499,1622,2590.325412
-1382.433499,1622,2598.585328
-1591.9335,1622,2619.289274
-1531.4335,1622,2625.631366
-466.046001,872,2628.837109
-1395.933499,1622,2651.073586
-1492.4335,1622,2657.333364
-1377.433499,1622,2663.297052
-1253.933501,1622,2685.707007
-1482.9335,1622,2691.723376
-1507.4335,1622,2713.792426
-1418.933502,1622,2721.416111
-1433.9335,1622,2727.902236
-515.489499,982,2747.734886
-1420.4335,1622,2754.258744
-1536.9335,1622,2760.553486
-1387.433501,1622,2783.932817
-1395.4335,1622,2790.329892
-1357.9335,1622,2813.098377
-1388.933501,1622,2819.641532
-1376.433501,1622,2825.796849
-1111.531007,1540,2848.705909
-1402.433501,1622,2855.427655
-1501.9335,1622,2878.888936
-1520.433501,1622,2885.724653
-662.5532,1041,2890.818469
-1559.9335,1622,2917.255445
-1409.9335,1622,2923.866583
-1418.433501,1622,2930.708555
-1434.4335,1622,2958.697771
-1413.4335,1622,2965.19041
-1334.4335,1622,2994.701679
-1514.4335,1622,3001.232874
-1374.433501,1622,3007.654232
-1424.9335,1622,3031.278248
-1256.933501,1622,3037.209949
-1461.933499,1622,3064.200135
-1355.433501,1622,3072.82783
-1228.933499,1622,3083.522046
-1314.9335,1622,3109.370559
-1310.9335,1622,3120.038083
-1288.9335,1622,3151.546751
-1354.4335,1622,3159.432718
-1425.433499,1622,3165.930667
-1297.933499,1622,3200.110031
-1266.9335,1622,3211.404037
-321.145502,867,3216.565725
-1436.933501,1622,3248.95207
