time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate
6144,11,526,1,,,,,,,,,,
12288,27,455,2,0.0063028387,4,-0.0054359015775844455,-0.03972715884447098,0.049641927083333336,0.002435147762298584,0.2,0.2754539560216169,-8.312689830859503,0.00025
18432,42,435,3,0.006879184,8,-0.003986913836949195,-0.08380410820245743,0.047892252604166664,0.8311383128166199,0.2,0.002200938817622955,-8.309870282808939,0.00025
24576,57,427,4,0.0029410839,12,-0.00281678907534418,-0.08239220082759857,0.020263671875,0.14453363418579102,0.2,0.016670567786301643,-8.312396754821142,0.00025
30720,72,422,5,0.005264307,16,-0.0017556589349017788,-0.08755938708782196,0.018880208333333332,0.12448668479919434,0.2,0.0160133603324842,-8.307544767856598,0.00025
36864,88,418,6,0.0054032034,20,-0.0036052396535524167,-0.09186876565217972,0.04248046875,0.5046427249908447,0.2,0.001809016809905491,-8.304570019245148,0.00025
43008,103,415,7,0.006462985,24,-0.0037291202800891674,-0.0954190194606781,0.06551106770833333,0.08698087930679321,0.2,0.010069947558804415,-8.299653907616934,0.00025
49152,118,414,8,0.0047637247,28,-0.0024036493220288926,-0.08603070676326752,0.051350911458333336,0.28347575664520264,0.2,0.0022505360072197314,-8.28469967842102,0.00025
55296,133,413,9,0.0040254244,32,-0.0018103644251823425,-0.08861449360847473,0.022176106770833332,0.7003939151763916,0.2,0.0005674500010475944,-8.289831121762594,0.00025
61440,148,412,10,0.005873708,36,-0.003904809471957075,-0.09050809592008591,0.0423583984375,0.8096240162849426,0.2,0.0006745498794771265,-8.285819242397944,0.00025
67584,164,411,11,0.0077540553,40,-0.009129473248322029,-0.09994152933359146,0.0518798828125,0.7266733646392822,0.2,0.0007863983928473317,-8.294717421134314,0.00025
73728,179,410,12,0.0071432465,44,-0.008439818343807323,-0.09709066897630692,0.055501302083333336,0.6900887489318848,0.2,0.001178065251830655,-8.29586312174797,0.00025
79872,194,409,13,0.008047949,48,-0.011253832000268934,-0.10695552825927734,0.07185872395833333,0.6307272911071777,0.2,0.0008491939006489702,-8.288605441649755,0.00025
86016,210,409,14,0.007956506,52,-0.013676800629279265,-0.11559460312128067,0.07857259114583333,0.34527134895324707,0.2,0.0008687453761619205,-8.295174340407053,0.00025
92160,225,408,15,0.009842944,56,-0.01654037501430139,-0.1272628754377365,0.112548828125,0.22831565141677856,0.2,0.0010358360735457002,-8.276973774035772,0.00025
98304,240,407,16,0.013537005,60,-0.019898174961175148,-0.126319020986557,0.14278157552083334,0.006678760051727295,0.2,0.0009365237844273603,-8.273075501124064,0.00025
