time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl
396,1,768,1,,,,,,,,,,,,
165,9,1536,2,20.370941082636516,11.827841758728027,-8.29479749997457,0.2,-0.0018763542175292969,1019.0,0.00025,-545.0,3,-0.0038239226883484256,0.3328993055555556,0.018135078
166,13,2304,3,25.932756251759,13.276453018188477,-8.26024067401886,0.2,0.02735072374343872,1019.0,0.00025,-545.0,6,0.005865518734531684,0.3849826388888889,0.03303317
166,18,3072,4,12.372997654808891,11.754011154174805,-8.165325085322062,0.2,0.14847588539123535,1019.0,0.00025,538.3333333333334,9,0.01492963151799308,0.4917534722222222,0.03548706
166,23,3840,5,20.17349138524797,14.237141609191895,-8.134919087092081,0.2,0.02477484941482544,1019.0,0.00025,538.3333333333334,12,-0.0076803578477766775,0.3424479166666667,0.027285159
166,27,4608,6,12.9357034696473,9.17197036743164,-8.079813420772552,0.2,0.14489448070526123,1019.0,0.00025,1571.111111111111,15,-0.01036640788273265,0.3389756944444444,0.024629882
166,32,5376,7,16.208300484551323,10.93720817565918,-8.080434640248617,0.2,0.055274903774261475,1019.0,0.00025,1571.111111111111,18,-0.0051907418528571725,0.3103298611111111,0.03422293
165,37,6144,8,16.938320967886185,11.244975090026855,-7.835100968678792,0.2,-0.2290637493133545,1019.0,0.00025,3245.4583333333335,21,0.0016032247545404567,0.3841145833333333,0.05896206
153,45,6912,9,23.476089265611435,12.10614013671875,-7.4845614896880255,0.2,-0.062319040298461914,995.32,0.00025,3241.84,24,0.029449976295129292,0.54296875,0.13228947
154,49,7680,10,53.414717396100365,28.5600528717041,-6.854402906364864,0.2,0.1272350549697876,976.3333333333334,0.00025,2033.1333333333334,27,0.09870687577252586,0.6749131944444444,0.25249594
155,54,8448,11,35.39927332268821,6.834333419799805,-7.251344045003255,0.2,0.6299164891242981,977.7096774193549,0.00025,1917.3870967741937,30,0.07288553014708062,0.6106770833333334,0.11633281
155,59,9216,12,44.914221008618675,22.227197647094727,-6.879145344098409,0.2,0.8103452920913696,963.1351351351351,0.00025,3081.4594594594596,33,0.06239200542525699,0.6115451388888888,0.12500167
155,64,9984,13,57.725347174538506,43.44786071777344,-6.653298603163825,0.2,0.8142877221107483,943.2307692307693,0.00025,3067.948717948718,36,0.05965942219417128,0.5590277777777778,0.049677048
155,68,10752,14,58.31987367735969,51.54764938354492,-6.550481484995948,0.2,0.8782221674919128,887.2553191489362,0.00025,2723.723404255319,39,0.03662557118675775,0.4809027777777778,0.050510246
155,74,11520,15,67.0956319173177,28.656312942504883,-6.576937218507131,0.2,0.8769071698188782,845.6538461538462,0.00025,2738.3846153846152,42,0.032545453403145075,0.4509548611111111,0.04884046
149,82,12288,16,46.63916386498345,23.192413330078125,-6.573961330784692,0.2,0.8675057888031006,826.6315789473684,0.00025,2444.6666666666665,45,0.0368315358646214,0.484375,0.08920998
150,86,13056,17,55.54775857925415,65.37277221679688,-6.695736481083764,0.2,0.8631289601325989,812.0327868852459,0.00025,2458.967213114754,48,0.028995874661227897,0.4474826388888889,0.047902983
150,91,13824,18,71.9783272213406,29.79473304748535,-6.658362110455831,0.2,0.871814489364624,810.1384615384616,0.00025,2099.0,51,0.03494968361014293,0.5525173611111112,0.07935568
150,96,14592,19,64.174739546246,76.36373138427734,-6.63296334611045,0.2,0.867075502872467,784.6527777777778,0.00025,2036.9444444444443,54,0.057498823928957186,0.5598958333333334,0.14311145
151,101,15360,20,89.35932064056396,55.57296371459961,-6.5628256930245294,0.2,0.8261807560920715,776.96,0.00025,1926.92,57,0.06049497257400718,0.5815972222222222,0.10522107
151,106,16128,21,63.91302757793002,34.076904296875,-6.392646822664473,0.2,0.9107728600502014,782.1139240506329,0.00025,1393.9493670886077,60,0.12186866191526254,0.7200520833333334,0.28049514
147,114,16896,22,92.25390071339078,50.053810119628906,-6.383868396282196,0.2,0.7052742838859558,786.5542168674699,0.00025,891.6746987951807,63,0.07422575190947908,0.6484375,0.19113879
147,119,17664,23,71.5359672440423,47.784149169921875,-6.7187749942143755,0.2,0.7789003849029541,778.2613636363636,0.00025,1013.9318181818181,66,0.0621427750447765,0.6163194444444444,0.10446337
148,124,18432,24,64.39854860305786,59.146583557128906,-6.624637073940701,0.2,0.8198493719100952,756.2315789473685,0.00025,1245.4421052631578,69,0.03270785147065504,0.5412326388888888,0.065776676
148,128,19200,25,97.2119869656033,66.78355407714844,-6.46232193046146,0.2,0.7840644121170044,746.4343434343434,0.00025,1086.20202020202,72,0.05024098476860672,0.5824652777777778,0.14737779
149,133,19968,26,72.39330463939243,45.41374206542969,-6.457849052217272,0.2,0.880679190158844,719.13,0.00025,1040.57,75,0.04748110279130439,0.5407986111111112,0.09633976
149,138,20736,27,95.6374331580268,36.56000518798828,-6.278081893920898,0.2,0.820305585861206,693.61,0.00025,911.49,78,0.05213738214741978,0.56640625,0.06750063
