time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/approx_kl,train/value_loss,rollout/ep_rew_mean,train/clip_range
1,1,440,768,,,,,,,,,,,,
5,2,259,1536,-8.302021556430393,0.24348958333333334,1019.0,3,0.00025,-0.004477592159269584,0.00104522705078125,7.4469122886657715,0.013162628,15.586086836126116,-107.33333333333333,0.2
10,3,224,2304,-8.25402745935652,0.3363715277777778,1019.0,6,0.00025,-0.0027613265103557045,0.03834891319274902,13.117130279541016,0.023970837,17.23695530494054,-107.33333333333333,0.2
14,4,213,3072,-8.15983666314019,0.46875,1019.0,9,0.00025,0.0008010275713685486,0.07987105846405029,12.158636093139648,0.039352965,15.865447892083061,1279.1666666666667,0.2
21,5,179,3840,-8.083937638335758,0.4014756944444444,1019.0,12,0.00025,0.0033124477550801304,0.2235148549079895,15.805675506591797,0.059265178,19.739404320716858,1279.1666666666667,0.2
25,6,180,4608,-7.877940495808919,0.4236111111111111,1019.0,15,0.00025,0.023612443170148052,-0.29995787143707275,15.660880088806152,0.057210375,23.794251746601528,3546.4444444444443,0.2
29,7,180,5376,-7.673878610134125,0.671875,1019.0,18,0.00025,0.045541263133701354,-0.03363192081451416,11.317148208618164,0.26649645,16.5916907787323,3546.4444444444443,0.2
34,8,180,6144,-7.197585490014818,0.5590277777777778,1019.0,21,0.00025,0.051836050788147583,-0.01802825927734375,8.08366870880127,0.061690956,47.464490228229096,2680.4583333333335,0.2
38,9,178,6912,-6.781378262572819,0.79296875,1019.0,24,0.00025,0.23159284328317475,0.4623129367828369,16.455568313598633,1.0418538,41.433644281493294,2680.4583333333335,0.2
42,10,179,7680,-6.209424144691891,0.7495659722222222,1019.0,27,0.00025,0.1556879381597456,0.6270606517791748,11.612879753112793,0.11027629,49.4977916876475,-1623.7666666666667,0.2
47,11,178,8448,-6.578293906317817,0.5234375,1002.0967741935484,30,0.00025,0.04103487105264018,0.5539392232894897,18.739709854125977,0.060106087,51.42061424255371,-1531.0,0.2
54,12,169,9216,-5.873756216631995,0.5138888888888888,1004.4444444444445,33,0.00025,0.035004587223132454,0.8984295129776001,23.33792495727539,0.06518111,50.14999323421054,-2869.3333333333335,0.2
58,13,170,9984,-5.667870243390401,0.5147569444444444,970.7692307692307,36,0.00025,0.035807099904761545,0.5680859088897705,51.433162689208984,0.058832616,100.80424904823303,-2604.8205128205127,0.2
62,14,171,10752,-5.440495775805579,0.4713541666666667,947.4772727272727,39,0.00025,0.03605024822496085,0.7615543007850647,41.44810104370117,0.052655715,89.45561340120103,-2619.2727272727275,0.2
67,15,171,11520,-5.333108226458232,0.4526909722222222,907.4791666666666,42,0.00025,0.021425051731057465,0.7669730186462402,97.28324890136719,0.07662252,111.6041456328498,-2250.5,0.2
71,16,171,12288,-5.4279226594501075,0.5855034722222222,896.8653846153846,45,0.00025,0.031041819990302127,0.8454310894012451,73.3663330078125,0.1416903,64.11548089981079,-2380.3846153846152,0.2
75,17,172,13056,-5.429657128122118,0.4631076388888889,851.5932203389831,48,0.00025,0.03129023745552533,0.8492082953453064,41.397865295410156,0.076832265,59.51387826601664,-1938.915254237288,0.2
79,18,172,13824,-5.605436907874213,0.56640625,823.96875,51,0.00025,0.03532230225391686,0.7276076674461365,71.60962677001953,0.09904001,94.21370548672147,-1487.78125,0.2
84,19,173,14592,-5.801520387331645,0.5837673611111112,824.0597014925373,54,0.00025,0.06408571362650643,0.5848946571350098,53.801395416259766,0.12751372,85.31697999106512,-1780.5223880597016,0.2
88,20,173,15360,-5.504442559348212,0.6128472222222222,819.1666666666666,57,0.00025,0.05726030303372277,0.7799429893493652,43.66084671020508,0.17526917,65.8091169198354,-1925.125,0.2
92,21,173,16128,-5.902235713269976,0.4887152777777778,792.0379746835443,60,0.00025,0.03424130113691919,0.8431860208511353,84.52082061767578,0.072078176,94.25971979565091,-1409.3544303797469,0.2
96,22,174,16896,-6.177685446209377,0.5494791666666666,780.1807228915662,63,0.00025,0.04635623310201077,0.8581041693687439,55.40000534057617,0.08827567,47.939083364274765,-1266.120481927711,0.2
