,x_position,y_position,checkpoints,surfaces,speed
658,3281,1485,2,64,227
659,3267,1483,2,64,211
660,3255,1481,3,64,195
661,3243,1479,3,64,179
662,3232,1477,3,64,163
663,3223,1474,3,64,147
664,3215,1470,3,64,131
665,3208,1466,3,64,115
666,3203,1462,3,64,99
667,3198,1459,3,64,83
668,3194,1456,3,64,67
669,3191,1454,3,64,51
670,3189,1452,3,64,35
671,3187,1451,3,64,37
672,3185,1450,3,64,27
673,3184,1449,3,64,11
674,3184,1449,3,64,0
675,3184,1449,3,64,0
676,3184,1449,3,64,0
677,3184,1449,3,64,0
678,3184,1449,3,64,0
679,3184,1449,3,64,0
680,3184,1449,3,64,0
681,3184,1449,3,64,0
682,3184,1449,3,64,0
683,3184,1449,3,64,0
684,3184,1449,3,64,0
685,3184,1449,3,64,0
686,3184,1449,3,64,0
687,3184,1449,3,64,0
688,3184,1449,3,64,0
689,3184,1449,3,64,0
690,3184,1449,3,64,0
691,3184,1449,3,64,0
692,3184,1449,3,64,0
693,3184,1449,3,64,0
694,3184,1449,3,64,0
695,3184,1449,3,64,0
696,3184,1449,3,64,0
697,3184,1449,3,64,0
698,3184,1449,3,64,6
699,3183,1448,3,64,14
700,3183,1448,3,64,4
701,3183,1448,3,64,0
702,3182,1448,3,64,6
703,3182,1448,3,64,14
704,3181,1447,3,64,22
705,3180,1446,3,64,30
706,3178,1445,3,64,38
707,3176,1443,3,64,46
708,3174,1441,3,64,54
709,3171,1439,3,64,62
710,3167,1437,3,64,82
711,3163,1433,3,64,106
712,3157,1429,3,64,130
713,3151,1423,3,64,146
714,3143,1418,3,64,162
715,3135,1411,3,64,178
716,3126,1404,3,64,194
717,3116,1396,3,64,226
718,3104,1387,3,64,222
719,3093,1379,3,64,242
720,3081,1369,3,64,282
721,3066,1357,3,64,330
722,3049,1344,3,64,378
723,3029,1329,3,64,426
724,3008,1312,3,64,420
725,2989,1295,3,64,396
726,2972,1278,3,64,369
727,2958,1261,3,64,341
728,2946,1243,3,64,370
729,2935,1221,3,64,418
730,2925,1196,3,64,462
731,2916,1167,3,64,494
732,2907,1137,3,64,526
733,2898,1105,3,64,558
734,2888,1071,3,64,586
735,2879,1044,4,64,578
736,3712,2288,29,64,0
737,3712,2288,29,64,0
738,3712,2288,29,64,0
739,3712,2288,29,64,0
740,3712,2288,29,64,0
741,3712,2288,29,64,0
742,3712,2288,29,64,0
743,3712,2288,29,64,0
744,3712,2288,29,64,0
