rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates
1622.0,310,19,-273.95550000000003,1,6144,,,,,,,,,,
1622.0,187,65,-233.6000666666667,2,12288,19.339944163958233,-8.306245108445486,0.00025,0.003781259059906006,9.7174654006958,-0.02807724698019835,0.011805892,0.2,0.2779541015625,4
1622.0,183,100,-199.51000000000005,3,18432,17.662401994069416,-8.265871236721674,0.00025,0.13759827613830566,8.025762557983398,-0.023672316456213593,0.018460488,0.2,0.3102620442708333,8
1622.0,179,136,-162.86576664999998,4,24576,19.09376484155655,-8.186546464761099,0.00025,0.21610331535339355,8.398415565490723,-0.02052885609252068,0.023984253,0.2,0.3351643880208333,12
1622.0,178,171,-221.55627790277777,5,30720,21.268988172213238,-8.100109825531641,0.00025,0.2810714840888977,8.728568077087402,-0.008862041548127308,0.031593945,0.2,0.3948567708333333,16
1622.0,178,207,-292.9498891444445,6,36864,37.24849592645963,-8.015050649642944,0.00025,0.06154370307922363,5.590207099914551,0.05163771919130037,0.024713062,0.2,0.4839680989583333,20
1622.0,178,241,-286.42838031,7,43008,33.11183727780978,-8.044365157683691,0.00025,0.7712380290031433,9.918841361999512,0.02920551187222979,0.010816269,0.2,0.3356526692708333,24
1622.0,177,277,-333.55061049000005,8,49152,35.54071789979935,-8.045094082752863,0.00025,0.8850943669676781,14.745949745178223,0.02082985141411579,0.014859383,0.2,0.3385823567708333,28
1622.0,176,313,-358.62096056,9,55296,60.90302995840708,-8.06918636461099,0.00025,0.928522065281868,26.2928466796875,0.020447152938383322,0.035736207,0.2,0.3346354166666667,32
1622.0,175,349,-424.0507807,10,61440,61.88463771343231,-8.06042126317819,0.00025,0.9423618465662003,21.96907615661621,0.017450270788685884,0.03562723,0.2,0.3430582682291667,36
1622.0,174,387,-408.12038064999996,11,67584,75.54206776618958,-8.064502398173014,0.00025,0.9498885162174702,26.40114402770996,0.010887582408031449,0.02528572,0.2,0.3309326171875,40
1604.94,174,423,-411.90917070999996,12,73728,34.89469854036967,-7.967825079957644,0.00025,0.9159492328763008,15.880090713500977,0.03820875254556692,0.17725687,0.2,0.4893391927083333,44
1595.49,175,456,-443.20102073999993,13,79872,109.5641975402832,-7.909970273574193,0.00025,0.9364041909575462,55.005550384521484,0.030667064420413226,0.024647022,0.2,0.4248453776041667,48
1580.48,176,488,-457.14568069,14,86016,96.34033056100209,-7.935087884465854,0.00025,0.9142177700996399,38.62777328491211,0.010850701815797947,0.02224096,0.2,0.3426513671875,52
1580.48,177,520,-417.25063057999995,15,92160,96.55257991949718,-7.995732709765434,0.00025,0.9184191003441811,41.435523986816406,0.006357954305713065,0.0135928085,0.2,0.24418131510416666,56
1558.11,177,552,-376.83714047999996,16,98304,49.62233485778173,-7.95234373708566,0.00025,0.9458839781582355,35.278472900390625,0.00864984619935664,0.014182872,0.2,0.279052734375,60
1548.66,178,584,-379.94588051,17,104448,75.545955936114,-7.915294716755549,0.00025,0.9337012469768524,34.454750061035156,0.005559143067027132,0.014009804,0.2,0.24873860677083334,64
