,x_position,y_position
0,3712,2288
1,3712,2288
2,3712,2288
3,3712,2287
4,3712,2287
5,3711,2286
6,3711,2284
7,3711,2282
8,3711,2279
9,3711,2276
10,3711,2272
11,3710,2268
12,3710,2262
13,3709,2254
14,3708,2246
15,3707,2236
16,3705,2226
17,3704,2214
18,3703,2201
19,3701,2185
20,3699,2168
21,3696,2147
22,3692,2123
23,3687,2097
24,3680,2068
25,3671,2038
26,3661,2006
27,3651,1972
28,3641,1937
29,3630,1901
30,3619,1864
31,3606,1826
32,3591,1789
33,3574,1752
34,3552,1716
35,3527,1683
36,3498,1652
37,3465,1624
38,3430,1599
39,3392,1576
40,3353,1555
41,3314,1534
42,3274,1513
43,3254,1502
44,3712,2288
45,3712,2288
46,3712,2288
47,3712,2287
48,3712,2287
49,3711,2286
50,3711,2284
51,3711,2282
52,3711,2279
53,3711,2276
54,3711,2272
55,3710,2268
56,3710,2262
57,3709,2254
58,3708,2246
59,3707,2236
60,3706,2225
61,3704,2214
62,3703,2201
63,3701,2185
64,3699,2167
65,3697,2147
66,3693,2123
67,3688,2096
68,3681,2068
69,3672,2038
70,3663,2006
71,3653,1972
72,3643,1937
73,3632,1900
74,3621,1863
75,3609,1826
76,3594,1788
77,3577,1751
78,3556,1715
79,3531,1682
80,3501,1651
81,3469,1623
82,3433,1598
83,3396,1574
84,3358,1553
85,3318,1531
86,3278,1510
87,3258,1499
88,3712,2288
89,3712,2288
90,3712,2288
91,3712,2287
92,3712,2287
93,3711,2286
94,3711,2284
95,3711,2282
96,3711,2279
97,3711,2276
98,3711,2272
99,3710,2268
100,3710,2262
101,3709,2254
102,3708,2246
103,3707,2236
104,3706,2225
105,3704,2214
106,3703,2201
107,3701,2185
108,3699,2167
109,3697,2147
110,3694,2123
111,3689,2096
112,3682,2068
113,3673,2038
114,3664,2006
115,3654,1972
116,3644,1936
117,3634,1900
118,3622,1863
119,3610,1825
120,3595,1788
121,3578,1751
122,3557,1715
123,3532,1681
124,3503,1650
125,3470,1623
126,3435,1597
127,3397,1574
128,3359,1552
129,3319,1531
130,3280,1510
131,3259,1499
132,3712,2288
133,3712,2288
134,3712,2288
135,3712,2287
136,3712,2287
137,3711,2286
138,3711,2284
139,3711,2282
140,3711,2279
141,3711,2276
