#{"t_start": 1755821449.5858734, "env_id": "None"}
r,l,t
-404.200014,1622,4.691186
-441.700016,1622,9.050482
-419.700015,1622,23.61123
-441.200015,1622,30.671251
-451.700016,1622,35.246404
-515.200019,1622,50.531841
-547.20002,1622,54.972553
-539.200019,1622,72.542828
-477.700017,1622,76.831955
-546.20002,1622,81.085614
-578.200021,1622,95.345122
-656.200025,1622,102.770459
-560.70002,1622,117.805122
-498.200017,1622,122.150448
-513.200018,1622,126.498475
-420.700015,1622,144.383848
-513.700018,1622,148.61391
-456.700016,1622,163.054699
-380.700013,1622,167.388142
-349.700012,1622,174.929716
-399.200014,1622,190.413969
-303.20001,1622,194.861502
-341.200011,1622,213.921845
-315.70001,1622,218.396323
-350.200012,1622,222.943435
-338.700011,1622,241.409016
-363.700012,1622,245.963218
-354.200012,1622,261.172395
-326.200011,1622,265.58948
-316.70001,1622,269.843003
-319.70001,1622,288.589338
-282.200009,1622,293.694597
-334.700011,1622,311.996912
-303.20001,1622,316.698359
-339.700011,1622,320.957798
-307.70001,1622,337.181643
-332.200011,1622,341.574848
-277.200008,1622,359.973911
-316.70001,1622,364.302751
-292.200009,1622,368.570699
-330.700011,1622,387.625685
-306.20001,1622,392.304391
-322.70001,1622,408.494439
-333.200011,1622,416.491229
-391.200013,1622,421.398977
-363.200012,1622,438.187689
-378.200013,1622,443.539678
-348.200012,1622,463.029885
-315.70001,1622,468.036503
-314.20001,1622,472.888245
-275.700008,1622,492.372717
-280.200009,1622,497.008253
-290.200009,1622,512.43944
-256.200007,1622,517.075396
-260.700008,1622,524.879095
-296.200009,1622,540.912842
-296.200009,1622,545.394264
-322.70001,1622,549.782597
-283.200009,1622,569.568686
-271.200008,1622,574.060052
-296.200009,1622,592.605705
-300.700009,1622,597.373245
-307.70001,1622,601.886711
-251.700007,1622,617.502033
-268.200008,1622,621.995244
-257.700008,1622,640.977355
-320.20001,1622,645.653372
-342.200011,1622,650.225922
-310.20001,1622,669.176567
-309.20001,1622,673.789354
-302.70001,1622,689.56365
-269.200008,1622,697.233859
-298.700009,1622,701.642295
-263.700008,1622,717.786883
-315.70001,1622,722.42388
-1342.200028,1622,741.29601
-355.200012,1622,746.126999
-322.20001,1622,750.566539
-316.70001,1622,769.091254
-309.20001,1622,773.753575
-347.700012,1622,790.037028
-335.700011,1622,794.846107
-370.200013,1622,802.335965
-391.200013,1622,818.19382
-415.200015,1622,822.715963
-343.200011,1622,841.7879
-335.200011,1622,846.770336
-365.700012,1622,851.309918
-349.700012,1622,867.37763
-317.70001,1622,874.928234
-299.700009,1622,890.594087
-330.700011,1622,895.353325
-268.200008,1622,899.907108
-325.200011,1622,918.758278
-390.200013,1622,923.328786
-329.700011,1622,942.484867
-354.700012,1622,947.705767
-367.200012,1622,952.520874
-321.70001,1622,969.329316
-330.700011,1622,977.56716
-346.200011,1622,994.819237
-341.200011,1622,1000.183542
-331.700011,1622,1005.363151
-351.200012,1622,1025.63432
-343.200011,1622,1030.8498
-332.700011,1622,1050.804827
-295.200009,1622,1056.086679
-288.200009,1622,1061.074858
-339.700011,1622,1078.229122
-322.70001,1622,1086.319284
-376.700013,1622,1103.415354
-331.200011,1622,1108.651718
-296.200009,1622,1113.553738
-595.700023,1622,1134.337959
-946.200037,1622,1139.475886
-941.700037,1622,1144.370507
-927.200037,1622,1164.865739
-946.200037,1622,1169.721566
-941.200037,1622,1189.099923
-960.200038,1622,1194.050767
-934.700037,1622,1198.765691
-911.700036,1622,1215.746603
-926.700037,1622,1220.375293
-941.200037,1622,1239.775376
-946.700037,1622,1244.564611
-947.700038,1622,1249.092347
-933.700037,1622,1268.890896
-927.200037,1622,1273.634894
-877.700034,1622,1289.664492
-916.700036,1622,1297.494277
-929.200037,1622,1302.1886
-941.700037,1622,1318.350279
-928.700037,1622,1323.032558
-921.200036,1622,1343.415358
-924.200036,1622,1348.337763
-923.200036,1622,1353.157331
-934.700037,1622,1373.796994
-900.700035,1622,1378.949298
-952.700038,1622,1396.719116
-927.700037,1622,1405.832425
-945.700037,1622,1411.22226
-900.700035,1622,1430.002558
-893.200035,1622,1438.71738
-937.200037,1622,1457.375596
-929.200037,1622,1463.134263
-908.700036,1622,1471.61051
-894.700035,1622,1490.381239
-917.700036,1622,1495.897735
-889.700035,1622,1516.635811
-892.200035,1622,1522.089695
-923.700036,1622,1526.986675
-892.200035,1622,1547.6919
-877.200034,1622,1552.421486
-872.700034,1622,1568.754571
-873.700034,1622,1576.774115
-880.700035,1622,1581.583338
-876.200034,1622,1597.870034
-858.700034,1622,1602.861482
-823.700032,1622,1622.338216
-834.700032,1622,1627.204616
-809.200031,1622,1631.83461
-865.200034,1622,1651.692856
-801.200031,1622,1656.562128
-827.200032,1622,1672.790527
-809.200031,1622,1682.46623
-903.700036,1622,1688.20863
-828.700032,1622,1706.53398
-861.200034,1622,1712.195745
-879.200034,1622,1734.65937
-851.200033,1622,1740.910069
-826.200032,1622,1746.784452
-838.700033,1622,1770.564647
-826.700032,1622,1776.668833
-817.200032,1622,1782.47398
-823.200032,1622,1806.780039
-824.200032,1622,1812.344278
-826.200032,1622,1834.243096
-749.200029,1622,1839.673404
-796.200031,1622,1844.555086
-789.70003,1622,1864.652174
-783.70003,1622,1869.59413
-804.200031,1622,1885.73808
-735.200028,1622,1890.724212
-740.200028,1622,1897.813107
-761.200029,1622,1913.643969
-670.700025,1622,1918.317148
-678.200025,1622,1937.319116
-698.700026,1622,1942.232915
-736.200028,1622,1946.754715
-703.700027,1622,1967.717258
-701.200027,1622,1972.672017
-731.200028,1622,1991.099224
-734.200028,1622,2000.0728
-723.700028,1622,2005.578152
-716.700027,1622,2025.97703
-683.700026,1622,2032.154516
-703.200027,1622,2056.594867
-604.700022,1622,2063.384319
-595.700022,1622,2072.641959
-553.20002,1622,2092.214809
-587.700021,1622,2097.579664
-542.70002,1622,2117.520705
-455.200016,1622,2122.438276
-504.200019,1622,2127.005068
-439.700016,1622,2145.930067
-391.700014,1622,2150.429054
