time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/clip_range,train/approx_kl
57,350208,1622.0,1442,242,-928.31003662,0.2512500286102295,0.0010498120245756581,-2.982830449938774,0.10835774739583333,0.00025,0.999783456325531,224,1.0927015010577936,0.2,0.010963985
58,356352,1622.0,1473,241,-926.3300365299999,0.2138439416885376,0.0016831755856401287,-2.7639844566583633,0.09431966145833333,0.00025,0.9997082352638245,228,1.0765728720774252,0.2,0.008922276
59,362496,1622.0,1499,241,-923.2550363799996,0.29551810026168823,0.0004916897062988331,-2.907843202352524,0.10367838541666667,0.00025,0.9998040199279785,232,1.035964231317242,0.2,0.010341101
60,368640,1622.0,1528,241,-918.2100361599997,0.17947641015052795,0.0013803766269120388,-2.7897744551301003,0.08931477864583333,0.00025,0.9997508525848389,236,1.0115237866217892,0.2,0.008423201
61,374784,1622.0,1556,240,-912.4650359199998,0.28255993127822876,0.0028043074538193955,-3.1202844257156053,0.1654052734375,0.00025,0.9998065233230591,240,0.9880453773463765,0.2,0.012960151
62,380928,1622.0,1583,240,-904.2650355499999,0.18762366473674774,0.002499537280527875,-2.934768959879875,0.10050455729166667,0.00025,0.9998078942298889,244,0.9793669252345959,0.2,0.006653263
63,387072,1622.0,1606,240,-896.7350352399999,0.20839673280715942,0.0028267575204760456,-3.065956244866053,0.11710611979166667,0.00025,0.9998418092727661,248,0.9423094308003783,0.2,0.008129747
64,393216,1622.0,1633,240,-883.0700346399999,0.16878369450569153,0.004741143277594044,-3.118032105267048,0.15275065104166666,0.00025,0.9998167157173157,252,0.9412356658528248,0.2,0.008713865
65,399360,1622.0,1660,240,-875.9000343399998,0.18600624799728394,0.005000584734564957,-3.1940901055932045,0.1629638671875,0.00025,0.9998853802680969,256,0.8819946722748379,0.2,0.012029685
66,405504,1622.0,1690,239,-865.0350338499999,0.22304551303386688,0.004269345631958761,-3.4003001302480698,0.15059407552083334,0.00025,0.9998393654823303,260,0.930406098254025,0.2,0.01284017
67,411648,1622.0,1720,239,-858.18503355,0.15222318470478058,0.004952162436287229,-3.2233646710713706,0.17350260416666666,0.00025,0.9998530149459839,264,0.8706885995343328,0.2,0.007772731
68,417792,1622.0,1749,238,-852.7650333199998,0.14046087861061096,0.0030040694909985177,-3.564087003469467,0.14265950520833334,0.00025,0.9998530149459839,268,0.898356854605178,0.2,0.010598474
69,423936,1622.0,1782,237,-843.8350329199999,0.12580367922782898,0.004078440406980614,-3.2673642386992774,0.19425455729166666,0.00025,0.9998641610145569,272,0.879420734786739,0.2,0.014858932
70,430080,1622.0,1815,236,-840.79503278,0.1759587675333023,0.0052484802702868665,-3.6745400577783585,0.17057291666666666,0.00025,0.9998693466186523,276,0.8930652697260181,0.2,0.01278198
71,436224,1622.0,1844,236,-831.5400323599997,0.16360025107860565,0.005397207406834544,-3.2378799617290497,0.18717447916666666,0.00025,0.9998813271522522,280,0.8063060281177362,0.2,0.0153963715
72,442368,1622.0,1872,236,-824.59503202,0.1955447494983673,0.0045363182604584535,-3.9080215071638427,0.2220458984375,0.00025,0.9998043179512024,284,0.9021193205068508,0.2,0.017296389
73,448512,1622.0,1898,236,-807.45503126,0.18120451271533966,0.004296671448779914,-3.5457895944515863,0.18212890625,0.00025,0.999798059463501,288,0.8263696609064937,0.2,0.015968611
74,454656,1622.0,1920,236,-790.88503051,0.2774285078048706,0.004177876345541638,-3.7799763282140098,0.17220052083333334,0.00025,0.9997379183769226,292,0.8969679651781917,0.2,0.018989693
75,460800,1622.0,1947,236,-770.3200295900001,0.12582166492938995,0.006422410515369847,-3.2768781358997026,0.20560709635416666,0.00025,0.9996117353439331,296,0.8799491015573343,0.2,0.018552482
76,466944,1622.0,1975,236,-758.3650290400001,0.228316068649292,0.006042779816198163,-3.6484043275316558,0.1904296875,0.00025,0.9997113943099976,300,0.9078744438787302,0.2,0.021239629
77,473088,1622.0,2006,235,-742.0200283100004,0.15629015862941742,0.004645393128157593,-3.4101091101765633,0.17708333333333334,0.00025,0.9997655749320984,304,0.7944007370000085,0.2,0.01814631
78,479232,1622.0,2039,234,-728.87502772,0.18990449607372284,0.00872380073997192,-3.8897167444229126,0.2696940104166667,0.00025,0.9997381567955017,308,0.8717133685325583,0.2,0.024169425
79,485376,1622.0,2073,234,-699.58002647,0.1500297337770462,0.00747219675637704,-3.717936431368192,0.2357177734375,0.00025,0.9996145367622375,312,0.8674938225497802,0.2,0.018516144
80,491520,1622.0,2101,233,-676.23502543,0.21476610004901886,0.012366346054477617,-4.195200862983863,0.2730305989583333,0.00025,0.999552309513092,316,0.9818441538761059,0.2,0.027018374
81,497664,1622.0,2128,233,-636.4350237600001,0.2105429321527481,0.009915007569361478,-4.026856057345867,0.2442626953125,0.00025,0.9992812871932983,320,0.9905539533744255,0.2,0.03147709
82,503808,1622.0,2153,233,-602.04502229,0.22442752122879028,0.0016189885936910287,-4.393581122159958,0.24686686197916666,0.00025,0.999035656452179,324,1.2011701663335164,0.2,0.017428203
