rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
2224.0,12,-606.9910665,6144,1,510,,,,,,,,,,
2224.0,34,-637.7503259444444,12288,2,352,0.4248046875,4,-8.28028287490209,0.003021419048309326,0.2,17.829898153742153,0.036041435,0.00025,0.014336836597067304,2.4628751277923584
2224.0,58,-660.9299555333334,18432,3,316,0.5287679036458334,8,-8.216204712788263,0.11756962537765503,0.2,18.048272401094437,0.09202256,0.00025,0.028901143984209437,3.144777297973633
2224.0,81,-688.9513840714286,24576,4,300,0.5276285807291666,12,-8.157823741436005,0.32791584730148315,0.2,25.359201197822888,0.06374473,0.00025,0.026580813896240823,12.021482467651367
2224.0,107,-710.4602024259257,30720,5,285,0.4557291666666667,16,-8.128588984409967,0.309928834438324,0.2,30.5609217385451,0.10508589,0.00025,0.02045170744531788,7.023854732513428
2224.0,131,-723.0036928787877,36864,6,281,0.5361735026041666,20,-8.070943718155226,0.49573397636413574,0.2,31.571426421403885,0.016242417,0.00025,0.04533796266575033,12.058985710144043
2224.0,153,-722.0049555138888,43008,7,279,0.4067789713541667,24,-8.137336745858192,0.6334414482116699,0.2,31.011186728874844,0.06283748,0.00025,0.016298234586429317,12.012502670288086
2224.0,177,-725.5049555119045,49152,8,276,0.4212646484375,28,-8.166155507167181,0.9020500183105469,0.2,15.840357594192028,0.02330553,0.00025,0.019871438111294992,2.089690685272217
2224.0,201,-726.5709277187499,55296,9,274,0.5367024739583334,32,-8.070303489764532,0.8639166355133057,0.2,19.568686748544376,0.03296921,0.00025,0.031021244518342428,4.443456172943115
2224.0,225,-739.5977332799998,61440,10,272,0.3646240234375,36,-8.189922710259756,0.9672965407371521,0.2,12.10018635292848,0.10825024,0.00025,0.0160339239021899,3.8269429206848145
2224.0,249,-746.4443999299998,67584,11,270,0.4909261067708333,40,-8.082046334942182,0.9315046668052673,0.2,16.731535231073696,0.15056692,0.00025,0.03045493826599947,7.539854049682617
2224.0,274,-737.4343999399998,73728,12,269,0.3238932291666667,44,-8.146105349063873,0.9744229316711426,0.2,12.283055981000265,0.020819068,0.00025,0.007202623317425605,6.247530460357666
2224.0,297,-728.8193999599997,79872,13,268,0.4166666666666667,48,-8.14382329583168,0.9691371917724609,0.2,10.64586816728115,0.047857612,0.00025,0.02768985947962695,3.0388712882995605
2224.0,321,-704.9660666199999,86016,14,267,0.3694254557291667,52,-8.152684132258097,0.9716394543647766,0.2,7.657097923258941,0.03578848,0.00025,0.024072406990550615,3.5380771160125732
2224.0,346,-668.89939994,92160,15,266,0.5605875651041666,56,-7.975511307517688,0.9663273692131042,0.2,6.042720188697179,0.30189174,0.00025,0.10199638998892624,2.659497022628784
2224.0,370,-634.45439993,98304,16,265,0.4008382161458333,60,-8.0126773416996,0.95179682970047,0.2,7.27812426785628,0.05627716,0.00025,0.029248014756982837,2.639650821685791
2224.0,394,-600.70106662,104448,17,264,0.345947265625,64,-7.935360213120778,0.9581197500228882,0.2,6.547080829739571,0.030974025,0.00025,0.015033251441006238,3.0909841060638428
2224.0,419,-570.4977332800001,110592,18,263,0.4091389973958333,68,-7.868785530328751,0.9698191285133362,0.2,5.29333018263181,0.014817265,0.00025,0.0321617436905702,1.848534107208252
2224.0,445,-553.97939996,116736,19,262,0.3312581380208333,72,-7.824153025945027,0.9778453707695007,0.2,5.15768342713515,0.010918493,0.00025,0.017433314368342206,2.217388868331909
2224.0,470,-525.4793999600001,122880,20,261,0.45849609375,76,-7.806627055009206,0.9823022484779358,0.2,6.0763904104630155,0.048272263,0.00025,0.03719153180039333,1.5824930667877197
2224.0,495,-502.59273325999993,129024,21,260,0.20292154947916666,80,-7.85232741634051,0.9833835959434509,0.2,4.715151745826006,0.015893344,0.00025,0.004903854586397453,1.3844707012176514
2224.0,519,-482.70273325,135168,22,260,0.17720540364583334,84,-7.812174489100774,0.9893162250518799,0.2,5.432611790796121,0.011111935,0.00025,0.002644853353558574,1.2084754705429077
2224.0,543,-471.31273325,141312,23,260,0.21480305989583334,88,-7.799109612902005,0.9865677356719971,0.2,6.896882635851701,0.011069822,0.00025,0.006869286628595243,3.1822781562805176
2224.0,567,-464.45273328,147456,24,259,0.22342936197916666,92,-7.807109231750171,0.987739086151123,0.2,6.654181418319543,0.01405872,0.00025,0.005167107907861161,2.4892725944519043
2224.0,593,-460.11273327000004,153600,25,258,0.24117024739583334,96,-7.805081367492676,0.9880908131599426,0.2,6.167645990848541,0.013902448,0.00025,0.006680166923615616,2.801849603652954
2224.0,619,-456.74773327,159744,26,257,0.2577718098958333,100,-7.86568808555603,0.9863367676734924,0.2,6.666121321419875,0.012305167,0.00025,0.006083299068753452,3.825390338897705
2224.0,645,-447.34773326999994,165888,27,257,0.2786458333333333,104,-7.862880234917005,0.9812169075012207,0.2,6.214006371796131,0.017620288,0.00025,0.01073119099116108,1.774204134941101
2224.0,670,-433.6993999400001,172032,28,256,0.3084309895833333,108,-7.8969018161296844,0.9911237359046936,0.2,4.564596265554428,0.012200269,0.00025,0.01529010351805482,1.1934653520584106
2224.0,696,-417.71773327999995,178176,29,255,0.4205729166666667,112,-7.809503361582756,0.9895690083503723,0.2,5.060933870573838,0.020012088,0.00025,0.028863800941811252,2.7346091270446777
