time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
768,2,260,1,,,,,,,,,,,,
1536,8,171,2,0.2513020833333333,0.019216388,0.00025,-8.302569137679207,-0.0013283205917105079,3,0.2,-0.004343628883361816,17.40462397204505,12.496000289916992,1019.0,-341.3333333333333
2304,15,153,3,0.2903645833333333,0.028256232,0.00025,-8.274886594878303,0.0012336401010139121,6,0.2,-0.14114928245544434,18.757541100184124,13.853525161743164,1019.0,-341.3333333333333
3072,21,145,4,0.3923611111111111,0.045837384,0.00025,-8.19913625717163,-0.008796650903402932,9,0.2,0.08866935968399048,14.14018800523546,14.648605346679688,1019.0,963.0
3840,30,125,5,0.3550347222222222,0.034923613,0.00025,-8.085636761453417,-0.009081927451512052,12,0.2,0.03924107551574707,30.422129101223415,15.351523399353027,1019.0,963.0
4608,37,124,6,0.3159722222222222,0.03384896,0.00025,-8.07311456071006,-0.011889049848024216,15,0.2,-0.012209177017211914,14.296664317448935,7.954534530639648,1019.0,2381.222222222222
5376,43,123,7,0.3684895833333333,0.026640354,0.00025,-8.055161330435011,0.038312384806987315,18,0.2,0.2892913818359375,11.992626892195808,8.993523597717285,1019.0,2381.222222222222
6144,49,123,8,0.671875,0.22560541,0.00025,-7.7759524782498675,0.11722727528669769,21,0.2,-0.07144820690155029,43.24245259496901,19.842554092407227,1019.0,3309.4166666666665
6912,56,123,9,0.5642361111111112,0.08036821,0.00025,-7.538475268416935,0.06614119810466138,24,0.2,0.37890589237213135,27.823970933755238,6.8674750328063965,1019.0,3309.4166666666665
7680,65,116,10,0.55859375,0.10271291,0.00025,-7.552087671226925,0.04265340709955328,27,0.2,0.3778894543647766,17.179697857962715,14.505104064941406,1013.3666666666667,4287.166666666667
8448,72,117,11,0.5256076388888888,0.039734703,0.00025,-7.462516619099511,0.04850428669144296,30,0.2,0.5101749897003174,43.36966612603929,22.58354377746582,1013.3666666666667,4287.166666666667
9216,78,117,12,0.5290798611111112,0.05655947,0.00025,-7.59760046005249,0.038241959319243,33,0.2,0.7441197633743286,30.559224009513855,16.46529769897461,1014.3055555555555,4890.472222222223
9984,84,118,13,0.4748263888888889,0.04498859,0.00025,-7.695976979202694,0.02724116961730437,36,0.2,0.6935185194015503,27.05328569809596,4.944392681121826,1014.3055555555555,4890.472222222223
10752,90,119,14,0.5368923611111112,0.058723956,0.00025,-7.664678494135539,0.043128655964715615,39,0.2,0.46847420930862427,20.867912504408096,15.21130084991455,1014.9761904761905,5725.071428571428
11520,99,115,15,0.4613715277777778,0.05624563,0.00025,-7.761998011006249,0.01642767136864778,42,0.2,0.5101290941238403,26.334828986061943,29.813297271728516,1014.9761904761905,5725.071428571428
12288,106,115,16,0.5950520833333334,0.09792948,0.00025,-7.5646827883190575,0.04335047242542108,45,0.2,0.6071759462356567,18.489123622576397,16.077537536621094,1015.4791666666666,6553.854166666667
13056,112,116,17,0.5134548611111112,0.055253778,0.00025,-7.182365384366777,0.03356666451630493,48,0.2,0.5476253032684326,50.353856033749054,52.244789123535156,1015.4791666666666,6553.854166666667
13824,118,116,18,0.5377604166666666,0.07839348,0.00025,-7.312357472048865,0.047148248387707606,51,0.2,0.6986203789710999,33.70428625742594,11.337578773498535,1015.8703703703703,6245.240740740741
14592,124,116,19,0.5659722222222222,0.072300605,0.00025,-7.6072977847523156,0.03838383855246422,54,0.2,0.8725728392601013,31.661728236410354,13.278040885925293,1015.8703703703703,6245.240740740741
15360,134,114,20,0.6098090277777778,0.07432437,0.00025,-7.390218218167623,0.06101748807769683,57,0.2,0.6083514094352722,11.74092647102144,5.825198650360107,1014.15,6741.816666666667
16128,140,114,21,0.5121527777777778,0.08773158,0.00025,-7.625565687815349,0.033487931631195046,60,0.2,0.778873085975647,45.2791021267573,29.9841251373291,1014.15,6741.816666666667
