time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,train/explained_variance,rollout/ep_len_mean,train/value_loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range
378,768,1,2,,,,,,,,,,,,
148,1536,2,10,0.00025,8.846773147583008,0.008294275858336024,-33833.333333333336,3,0.000966489315032959,1019.0,22.066662748654682,0.3741319444444444,0.025991412,-8.29108695189158,0.2
152,2304,3,15,0.00025,66.52580261230469,0.03350986229876677,-33833.333333333336,6,-0.022038936614990234,1019.0,45.64484719435374,0.4301215277777778,0.04213281,-8.232407940758598,0.2
156,3072,4,19,0.00025,15.947705268859863,0.022951363540616714,-33172.5,9,0.0003012418746948242,1019.0,28.261320418781704,0.3936631944444444,0.05697747,-8.230824417538113,0.2
159,3840,5,24,0.00025,40.21091079711914,0.025907227019261982,-33172.5,12,-0.007013678550720215,1019.0,86.579696337382,0.5299479166666666,0.061589632,-8.142831914954716,0.2
160,4608,6,28,0.00025,3.2792937755584717,0.1551326475972827,-33236.77777777778,15,0.12576264142990112,1019.0,8.811695006158617,0.7035590277777778,0.37995115,-7.770593000782861,0.2
161,5376,7,33,0.00025,214.06007385253906,0.032974615305041276,-33236.77777777778,18,-0.005603671073913574,1019.0,163.13926347096762,0.4670138888888889,0.055129945,-7.756530629263984,0.2
162,6144,8,37,0.00025,15.040271759033203,0.11406629041044249,-32297.166666666668,21,0.06713181734085083,1019.0,21.371960997581482,0.6323784722222222,0.41227412,-7.650562233395046,0.2
152,6912,9,45,0.00025,323.6502685546875,0.039673063412515655,-32297.166666666668,24,-0.028575897216796875,1019.0,149.51576232910156,0.5442708333333334,0.03392299,-7.711247563362122,0.2
154,7680,10,49,0.00025,47.783348083496094,0.07000271211533497,-31523.066666666666,27,0.20514971017837524,1019.0,45.037924422158135,0.5885416666666666,0.09998837,-7.671338882711199,0.2
155,8448,11,54,0.00025,228.4383544921875,0.0213452284806408,-31523.066666666666,30,0.06379586458206177,1019.0,159.8254911634657,0.4952256944444444,0.042186264,-7.6166854699452715,0.2
156,9216,12,58,0.00025,27.481765747070312,0.05653272675570204,-30852.444444444445,33,0.2849385738372803,1019.0,33.01257397068871,0.4908854166666667,0.154975,-7.522816777229309,0.2
157,9984,13,63,0.00025,46.536956787109375,0.037923870918651424,-30852.444444444445,36,0.0498620867729187,1019.0,179.45264546076456,0.4422743055555556,0.037922334,-7.54075085454517,0.2
157,10752,14,68,0.00025,37.0224494934082,0.029855269434240956,-30421.0,39,0.555898904800415,1019.0,44.4668021996816,0.4388020833333333,0.04957388,-7.4868373142348394,0.2
157,11520,15,73,0.00025,131.9036102294922,0.03233007953450498,-30421.0,42,0.42086946964263916,1019.0,116.4089085261027,0.5243055555555556,0.0768775,-7.72460851404402,0.2
151,12288,16,81,0.00025,14.443216323852539,0.05478967374397649,-30165.583333333332,45,0.57124924659729,1019.0,39.279049502478706,0.4965277777777778,0.10105106,-7.638585719797346,0.2
151,13056,17,86,0.00025,50.53775405883789,0.033720900239940316,-30165.583333333332,48,0.33824479579925537,1019.0,93.92906827396817,0.38671875,0.024195686,-7.753997259669834,0.2
152,13824,18,90,0.00025,31.94973373413086,0.06772694736719131,-29929.51851851852,51,0.5678597688674927,1019.0,35.07208485073514,0.6046006944444444,0.06664516,-7.756101025475396,0.2
152,14592,19,95,0.00025,49.96135711669922,0.017419959056294627,-29929.51851851852,54,0.5708695650100708,1019.0,88.62863071759541,0.4049479166666667,0.06722391,-7.946411079830593,0.2
153,15360,20,99,0.00025,37.813236236572266,0.1618940160325211,-30036.933333333334,57,0.33886730670928955,1019.0,30.707172565990025,0.6818576388888888,1.0792679,-7.707662330733405,0.2
154,16128,21,104,0.00025,114.25984191894531,0.052820345386862755,-30036.933333333334,60,0.14340031147003174,1019.0,149.372712665134,0.5286458333333334,0.035322152,-7.803417689270443,0.2
153,16896,22,109,0.00025,13.702311515808105,0.08785349622161852,-30414.363636363636,63,0.5419025421142578,1019.0,21.601381248897976,0.6792534722222222,0.14145558,-7.6842603418562145,0.2
150,17664,23,117,0.00025,233.26058959960938,0.07146184123121202,-30414.363636363636,66,-0.08254146575927734,1019.0,243.78488874435425,0.6046006944444444,0.065802805,-7.077128363980187,0.2
151,18432,24,121,0.00025,9.679861068725586,0.10069146458085419,-30824.583333333332,69,0.4655071496963501,1019.0,20.078322453631294,0.7048611111111112,0.14354043,-7.520085619555579,0.2
153,19200,25,125,0.00025,95.29124450683594,0.08454418844646877,-30824.583333333332,72,0.0556943416595459,1019.0,260.27932749854193,0.6328125,0.04078182,-7.688493443859948,0.2
154,19968,26,129,0.00025,26.284473419189453,0.07897125682534857,-31108.69230769231,75,0.14566576480865479,1019.0,15.913492189513313,0.6545138888888888,0.20057869,-7.5956615871853295,0.2
155,20736,27,133,0.00025,165.85504150390625,0.03441468544770032,-31108.69230769231,78,0.1406186819076538,1019.0,173.8857339223226,0.51953125,0.04401338,-7.815003368589613,0.2
156,21504,28,137,0.00025,17.522502899169922,0.1697005269686795,-31069.928571428572,81,0.24899566173553467,1019.0,20.14796628554662,0.6909722222222222,1.0038643,-7.492489967081282,0.2
156,22272,29,141,0.00025,179.010986328125,0.056368892540275634,-31069.928571428572,84,-0.012492060661315918,1019.0,193.71363268958197,0.5989583333333334,0.041451994,-7.660399622387356,0.2
