time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/clip_range,rollout/ep_rew_mean,train/policy_gradient_loss,rollout/ep_len_mean,train/learning_rate,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/clip_fraction,train/n_updates
5,1,146,768,,,,,,,,,,,,
10,2,146,1536,17.17520312468211,0.2,-125.46666866666665,-0.0013438263882158531,1019.0,0.00025,0.021197574,-8.294311616155836,9.58793830871582,-0.004625797271728516,0.3394097222222222,3
15,3,152,2304,23.174517234166462,0.2,-125.46666866666665,0.004870578931230638,1019.0,0.00025,0.01946008,-8.254780107074314,16.978919982910156,-0.03475189208984375,0.28515625,6
20,4,153,3072,17.043779955969917,0.2,-124.06666858333331,0.02670976479486045,1019.0,0.00025,0.03216305,-8.229164759318033,12.447601318359375,-0.0058362483978271484,0.44140625,9
24,5,155,3840,30.29540099038018,0.2,-124.06666858333331,0.008170191256795079,1019.0,0.00025,0.026604027,-8.211903479364183,15.491189002990723,-0.0028957128524780273,0.3719618055555556,12
29,6,154,4608,15.461676796277365,0.2,-109.63333494444444,0.0083435912642421,1019.0,0.00025,0.03682887,-8.15069744322035,9.944234848022461,-0.02208554744720459,0.4418402777777778,15
38,7,138,5376,32.93009995089637,0.2,-109.63333494444444,0.004660412442818698,1019.0,0.00025,0.04302459,-7.990291953086853,12.437219619750977,0.030294477939605713,0.4001736111111111,18
44,8,139,6144,15.464995251761543,0.2,-90.40000129166667,0.01446992791413019,1019.0,0.00025,0.045024764,-7.928883228037092,11.84267520904541,0.041320860385894775,0.41015625,21
48,9,141,6912,17.947795973883736,0.2,-90.40000129166667,0.0045070126264666515,1019.0,0.00025,0.034395177,-7.97911755906211,10.158008575439453,0.012493431568145752,0.3454861111111111,24
53,10,143,7680,18.203076243400574,0.2,-71.64666766666666,0.015861550397757027,1018.2,0.00025,0.027757378,-7.820050418376923,11.393584251403809,-0.32278525829315186,0.3823784722222222,27
58,11,143,8448,36.67538571357727,0.2,-71.64666766666666,0.0863769661066019,1018.2,0.00025,0.100471616,-7.721957696808709,10.525612831115723,0.14042502641677856,0.5655381944444444,30
63,12,145,9216,28.533536858028835,0.2,-88.95555644444444,0.08480263077136543,1013.9444444444445,0.00025,0.18322448,-7.526356869273716,12.543633460998535,-0.05312299728393555,0.6215277777777778,33
68,13,146,9984,63.28704019387563,0.2,-88.95555644444444,0.07098986694796218,1013.9444444444445,0.00025,0.107747726,-7.148791677421993,20.72164535522461,-0.08882856369018555,0.5264756944444444,36
75,14,141,10752,20.63757624891069,0.2,-92.11904826190477,0.07980115110209833,1014.6666666666666,0.00025,0.18541509,-7.5036672883563575,10.646997451782227,0.715497612953186,0.5733506944444444,39
80,15,142,11520,45.65147606531779,0.2,-92.11904826190477,0.1251953444443643,1014.6666666666666,0.00025,0.09418094,-7.3886353969573975,42.34947967529297,0.6580266952514648,0.6749131944444444,42
85,16,143,12288,26.183251506752438,0.2,-110.50833412500002,0.06412948357562225,1015.2083333333334,0.00025,0.10498776,-7.403554439544678,10.930425643920898,0.8181471228599548,0.5959201388888888,45
90,17,144,13056,57.42886304855347,0.2,-110.50833412500002,0.02793152374215424,1015.2083333333334,0.00025,0.05583735,-7.29896276526981,42.3789176940918,0.8562086224555969,0.5299479166666666,48
95,18,144,13824,40.139918115403916,0.2,-145.20370438888892,0.07032882030277203,1015.6296296296297,0.00025,0.0942475,-7.51986069811715,25.06466293334961,0.871538519859314,0.5698784722222222,51
100,19,145,14592,53.40702950954437,0.2,-145.20370438888892,0.06853037343050043,1015.6296296296297,0.00025,0.19153269,-7.547942678133647,33.91109848022461,0.9046851396560669,0.5946180555555556,54
