#{"t_start": 1754947460.8195593, "env_id": "None"}
r,l,t
-274.607,1622,5.548901
-251.006,1622,10.089068
-239.775,1622,18.575523
-206.406,1622,23.144205
-218.013,1622,27.715487
-98.124,1622,36.024975
-79.469999,1622,40.605679
-124.615,1622,48.823966
-65.998,1622,53.433477
-64.049,1622,57.984759
-42.237,1622,66.261462
-30.795,1622,70.811778
-814.551002,1622,79.110633
-127.936501,1622,83.682824
-1202.648001,1622,88.296772
-1153.484501,1622,96.620854
-992.920501,1622,101.214859
-1241.932002,1622,109.471537
-1340.280001,1622,114.077779
-1313.3255,1622,118.70453
-1094.674501,1622,126.919774
-71.6775,1622,131.515086
-1079.308001,1622,139.794167
-937.393001,1622,144.372663
-69.848501,565,146.027313
139.014501,954,148.732491
-21.789,1622,156.965186
-0.035,1622,161.543773
-936.273501,1622,169.815528
-48.257,1622,174.420439
-20.54,1622,179.002154
8.011,1622,187.23548
-764.719498,1451,191.350042
-1227.429501,1622,199.60064
-37.399,1117,202.760263
-22.689,1622,207.332296
-37.132,1622,215.606767
9.0445,1622,220.212149
8.892001,1622,224.791743
-5.164999,1622,232.992888
-1069.939002,1622,237.621799
-54.378,1622,245.894436
-884.503999,1622,250.422864
-1157.967501,1622,254.985457
