time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_fraction,train/clip_range
530,1,-273.3235833333333,11,6144,1622.0,,,,,,,,,,
455,2,-233.73176663333334,26,12288,1622.0,4,0.00025,8.38057804107666,-0.02879719388632414,0.016963797,-0.0027419328689575195,-8.303117702404657,16.55910012125969,0.2882486979166667,0.2
436,3,-202.9364523333333,42,18432,1622.0,8,0.00025,7.142014026641846,-0.02265773560308541,0.015831048,0.1785840392112732,-8.26339919368426,17.361247191826504,0.2700602213541667,0.2
427,4,-198.91158333333337,57,24576,1622.0,12,0.00025,9.947660446166992,-0.023454896955324028,0.01767688,0.1632193922996521,-8.185941497484842,22.96499663591385,0.3564453125,0.2
422,5,-242.90124306944446,72,30720,1622.0,16,0.00025,8.032964706420898,-0.002735621962832132,0.02179324,0.13508892059326172,-8.11762241522471,30.976883957783382,0.3009033203125,0.2
418,6,-336.2152556666667,87,36864,1622.0,20,0.00025,9.057833671569824,0.03397477334268236,0.031563397,0.5722203254699707,-7.990622575084369,31.546947101751964,0.4478352864583333,0.2
416,7,-415.16763018999995,103,43008,1622.0,24,0.00025,12.182367324829102,0.008293611535918899,0.010444867,0.8326829671859741,-8.068652992447218,38.09377918640772,0.2215576171875,0.2
414,8,-533.42774532,118,49152,1622.0,28,0.00025,16.631839752197266,0.011225222973735072,0.023449415,0.9057925343513489,-8.033544714252153,44.4751096367836,0.2828369140625,0.2
413,9,-557.9197353799999,133,55296,1622.0,32,0.00025,19.123483657836914,0.007988346847317493,0.013867338,0.926654577255249,-8.062982693314552,55.405082960923515,0.24629720052083334,0.2
411,10,-628.39389546,149,61440,1553.24,36,0.00025,15.52559757232666,0.028936531811874982,0.03646209,0.9429349303245544,-8.016089801987013,48.67877610524496,0.438720703125,0.2
411,11,-626.51469047,164,67584,1517.3,40,0.00025,36.76034164428711,0.010224803918390535,0.022401819,0.9237053394317627,-7.945241029063861,103.90328311920166,0.2853597005208333,0.2
410,12,-590.44749543,179,73728,1498.98,44,0.00025,27.229877471923828,0.00891894664770613,0.016482102,0.9346345663070679,-7.975224698583285,72.65866394837697,0.24837239583333334,0.2
410,13,-487.42182038,194,79872,1455.99,48,0.00025,18.32381248474121,0.008384472171504362,0.02227828,0.9415203928947449,-7.965564941366513,48.212979197502136,0.3237711588541667,0.2
409,14,-372.2412752500001,210,86016,1405.26,52,0.00025,29.272167205810547,0.007778727112357349,0.021942288,0.9205503463745117,-8.030633057157198,76.49431256453197,0.2912190755208333,0.2
409,15,-363.3314651699999,225,92160,1374.46,56,0.00025,31.102252960205078,0.00740085184952477,0.01723638,0.9275543093681335,-7.93022867043813,65.27862616380055,0.2709554036458333,0.2
408,16,-354.7459302,240,98304,1405.73,60,0.00025,26.15325355529785,0.008457318802053729,0.022230424,0.9290013313293457,-7.86941984295845,64.37355697154999,0.2975667317708333,0.2
408,17,-336.92542517000004,255,104448,1427.01,64,0.00025,9.974371910095215,0.010839510063912408,0.020638378,0.9559813141822815,-7.858744879563649,37.774706403414406,0.3142903645833333,0.2
