time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/value_loss,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean
512,1,205,2,,,,,,,,,,,,
1024,2,153,6,0.2,22.732455650965374,0.3326822916666667,-62.100001,-8.294478873411814,0.00025,3,14.67141056060791,0.016442865,-0.017440319061279297,0.002337239721479515,1019.0
1536,3,147,10,0.2,30.971895972887676,0.3645833333333333,-62.100001,-8.259986519813538,0.00025,6,16.367551803588867,0.055742048,-0.019885659217834473,0.009256653972746184,1019.0
2048,4,143,14,0.2,29.477851430575054,0.513671875,-48.025000750000004,-8.083146194616953,0.00025,9,23.276281356811523,0.09308405,0.025461137294769287,0.024287791398819536,1019.0
2560,5,163,15,0.2,33.11649250984192,0.3502604166666667,-48.025000750000004,-7.9957445959250135,0.00025,12,33.47211837768555,0.031583264,-0.020511746406555176,0.008752836671192199,1019.0
3072,6,154,19,0.2,11.549400548140207,0.4791666666666667,-34.6500005,-7.950239817301433,0.00025,15,10.627901077270508,0.06639693,0.14037537574768066,0.0056097585475072265,1019.0
3584,7,146,24,0.2,19.324898461500805,0.4342447916666667,-34.6500005,-7.953944434722264,0.00025,18,17.132875442504883,0.046958283,0.02620166540145874,0.04528272539998094,1019.0
4096,8,144,28,0.2,27.814189314842224,0.609375,-38.887499812499996,-7.936312923828761,0.00025,21,15.179542541503906,0.08585918,-0.027283430099487305,0.1001260392755891,1019.0
4608,9,142,32,0.2,41.05895062287649,0.6647135416666666,-36.4799995,-6.9854530195395155,0.00025,24,15.843308448791504,0.5352429,0.116138756275177,0.10884456377243623,891.2
5120,10,139,36,0.2,44.80423049132029,0.6803385416666666,-41.86190404761904,-7.279395471016566,0.00025,27,20.618301391601562,0.28083295,-0.07272899150848389,0.14314408084222427,872.1428571428571
5632,11,138,40,0.2,34.63869206110636,0.5104166666666666,-120.633332125,-7.221050639947255,0.00025,30,16.174070358276367,0.069552116,0.5546314716339111,0.044274782839541636,890.5
6144,12,137,44,0.2,34.0232563217481,0.548828125,-127.26785528571429,-7.043239792188008,0.00025,33,21.55610466003418,0.07216646,0.7569694519042969,0.06410465300238381,853.6071428571429
6656,13,143,46,0.2,58.617038091023765,0.462890625,-126.45172220689655,-7.157079021135966,0.00025,36,54.070098876953125,0.044798158,0.8293748497962952,0.025118206123200554,844.5172413793103
7168,14,141,50,0.2,36.525628527005516,0.5188802083333334,-136.35624796874998,-7.430946459372838,0.00025,39,23.086410522460938,0.0959505,0.853670597076416,0.02172393724322319,854.4375
7680,15,140,54,0.2,28.977152903874714,0.4694010416666667,-132.8588214117647,-7.565821190675099,0.00025,42,15.828362464904785,0.06434451,0.8772574067115784,0.02914693864295259,848.2352941176471
8192,16,139,58,0.2,83.92142335573833,0.4322916666666667,-122.27222016666666,-7.512851764758428,0.00025,45,128.89076232910156,0.04659927,0.8069083094596863,0.03378982127954563,857.7222222222222
8704,17,139,62,0.2,21.823957880338032,0.5611979166666666,-114.63684015789472,-7.734241167704265,0.00025,48,15.46651840209961,0.17780626,0.5269569158554077,0.04961213740170933,866.2105263157895
9216,18,139,66,0.2,28.79163060585658,0.4830729166666667,-116.709997975,-7.516559034585953,0.00025,51,11.024462699890137,0.086113326,0.7106701731681824,0.03262908827067198,873.85
9728,19,139,69,0.2,26.97997309764226,0.7161458333333334,-109.46190276190477,-7.611556937297185,0.00025,54,14.494244575500488,0.30291444,0.7331487536430359,0.0969972945167683,880.7619047619048
10240,20,138,73,0.2,22.276725550492603,0.6686197916666666,-102.64999804545455,-7.344930440187454,0.00025,57,5.964971542358398,0.25820953,0.798020601272583,0.09814487667366241,887.0454545454545
10752,21,143,75,0.2,25.53359188636144,0.7122395833333334,-97.53043291304348,-7.500002543131511,0.00025,60,19.365581512451172,0.13698821,0.7500724792480469,0.10471881547709927,892.7826086956521
11264,22,142,78,0.2,27.279625316460926,0.576171875,-92.68333154166667,-7.579668462276459,0.00025,63,21.721485137939453,0.06932084,0.45987212657928467,0.03851425874745473,898.0416666666666
11776,23,141,83,0.2,24.37287610769272,0.599609375,-89.07599828000001,-7.620289117097855,0.00025,66,21.231590270996094,0.08710086,0.44324231147766113,0.04566160853331288,902.88
12288,24,140,87,0.2,22.239483892917633,0.4609375,-89.84615207692309,-7.5004982352256775,0.00025,69,8.718758583068848,0.070657216,0.8127107620239258,0.02205666705655555,907.3461538461538
12800,25,140,91,0.2,25.917330900828045,0.404296875,-85.52592422222223,-7.5564956565697985,0.00025,72,17.8179874420166,0.050043315,0.7948904037475586,0.022525616940887023,911.4814814814815
13312,26,140,95,0.2,24.118939995765686,0.59765625,-81.7321412142857,-7.69906222820282,0.00025,75,16.356887817382812,0.094163164,0.4016369581222534,0.05245853611268103,915.3214285714286
13824,27,139,98,0.2,14.360476146141687,0.529296875,-78.81379151724137,-7.604910393555959,0.00025,78,8.435657501220703,0.05882127,0.7169227600097656,0.025952912229210295,918.8965517241379
14336,28,139,102,0.2,28.660488804181416,0.376953125,-76.36666513333333,-7.709196150302887,0.00025,81,16.310100555419922,0.032535244,0.1941967010498047,0.02172620580919708,922.2333333333333
14848,29,142,104,0.2,14.360260417064032,0.5260416666666666,-73.55483722580644,-7.6644613246123,0.00025,84,6.409920692443848,0.05276032,0.46537142992019653,0.018531707561730098,925.3548387096774
15360,30,141,108,0.2,11.368891169627508,0.5,-70.80312356249999,-7.553136179844539,0.00025,87,9.303542137145996,0.047836404,0.686471164226532,0.005701437670116623,928.28125
15872,31,141,112,0.2,15.292515565951666,0.4270833333333333,-68.84242284848483,-7.738394270340602,0.00025,90,18.1461238861084,0.039047737,0.5889842510223389,0.011120652682924023,931.030303030303
16384,32,140,116,0.2,12.373355875412622,0.45703125,-66.56176335294117,-7.695774396260579,0.00025,93,14.341117858886719,0.06375274,0.435849666595459,0.016806526381211977,933.6176470588235
16896,33,140,120,0.2,15.681360776225725,0.3059895833333333,-63.925712971428574,-7.508266746997833,0.00025,96,8.237656593322754,0.02973064,0.7717984914779663,0.0075674803035023315,936.0571428571428
17408,34,140,124,0.2,19.97203775246938,0.5651041666666666,-63.649998624999995,-7.459800938765208,0.00025,99,15.644956588745117,0.04359507,0.37130796909332275,0.07353825541213155,938.3611111111111
17920,35,139,128,0.2,28.48665912946065,0.4140625,-60.7783770135135,-7.465809216101964,0.00025,102,14.6715087890625,0.06416766,0.4922513961791992,0.006551689119078219,940.5405405405405
18432,36,139,131,0.2,32.80032498637835,0.5631510416666666,-67.44736706578946,-7.384741286436717,0.00025,105,13.606145858764648,0.13902369,0.7506215572357178,0.03192808739064882,942.6052631578947
18944,37,142,133,0.2,19.296181708574295,0.5104166666666666,-65.74615246153844,-7.474591414133708,0.00025,108,10.16982364654541,0.06792271,0.8919327855110168,0.021770328758672502,944.5641025641025
19456,38,141,137,0.2,28.816782136758167,0.6569010416666666,-62.80999862499999,-7.513654440641403,0.00025,111,12.134803771972656,0.18361083,0.7936505079269409,0.0655113411291192,946.425
19968,39,141,140,0.2,41.36787188053131,0.53515625,-71.62650451807228,-7.4757682879765825,0.00025,114,29.049545288085938,0.06295625,0.8957616090774536,0.047675668029114604,943.3253012048193
20480,40,141,145,0.2,50.50332204500834,0.4498697916666667,-70.47737946428572,-7.58580665787061,0.00025,117,62.606773376464844,0.06826103,0.9269993305206299,0.040671772769807525,944.2261904761905
20992,41,141,148,0.2,15.915548205375671,0.5227864583333334,-67.75861925287356,-7.781233658393224,0.00025,120,15.267613410949707,0.083577484,0.7662380933761597,0.04346417647320777,946.8045977011494
21504,42,140,152,0.2,30.077697952588398,0.5091145833333334,-67.11931676136363,-7.753449410200119,0.00025,123,21.9654598236084,0.054274205,0.29422056674957275,0.031016347308953602,947.625
22016,43,140,156,0.2,15.875235895315805,0.3587239583333333,-64.69450412087912,-7.689290225505829,0.00025,126,12.148239135742188,0.030052507,0.5053921937942505,0.001806599204428494,949.978021978022
22528,44,140,160,0.2,17.46570623914401,0.3294270833333333,-64.06412907608696,-7.881040513515472,0.00025,129,11.927762985229492,0.02228406,0.4581449627876282,0.004189392590584855,950.7282608695652
23040,45,140,164,0.2,18.644201437632244,0.3470052083333333,-62.326314473684214,-7.770432144403458,0.00025,132,9.162775993347168,0.031053994,0.7794690728187561,0.0073873937168779475,952.8842105263158
23552,46,142,165,0.2,11.53498668471972,0.392578125,-61.63437369791666,-7.816295325756073,0.00025,135,13.8297758102417,0.027308693,0.8518637418746948,0.005705055586683254,953.5729166666666
24064,47,142,169,0.2,8.723250567913055,0.3743489583333333,-59.75151388888888,-7.817294637362163,0.00025,138,5.56669282913208,0.038907796,0.8251231908798218,0.018272195127792656,955.5555555555555
