#{"t_start": 1740429203.4343853, "env_id": "None"}
r,l,t
-72.700001,1019,9.404811
-18.7,1019,17.046274
-1.3,1019,22.419742
-140.499997,1019,31.059296
-13.399999,338,34.306569
-933.099993,1019,42.713596
-85.599996,670,47.345186
43.700001,813,52.379267
50.500001,1019,60.469144
-334.899993,1019,67.974625
33.900001,1019,75.567621
5.3,1019,80.610325
27.7,1019,88.926617
20.1,1019,96.658945
-0.3,1019,104.551908
8.9,1019,110.19987
17.5,1019,117.915268
-149.099994,1019,125.922848
-675.899999,1019,133.618191
51.900001,1019,138.814666
24.9,1019,146.70095
-11.5,1019,154.346396
-6.7,1019,161.921548
4.1,1019,167.161044
34.900001,1019,175.096253
15.5,1019,183.073911
23.5,1019,190.787068
-6.1,1019,196.124724
6.1,1019,203.784601
35.700001,1019,211.443036
-111.099995,1019,219.359589
-208.699993,991,226.825233
36.700001,1019,232.245382
49.100001,1019,239.801182
36.900001,1019,247.709864
9.9,1019,255.376554
-6.5,1019,260.514722
18.9,1019,268.154692
42.700001,1019,275.91341
43.100001,1019,283.716119
-1212.499991,1019,298.882836
-1212.499991,1019,308.388431
-1265.299992,1019,315.537771
-1247.699992,1019,325.117326
-1247.699992,1019,334.714555
-1212.499991,1019,344.40221
