#{"t_start": 1739546223.0030465, "env_id": "None"}
r,l,t
55.300001,975,15.08629
55.700001,975,32.971598
-495.299989,975,47.584358
-677.899988,975,64.3915
36.300001,975,81.010591
-15.899997,975,97.835974
10.400001,500,106.122958
32.500001,341,113.327711
51.500001,975,125.226976
-269.099995,975,141.366263
-43.799998,666,164.635583
-298.499992,975,195.73852
47.300001,975,213.328239
-293.499993,975,226.640903
-1219.09999,975,244.199841
-691.899984,975,261.68604
-578.299986,975,282.217129
-20.699997,711,298.177808
-98.599996,396,301.340767
23.7,975,320.868115
-493.300001,975,342.000883
24.9,975,359.848358
-65.299996,735,369.842202
17.700001,405,377.909851
-883.100015,975,399.793353
-1589.899999,975,415.126954
-883.100015,975,430.585725
-883.100015,975,445.982157
