time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/approx_kl,train/entropy_loss,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,train/learning_rate,train/value_loss
1,461,1,768,,,,,,,,,,,,
2,270,5,1536,0.02587259,-8.287412087122599,1019.0,-0.00014352798461914062,0.012705687782727182,0.2,10.215030670166016,3,0.4140625,-1008.6666666666666,0.00025,15.985463274849785
3,238,9,2304,0.032031108,-8.249243007765877,1019.0,-0.03225719928741455,-0.004116314799628324,0.2,18.880596160888672,6,0.3975694444444444,-1008.6666666666666,0.00025,23.790687176916336
4,220,13,3072,0.099210866,-8.14176501168145,1019.0,0.18865203857421875,0.027105170470248494,0.2,14.014328956604004,9,0.5342881944444444,-170.16666666666666,0.00025,17.17451885673735
5,212,18,3840,0.027504077,-8.058282759454515,1019.0,0.07797539234161377,0.007233939573375715,0.2,26.083492279052734,12,0.3884548611111111,-170.16666666666666,0.00025,29.19580629136827
6,180,25,4608,0.06962799,-7.921024349000719,1019.0,-0.38478028774261475,0.005029111259823872,0.2,14.849833488464355,15,0.4522569444444444,2059.0,0.00025,16.786549515194363
7,177,30,5376,0.11138922,-7.822327540980445,1019.0,0.15677428245544434,0.04657777786875764,0.2,7.063194751739502,18,0.5694444444444444,2059.0,0.00025,18.123001158237457
8,173,35,6144,0.068236165,-7.6340341038174095,1019.0,0.026212453842163086,0.02926997832643489,0.2,35.38162612915039,21,0.5368923611111112,2669.7916666666665,0.00025,42.97350271542867
9,172,40,6912,0.47895566,-6.711250987317827,1019.0,0.09398287534713745,0.1917781230683128,0.2,13.510828971862793,24,0.734375,2669.7916666666665,0.00025,54.85263204574585
10,171,44,7680,0.23685141,-6.753324084811741,983.3225806451613,0.4452902674674988,0.10655604430940002,0.2,27.956432342529297,27,0.6427951388888888,1824.032258064516,0.00025,55.30154569943746
11,171,49,8448,0.10693663,-6.681108017762502,963.96875,0.6498905420303345,0.04662804098592864,0.2,40.8309440612793,30,0.5629340277777778,1995.84375,0.00025,52.73197374078963
12,172,53,9216,0.13878538,-6.168576551808251,971.4054054054054,0.8919697999954224,0.0682009267879443,0.2,37.87253952026367,33,0.6011284722222222,74.13513513513513,0.00025,46.20237171649933
13,165,60,9984,0.38241172,-6.592735184563531,954.7435897435897,0.729817271232605,0.12199663875314097,0.2,21.70069122314453,36,0.6983506944444444,-25.205128205128204,0.00025,74.16867636309729
14,163,65,10752,0.07871089,-6.086550401316749,960.7209302325581,0.90203458070755,0.04388547214006798,0.2,43.50245666503906,39,0.6119791666666666,-1076.7674418604652,0.00025,73.17378976609972
15,163,70,11520,0.16146733,-6.644889811674754,939.1702127659574,0.692338228225708,0.07058394177713329,0.2,163.5962371826172,42,0.6497395833333334,-1252.2978723404256,0.00025,86.81909720102946
16,163,75,12288,0.07276537,-6.523990525139703,919.6274509803922,0.7647733092308044,0.05441269643294314,0.2,66.85824584960938,45,0.6059027777777778,-1611.0196078431372,0.00025,121.47688688172235
17,163,79,13056,0.076676525,-6.796489324834612,882.6842105263158,0.7909402847290039,0.050419080924863614,0.2,58.33064651489258,48,0.5555555555555556,-1445.6491228070176,0.00025,108.46348237991333
18,164,83,13824,0.12322897,-6.27830849091212,845.3870967741935,0.8094260692596436,0.06795929576684204,0.2,118.10167694091797,51,0.5889756944444444,-1114.6451612903227,0.00025,118.47806678877936
19,165,88,14592,0.2141244,-6.655267119407654,831.8059701492538,0.8093233704566956,0.0840029967431393,0.2,65.32344818115234,54,0.6497395833333334,-1155.55223880597,0.00025,94.20675871107314
20,161,94,15360,0.11825988,-6.496998700830671,832.3142857142857,0.8282661437988281,0.05773822143156496,0.2,56.743202209472656,57,0.6349826388888888,-1092.1,0.00025,92.32196569442749
21,161,99,16128,0.24446659,-6.680876943800184,836.3648648648649,0.7001397609710693,0.12345184220208062,0.2,41.689212799072266,60,0.7513020833333334,-950.8108108108108,0.00025,65.47350345717535
22,161,104,16896,0.21253532,-6.601258787843916,831.5897435897435,0.7514832019805908,0.07416011968679312,0.2,29.137435913085938,63,0.7065972222222222,-741.4230769230769,0.00025,63.30915888150533
23,162,108,17664,0.21077633,-6.759164896276262,831.8888888888889,0.8127725124359131,0.10117357063831554,0.2,22.222875595092773,66,0.69140625,-505.1604938271605,0.00025,65.19421050283644
24,162,113,18432,0.13028246,-6.699509614043766,834.4823529411765,0.8365417718887329,0.06994257202475435,0.2,109.33557891845703,69,0.5967881944444444,-260.21176470588233,0.00025,104.17671365208096
25,162,117,19200,0.12165222,-6.726553930176629,836.4886363636364,0.9296489357948303,0.047666948042913444,0.2,22.65927505493164,72,0.6102430555555556,-166.875,0.00025,48.44843125343323
26,163,122,19968,0.09798396,-6.139012389712864,830.1827956989247,0.835275411605835,0.05743969022296369,0.2,11.82868766784668,75,0.6154513888888888,383.86021505376345,0.00025,32.789458605978226
27,159,129,20736,0.21718888,-5.517245557573107,828.4948453608248,0.8933062553405762,0.07887268581220673,0.2,18.757884979248047,78,0.7222222222222222,874.7010309278351,0.00025,25.61703881952498
28,159,134,21504,0.07211701,-5.923091166549259,832.3434343434343,0.9045577049255371,0.03360970406275657,0.2,14.619905471801758,81,0.5056423611111112,751.4949494949495,0.00025,61.86824348237779
29,160,138,22272,0.06427299,-6.510752790504032,830.21,0.9357622861862183,0.03923073561034269,0.2,18.050018310546875,84,0.5399305555555556,435.0,0.00025,50.60832395818498
30,160,143,23040,0.060000267,-6.212032112810347,825.08,0.9202486872673035,0.024023732299812965,0.2,51.784942626953125,87,0.4665798611111111,388.75,0.00025,76.73566699028015
31,161,147,23808,0.11002567,-6.528244899378882,825.08,0.915362536907196,0.05672220616058136,0.2,62.2668342590332,90,0.57421875,224.51,0.00025,70.61296984884474
32,161,151,24576,0.10758096,-6.801676836278704,825.08,0.9182518720626831,0.05181368506358316,0.2,9.969836235046387,93,0.5529513888888888,-170.6,0.00025,53.389203137821625
