#{"t_start": 1741659207.205743, "env_id": "None"}
r,l,t
-779.0,1019,6.675008
1821.0,1019,14.922947
6657.0,1019,26.441246
-3008.0,1019,36.273381
13661.0,990,45.673997
-18627.0,1019,54.364284
-10946.0,1019,66.353491
-19917.0,1019,75.890785
5200.0,308,79.623688
7110.0,364,83.451995
441.0,411,84.996682
8252.0,440,89.068854
4084.0,1019,100.309775
3496.0,428,104.762677
2769.0,1019,113.734087
13353.0,1019,122.641054
-17513.0,1019,134.776755
11431.0,619,139.572095
-14918.0,1019,148.148876
14871.0,1019,156.877932
17519.0,1019,168.611573
-370.0,1019,177.097371
9333.0,1019,185.542768
1627.0,1019,197.669436
-10294.0,1019,206.339921
13482.0,1019,214.767697
2218.0,1019,223.59766
-14799.0,1019,235.127146
-13134.0,1019,243.760514
13753.0,1019,252.627715
-6384.0,1019,261.520062
6643.0,404,268.455994
9046.0,1019,277.466216
-1206.0,851,286.021094
-4508.0,1019,294.681982
-5951.0,1019,306.598674
5298.0,703,311.776384
-6972.0,1019,320.448093
12765.0,1019,329.094389
13337.0,1019,341.274684
10815.0,1019,349.766402
6790.0,531,354.051623
13822.0,841,361.953521
-18223.0,1019,373.93338
7866.0,451,378.044789
13265.0,1019,386.6962
12921.0,1019,395.457424
9430.0,1019,407.658
11985.0,1019,416.678863
-12631.0,1019,425.520709
14715.0,1019,434.625462
14741.0,1019,445.284478
-2067.0,1019,455.49237
7613.0,405,457.316228
-5860.0,1019,466.922174
13233.0,1019,475.526629
8384.0,450,479.593773
16351.0,1019,488.391578
15162.0,866,497.258878
16741.0,1019,506.632138
16223.0,1019,516.164046
16533.0,1019,525.992456
9359.0,660,531.275122
14565.0,1019,542.105118
13408.0,1019,551.715247
16169.0,1019,560.703212
12836.0,1019,569.356062
17757.0,1019,580.198733
15365.0,1019,588.838841
3872.0,351,592.540789
12061.0,1019,601.984581
13938.0,1019,613.411
13092.0,777,619.023513
3536.0,491,623.462739
-1443.0,1019,632.642101
13987.0,1019,643.531356
14677.0,966,652.689607
12971.0,1019,661.706724
13337.0,1019,671.074679
13955.0,1019,681.920118
13647.0,1019,690.941174
7210.0,388,694.915406
13535.0,1019,704.230527
6033.0,363,709.829151
13779.0,1019,718.626469
9293.0,489,722.977182
6758.0,498,727.620471
-2982.0,1019,734.187652
4470.0,418,738.34527
15179.0,1019,748.868253
11829.0,1019,757.691824
13753.0,1019,767.249775
15443.0,1019,778.171089
6234.0,457,782.323076
14193.0,1019,791.082789
12999.0,1019,800.267442
15157.0,1019,811.53994
5830.0,659,816.528074
8392.0,672,824.04037
14349.0,1019,832.858683
17181.0,1019,844.092792
9702.0,604,848.993719
11078.0,624,853.818141
17103.0,1019,862.902108
11041.0,591,867.623357
2883.0,495,872.191387
4384.0,485,878.537159
5370.0,401,882.691901
13879.0,1019,891.544666
12551.0,1019,900.242454
14453.0,1019,911.775601
14819.0,1019,920.824935
13025.0,1019,929.511148
2069.0,1019,938.634577
15783.0,1019,949.931146
15853.0,979,958.562658
8047.0,405,962.519938
9049.0,555,967.57112
6968.0,356,968.996607
7757.0,405,973.236601
12441.0,941,984.45254
7808.0,396,988.3786
10865.0,607,993.084791
7645.0,433,997.132888
6799.0,345,1001.099145
6317.0,496,1005.571751
-5127.0,1019,1017.021708
14247.0,1019,1025.804498
7866.0,422,1027.413001
-7320.0,1019,1036.122275
15051.0,1019,1045.641195
7303.0,364,1051.765082
14195.0,1019,1060.460073
14321.0,1019,1069.788846
4339.0,1019,1079.039318
14715.0,1019,1090.112048
16041.0,1019,1099.263748
-2077.0,1019,1108.556784
15365.0,1019,1119.479828
-5052.0,1019,1128.456372
13753.0,1019,1137.855287
17893.0,969,1147.516793
9859.0,531,1154.660841
7004.0,368,1158.903001
14455.0,1019,1168.371017
14659.0,1019,1178.135297
17673.0,1019,1190.11092
7887.0,405,1191.745289
13389.0,1019,1200.630565
10915.0,902,1209.163017
9269.0,513,1213.755173
18493.0,1019,1224.843457
-11260.0,1019,1233.802355
10896.0,568,1238.637041
11151.0,1019,1247.632718
15387.0,1019,1258.783499
13571.0,1019,1267.594851
1163.0,1019,1276.659704
171.0,1019,1287.730695
10780.0,594,1292.872478
6086.0,1019,1301.844403
17443.0,1019,1310.913859
8648.0,517,1315.520505
6117.0,398,1319.620205
8829.0,469,1325.957711
15337.0,1019,1334.886351
13479.0,1019,1343.564339
15127.0,1019,1352.63694
14973.0,1019,1363.494941
16661.0,1019,1372.418752
6796.0,439,1376.674944
15377.0,1019,1385.596464
12720.0,747,1393.027426
14845.0,1019,1401.849102
14949.0,1019,1410.926623
14013.0,1019,1420.001538
8005.0,435,1426.290137
9437.0,602,1431.183084
6599.0,1019,1440.509692
7450.0,603,1448.380908
17543.0,1019,1459.484543
14375.0,1019,1468.470504
9035.0,573,1473.468099
8803.0,469,1477.846135
14663.0,1019,1486.908279
14455.0,1019,1497.65971
12851.0,743,1503.104299
12869.0,1019,1512.264894
9231.0,487,1516.725907
16481.0,1019,1527.493249
4407.0,1019,1536.429995
6362.0,1019,1545.549599
13597.0,1019,1554.570738
14394.0,988,1565.128327
12479.0,1019,1574.34569
15675.0,1019,1583.263867
10657.0,613,1588.284852
-1931.0,1019,1599.580678
16873.0,1019,1608.444301
-15253.0,1019,1616.840102
13806.0,778,1624.723235
17235.0,1019,1636.415278
18225.0,1019,1645.029834
8573.0,451,1646.807754
13857.0,1019,1655.789473
11377.0,639,1665.672015
14429.0,1019,1674.648347
14659.0,1019,1683.384035
12505.0,1019,1692.320925
17417.0,1019,1703.613984
14585.0,1019,1712.22771
11401.0,603,1717.192812
10808.0,556,1721.864493
6204.0,560,1726.450152
14013.0,1019,1737.817189
14947.0,1019,1746.599574
8935.0,472,1750.981963
17933.0,1019,1759.661235
12075.0,729,1765.036412
5827.0,1019,1776.498665
15391.0,1019,1785.694946
16167.0,1019,1795.465551
4986.0,401,1801.448668
16039.0,1019,1810.409565
13539.0,1019,1819.316215
17469.0,1019,1828.509196
9822.0,522,1833.213689
10067.0,728,1840.489391
