#{"t_start": 1742488873.6419775, "env_id": "None"}
r,l,t
-1028.799938,1019,8.758464
602.700087,1019,18.303802
4969.90015,1019,30.792613
11320.200247,1019,39.884907
12600.300266,1019,49.250956
-5148.299828,1019,58.585728
16877.200308,1019,71.150291
11312.80027,919,81.158894
-4912.199726,1019,90.506575
-4085.69972,1019,102.473794
9939.700226,1019,111.780106
12786.000267,1019,121.628529
6044.600109,513,126.104838
8989.000126,481,130.481746
8500.000113,481,137.348242
5476.700062,331,141.240253
3892.800047,295,142.338839
8456.100115,477,146.8099
8713.800108,489,151.167075
3794.800188,1019,160.116216
-5010.999914,1019,172.25753
-9851.599821,1019,181.474817
-12235.999895,1019,190.390249
8436.10017,717,198.422265
1475.600172,701,207.021534
-4003.799692,1019,216.389085
3878.600092,418,220.510101
-4438.599846,1019,229.639715
11218.800163,637,234.698701
5850.200092,413,241.70386
-7078.899776,1019,250.566333
6488.400049,323,251.778138
8254.600147,621,260.514822
15837.700272,1000,270.784507
4041.300077,358,272.185972
9596.900232,867,283.641479
5677.90004,334,287.544325
-0.799812,1019,296.684752
7236.800272,1019,305.544821
11242.200193,666,316.680559
8272.600119,436,919.982333
5443.900112,452,924.555998
12241.000208,767,929.99449
13754.700281,1019,938.88288
12826.20027,1019,947.628405
9922.800182,571,952.062886
13980.800287,1019,960.349912
8879.600143,514,964.616424
15110.100302,1019,973.493728
3652.700142,453,977.976824
15135.200302,1019,990.755472
3049.500107,399,994.7172
5592.800161,518,999.048949
4683.80011,429,1003.410705
5764.900082,400,1007.148846
11094.300243,1019,1015.374916
7112.000116,473,1020.68295
6017.300091,414,1022.059311
9089.600126,492,1026.121233
4436.700062,365,1029.857541
5000.500074,408,1033.756753
6669.800089,372,1037.420038
8736.900158,484,1041.531421
7938.400198,816,1046.661964
197.200197,604,1051.005563
8664.700125,479,1057.972284
6317.900137,481,1062.956073
4919.300125,495,1067.401868
14683.400295,1019,1075.656662
8133.100178,679,1080.359769
11445.500246,1019,1091.655022
12550.100266,1019,1099.870319
12901.500271,1019,1108.056018
16364.700315,1019,1116.245827
14306.90029,1019,1127.768341
12349.300262,1019,1136.035227
1383.600235,1019,1144.314663
13221.900249,925,1152.414187
14633.400297,1019,1163.607837
12716.000248,934,1171.515108
2696.80023,1019,1180.204246
11646.500252,1019,1190.982238
13378.400278,1019,1203.378483
6857.000099,436,1207.637715
12424.600264,1019,1216.994727
3957.200308,1019,1226.707207
5537.700138,493,1234.534354
16039.000319,1019,1243.643303
9294.700144,514,1248.440025
10070.600168,654,1253.564283
8033.200144,447,1258.060243
8245.500111,485,1262.552835
10854.90019,614,1270.133859
7771.600178,608,1275.002218
7703.900255,836,1283.48235
8010.300129,453,1287.824301
7042.500099,407,1292.087438
14025.100281,1019,1301.20481
13428.600279,1019,1310.675126
6878.700142,549,1319.621017
12038.000196,705,1325.624753
8364.500126,532,1330.665834
15838.300293,1019,1340.494625
11495.800207,731,1348.590474
14884.200298,1019,1358.195432
13077.000271,1019,1367.477295
8415.000109,457,1369.219074
9681.200169,587,1377.595825
7097.000134,487,1382.459194
15134.800297,1019,1395.474667
6624.700108,403,1397.191521
6441.500053,337,1401.394492
10809.500206,616,1406.433989
5731.700176,531,1411.101508
6179.600105,362,1415.29887
9499.700146,555,1421.460381
14533.000296,1019,1430.681183
-183.499887,668,1435.842973
8756.100189,856,1444.647442
10126.300152,634,1449.668606
8759.500126,480,1457.026671
9266.500151,526,1461.700413
13202.500273,1019,1470.771191
13830.000282,1019,1480.127599
13980.800287,1019,1492.06884
8465.400129,460,1496.441784
5887.600142,464,1501.171319
14859.100298,1019,1511.143894
15310.900305,1019,1520.357551
14332.00029,1019,1529.545541
8147.100142,453,1533.860682
1887.400248,767,1543.55521
5170.400085,379,1548.1409
15838.000313,1019,1558.285504
13287.800251,829,1567.694249
10094.600187,561,1572.713212
14984.400297,1019,1582.190544
10762.700199,583,1586.949242
15970.800299,912,1595.411603
13378.200275,1019,1604.508393
4322.300287,1019,1617.145933
13478.80028,1019,1626.674601
8655.100189,587,1631.999655
10491.900234,1019,1644.360697
