#{"t_start": 1742488873.6581094, "env_id": "None"}
r,l,t
-953.499937,1019,8.734681
2058.500109,1019,18.286211
5095.400152,1019,30.776476
11094.300243,1019,39.867456
10015.000227,1019,49.233132
12365.800228,848,57.907434
10824.500223,782,69.35993
11548.200291,915,76.633348
9520.700171,659,84.884169
-4184.499775,1019,94.036081
6828.400126,590,101.785127
11445.700249,1019,111.031123
12926.600271,1019,120.938447
-3249.999716,1019,129.878785
-14979.099871,1019,141.390778
3152.500158,543,146.103379
6195.500149,587,150.812541
5146.10014,503,155.268139
134.20022,997,164.096366
-2421.499878,1019,176.41603
-8697.699862,1019,185.501865
8056.600155,661,190.505354
-163.699713,1019,199.654739
821.100155,629,208.078367
-4320.199797,1019,217.354343
7032.40012,492,221.769209
9356.300173,761,229.92207
8740.600151,591,234.805018
10499.500301,1019,246.59459
1382.90023,1019,255.496845
15486.80031,1019,267.053879
8769.000107,450,271.389605
6368.000048,327,278.314263
5862.000114,411,279.862516
3816.000038,273,283.426395
5414.900055,323,287.249583
-18153.899855,1019,296.422584
2723.600235,1019,305.296495
7546.400095,404,306.784894
8397.800119,447,317.270147
8333.500204,1019,925.45127
15587.000309,1019,934.455985
10140.500229,1019,943.439523
13378.200275,1019,951.80694
15085.200304,1019,960.084635
4535.100128,518,964.387373
1761.600109,643,969.429463
10529.900188,585,976.803623
1384.500149,461,981.319799
15762.00029,1019,993.819863
9281.700151,503,995.636815
7914.60009,402,999.54069
6539.900084,411,1003.845354
12901.300268,1019,1012.027119
14231.400286,1019,1021.555375
7840.700087,411,1025.331327
7009.200106,413,1029.132611
5104.500071,377,1030.590747
13202.500273,1019,1038.963695
11671.400249,1019,1047.180179
6234.300205,625,1056.960433
7694.700125,417,1058.371501
11122.500214,711,1066.903449
14731.00028,919,1074.833546
14307.100292,1019,1083.056184
8408.600203,1019,1094.369634
8850.100277,979,1102.452667
5575.000084,406,1103.892612
12625.200264,1019,1111.908292
14106.300289,1019,1120.506033
13252.700274,1019,1131.728294
11420.400246,1019,1139.991533
12001.200264,834,1147.624175
11244.700243,1019,1156.091883
14131.40029,1019,1167.259817
-15581.899916,1019,1175.509876
12700.700268,1019,1185.445142
-2046.999809,1019,1198.719398
14809.1003,1019,1207.69333
10040.100227,1019,1217.057538
15436.600309,1019,1226.777084
7151.400154,642,1235.156697
14432.600294,1019,1244.302258
6655.20022,1019,1253.618765
6362.600079,354,1257.757074
8840.100136,472,1262.184652
5557.600142,437,1269.032758
14603.600271,824,1274.789543
12169.300201,694,1282.649809
12130.90019,842,1288.554914
7495.100073,416,1292.888085
15612.300312,1019,1302.004007
14056.100288,1019,1311.495609
15589.000277,977,1325.293616
17469.300335,1019,1335.116609
-149.099794,1019,1344.810403
13328.200277,1019,1354.216219
5531.000221,972,1363.371702
12372.600197,696,1368.701424
11997.900257,1019,1378.815061
10531.300169,572,1387.196123
13554.100281,1019,1397.090228
17094.100317,1019,1406.585351
7832.8001,405,1410.775951
15067.200304,918,1421.138376
9431.000168,567,1425.868989
-7171.09984,1019,1435.122804
17659.500334,1019,1444.565087
7155.40011,426,1448.772372
9690.800173,559,1456.457879
14256.900291,1019,1465.551382
11504.100199,623,1470.578827
8473.70013,470,1474.95217
16841.800325,1019,1484.297876
10464.200182,667,1492.331729
9853.100182,581,1497.169406
14130.800282,1019,1507.429013
14499.300274,904,1516.24215
5654.70013,424,1520.501405
5957.000158,488,1524.995238
13001.900272,1019,1534.12297
6655.60009,374,1542.18822
13478.600277,1019,1552.463038
13805.100285,1019,1562.779089
8739.200148,503,1567.649728
7125.10017,584,1572.748052
13478.400274,1019,1582.219725
2296.900122,427,1586.351626
13779.600279,1019,1595.25857
16013.500313,1019,1604.355802
7420.40011,402,1605.888201
13328.200277,1019,1618.610519
14658.300295,1019,1628.260176
11320.200247,1019,1637.955406
12499.900265,1019,1650.389687
5040.600084,391,1654.644367
14733.200291,1019,1664.389982
13001.900272,1019,1673.943891
12625.400267,1019,1686.591515
12399.500263,1019,1696.487088
8431.100155,487,1701.167479
7682.40016,491,1705.760202
13804.900282,1019,1717.800641
14432.200289,1019,1726.789128
8183.000139,501,1731.214165
14733.600296,1019,1740.239539
13780.000284,1019,1752.60252
9910.60021,613,1757.353666
13729.800283,1019,1766.301871
12881.800211,811,1774.693401
6231.600157,545,1779.442831
16339.800318,1019,1791.336512
13855.30028,1019,1800.249858
13566.100302,1019,1809.689373
10865.800301,1019,1821.548848
9696.900177,525,1826.117452
14332.00029,1019,1835.031234
12888.200216,712,1840.539274
6402.200098,412,1844.672153
8850.200129,469,1849.119268
13704.700283,1019,1861.404825
7064.000105,418,1865.406659
8687.100134,481,1870.123133
5426.00012,484,1874.486375
5285.600058,369,1875.876249
7102.200079,378,1879.817538
14332.200293,1019,1891.66855
14589.100294,941,1900.402574
10345.200241,741,1905.825017
14733.800299,1019,1914.708547
6606.300077,362,1918.565589
11318.600233,741,1929.310054
8348.100163,533,1934.136374
7736.600121,421,1935.746516
15587.200312,1019,1944.701047
12399.300261,1019,1953.615472
12750.700266,1019,1966.246892
-10432.799749,1019,1975.064492
11646.300249,1019,1983.960305
11896.900248,1019,1993.134623
15286.000307,1019,2002.029771
13726.600229,766,2013.863324
8752.50016,493,2018.281859
15762.700312,1019,2027.405659
13328.000275,1019,2036.696677
6475.80011,412,2040.943946
8735.300148,493,2049.022552
7263.10014,475,2053.757257
7149.300081,383,2055.264701
12583.400257,1019,2064.530821
11696.700253,1019,2073.684324
15461.300304,1019,2085.9924
13980.800287,1019,2095.141737
8500.600153,474,2099.989388
13559.400255,822,2109.322866
14457.300289,1019,2121.527459
7918.400127,440,2125.798561
8769.100132,472,2130.398467
6628.100126,442,2132.293945
7142.000072,383,2136.496346
6765.900076,354,2140.731638
-17729.799818,1019,2149.87009
11792.20023,722,2158.182346
12106.50032,1008,2167.24655
13252.300268,1019,2176.599229
6936.100119,422,2181.007572
14959.700302,1019,2193.03284
-566.099688,1019,2202.734959
13829.80028,1019,2212.730684
10678.8002,735,2218.463693
6931.600061,353,2225.356583
14884.200298,1019,2234.882442
5206.500122,419,2239.171569
-5773.299696,1019,2248.356543
8232.800144,471,2252.695545
11487.500229,764,2261.237693
13930.600286,1019,2270.369778
7212.700075,380,2274.460053
15059.500296,1019,2283.433342
