time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_range,train/learning_rate
383,1,768,2,,,,,,,,,,,,
202,2,1536,7,3,-1422.0332773333332,0.022385335,-8.291180782847935,0.3441840277777778,-0.0005519390106201172,1019.0,0.00801702642477014,15.225464820861816,17.507086283630795,0.2,0.00025
183,3,2304,12,6,-1422.0332773333332,0.056910753,-8.245397369066874,0.4578993055555556,-0.018049001693725586,1019.0,0.004414213691941566,16.315673828125,22.88145187166002,0.2,0.00025
179,4,3072,17,9,77.69174541666666,0.067656256,-8.155129181014168,0.5130208333333334,-0.06060349941253662,1019.0,0.009325251707600223,16.470977783203125,14.536123732725779,0.2,0.00025
174,5,3840,22,12,77.69174541666666,0.054240793,-8.093703084521824,0.4240451388888889,0.06464982032775879,1019.0,-0.0029040174429408377,14.394789695739746,21.3755550649431,0.2,0.00025
155,6,4608,29,15,1963.6112175555556,0.0721226,-7.84262263112598,0.4066840277777778,-0.12163734436035156,1019.0,-0.010410192551919155,18.53860092163086,18.73603293630812,0.2,0.00025
157,7,5376,34,18,1963.6112175555556,0.059871238,-7.912810968028174,0.5850694444444444,0.14133614301681519,1019.0,0.07058055744144237,8.590808868408203,19.870822734302944,0.2,0.00025
158,8,6144,38,21,4386.416809375,0.07468427,-7.478440297974481,0.5,-0.04314017295837402,1019.0,0.03677791167542131,25.628570556640625,30.291727781295776,0.2,0.00025
159,9,6912,43,24,4386.416809375,0.040995315,-7.047706213262346,0.6627604166666666,0.07445967197418213,1019.0,0.06574651404904823,24.577224731445312,30.634935484992134,0.2,0.00025
159,10,7680,48,27,4968.4801688,0.06300495,-7.503204882144928,0.54296875,0.03678542375564575,1019.0,0.05325691642550131,11.96671199798584,38.05009131299125,0.2,0.00025
159,11,8448,52,30,4968.4801688,0.039737526,-7.631005214320289,0.4075520833333333,0.1003488302230835,1019.0,0.022054870451231383,31.625368118286133,78.59845921728346,0.2,0.00025
160,12,9216,57,33,5105.2585134166675,0.13537611,-7.202816479735905,0.6458333333333334,0.14737021923065186,1011.7777777777778,0.055049617580759026,6.49937105178833,19.73182298739751,0.2,0.00025
153,13,9984,65,36,5116.955438236843,0.047727272,-7.078080912431081,0.5099826388888888,0.5558019876480103,980.0263157894736,0.06293623996639831,30.328969955444336,55.16800067159865,0.2,0.00025
153,14,10752,70,39,4952.352561238095,0.11550295,-7.011125418874952,0.5099826388888888,0.7264993190765381,978.0952380952381,0.04261170141398907,19.793272018432617,45.550191985236275,0.2,0.00025
152,15,11520,75,42,4325.075738288889,0.07108728,-6.896186576949225,0.6171875,0.8645040392875671,978.5111111111111,0.07094074470094508,29.026268005371094,44.03311930762397,0.2,0.00025
152,16,12288,80,45,4620.308521416667,0.12510276,-6.793664276599884,0.5590277777777778,0.918100118637085,975.3541666666666,0.06070555029954347,49.38770294189453,55.41680195596483,0.2,0.00025
153,17,13056,85,48,4233.2888653584905,0.10012887,-6.723640422026317,0.5920138888888888,0.9148516654968262,953.377358490566,0.05401674846911596,56.498722076416016,72.1561217572954,0.2,0.00025
153,18,13824,89,51,4126.5680408571425,0.06354627,-6.902466522322761,0.4956597222222222,0.9304299354553223,934.8928571428571,0.03606848052651104,39.30807113647461,65.07829202546014,0.2,0.00025
154,19,14592,94,54,3883.823518883333,0.21499188,-6.812966783841451,0.6779513888888888,0.9421804547309875,937.4666666666667,0.07049779696131332,48.39950942993164,73.72758889198303,0.2,0.00025
150,20,15360,101,57,3715.2620920634913,0.13340876,-6.8137069543202715,0.6193576388888888,0.9063811302185059,934.5396825396825,0.05107905898087969,43.00996398925781,75.76504460970561,0.2,0.00025
151,21,16128,106,60,3064.55540819403,0.26232418,-6.427664584583706,0.5920138888888888,0.9351490139961243,935.2089552238806,0.05125489254068169,56.056976318359375,90.74216696951125,0.2,0.00025
151,22,16896,111,63,3285.66105542029,0.19771726,-6.296334405740102,0.6506076388888888,0.8819823265075684,937.6376811594203,0.07878758406473531,35.62876892089844,89.90235882335239,0.2,0.00025
151,23,17664,116,66,3339.5248477123287,0.3686125,-6.247793681091732,0.8177083333333334,0.913753867149353,942.0958904109589,0.2013016536883596,19.633394241333008,53.53966977861192,0.2,0.00025
152,24,18432,121,69,3593.3055256133334,0.18108451,-5.9764724837409124,0.7421875,0.954841136932373,944.1466666666666,0.12310305065087353,20.606426239013672,35.302025781737434,0.2,0.00025
153,25,19200,125,72,3615.0839430499996,0.24914658,-5.561172200573815,0.6532118055555556,0.9062009453773499,935.7125,0.0766596721433517,75.27839660644531,111.52600044674344,0.2,0.00025
153,26,19968,129,75,3603.0929643975905,0.14085741,-5.646418829758962,0.6228298611111112,0.9407182335853577,928.8915662650602,0.06384150084987697,58.096282958984375,65.99605952368842,0.2,0.00025
151,27,20736,136,78,3403.2795035977015,0.09294214,-5.724166148238712,0.5755208333333334,0.9280334115028381,926.8505747126437,0.0521565402030117,118.57603454589844,83.66372447543674,0.2,0.00025
152,28,21504,141,81,2983.044144494505,0.11396477,-5.510567976368798,0.6154513888888888,0.8742313385009766,915.3846153846154,0.04856262895433853,142.77186584472656,134.9493556552463,0.2,0.00025
152,29,22272,146,84,2661.2022476494844,0.099797525,-5.532786183887058,0.5451388888888888,0.9135685563087463,904.2371134020618,0.04324939614161849,29.143083572387695,83.74833427535162,0.2,0.00025
153,30,23040,150,87,2850.4631841,0.04640891,-5.505748483869764,0.5538194444444444,0.9084979295730591,886.07,0.05433983099646866,45.71590042114258,93.107521004147,0.2,0.00025
153,31,23808,154,90,3014.2321876,0.07882959,-5.433468573623234,0.4518229166666667,0.9275950789451599,873.41,0.0321126589551568,35.177146911621094,49.40180015563965,0.2,0.00025
154,32,24576,159,93,3133.4831906900004,0.07811765,-5.311187585194905,0.5260416666666666,0.9204460978507996,860.84,0.0416176981654846,46.57369613647461,54.28470677799649,0.2,0.00025
154,33,25344,164,96,3010.4461884599996,0.035574406,-5.26829418208864,0.4774305555555556,0.8705651164054871,839.59,0.033710392450706825,78.65155029296875,98.63083251317342,0.2,0.00025
152,34,26112,171,99,2810.7831876,0.063161515,-5.229412231180403,0.5030381944444444,0.795762836933136,839.59,0.03397318762209681,35.80960464477539,71.25087910228305,0.2,0.00025
152,35,26880,176,102,2307.7051839099995,0.08143658,-5.2171821859147816,0.5099826388888888,0.9174425601959229,833.49,0.03428616029365609,66.41731262207031,55.33231414688958,0.2,0.00025
152,36,27648,180,105,1956.1301778999996,0.08133257,-5.1617834435568914,0.4752604166666667,0.7915794253349304,817.99,0.0225411747297686,64.01021575927734,76.04268140263028,0.2,0.00025
153,37,28416,185,108,1717.59417349,0.15893179,-5.193867378764683,0.6254340277777778,0.880275547504425,812.37,0.07069296144699264,16.312498092651367,28.36158647139867,0.2,0.00025
153,38,29184,189,111,1516.0581669899998,0.081211515,-5.065633283721076,0.5329861111111112,0.8105970621109009,796.72,0.035005317949172526,51.480682373046875,66.85083688629999,0.2,0.00025
154,39,29952,194,114,1526.2181664999996,0.15213083,-5.201536218325297,0.6215277777777778,0.8591158390045166,795.36,0.059437366331824,63.73335647583008,36.79127437538571,0.2,0.00025
154,40,30720,198,117,1733.2641640099996,0.13292062,-4.8714978496233625,0.5551215277777778,0.8240672945976257,781.65,0.04447072129955308,24.252656936645508,36.336150235599945,0.2,0.00025
152,41,31488,206,120,1467.8501605399997,0.123519234,-4.879376020696428,0.5972222222222222,0.8749821186065674,773.85,0.05899743609026902,19.924510955810547,52.43127563264635,0.2,0.00025
152,42,32256,211,123,1438.37515879,0.1429636,-4.500332514444987,0.6085069444444444,0.8563233017921448,771.29,0.06533606576785031,40.01395034790039,48.66693076822493,0.2,0.00025
152,43,33024,216,126,1232.2811628499999,0.11722133,-4.524913165304396,0.5520833333333334,0.8983995914459229,785.89,0.039297437275915094,21.219785690307617,48.87128284242418,0.2,0.00025
153,44,33792,220,129,1413.71115774,0.05314436,-4.5280793574121265,0.5073784722222222,0.9035208225250244,764.73,0.031817064116088055,33.67763137817383,53.532481246524384,0.2,0.00025
153,45,34560,225,132,1797.1191563900002,0.08999468,-5.009432176748912,0.5342881944444444,0.8101075887680054,755.35,0.0418027276173234,34.283203125,54.4147207736969,0.2,0.00025
153,46,35328,229,135,2051.5961553399998,0.061441258,-4.589367621474796,0.5364583333333334,0.882590651512146,744.49,0.034609626745805144,22.01260757446289,25.348092211617363,0.2,0.00025
153,47,36096,234,138,2226.7321498499996,0.050114956,-4.962993813885583,0.4440104166666667,0.8464565873146057,724.84,0.022510898312450282,16.54218292236328,25.625377946429783,0.2,0.00025
152,48,36864,241,141,2233.19314724,0.065321445,-4.840491745207045,0.4709201388888889,0.8899778127670288,713.04,0.027767901367042214,17.734506607055664,26.376335157288445,0.2,0.00025
152,49,37632,246,144,2589.2831469599996,0.06697161,-5.013562076621586,0.4735243055555556,0.851041316986084,711.9,0.017162343409533303,10.039752960205078,17.993462959925335,0.2,0.00025
153,50,38400,250,147,3125.4901452999993,0.03357704,-4.577763815720876,0.3741319444444444,0.8228201866149902,696.34,0.014217407597849766,7.551225662231445,24.642351812786526,0.2,0.00025
153,51,39168,255,150,3642.3971454899993,0.043102365,-4.543588923083411,0.3971354166666667,0.8434286117553711,691.19,0.028485292323037155,43.61761474609375,40.048082722557915,0.2,0.00025
152,52,39936,261,153,3777.4621463100007,0.0426925,-4.2668293250931635,0.3806423611111111,0.9196022152900696,689.9,0.011819478421885934,21.343738555908203,28.550457888179356,0.2,0.00025
152,53,40704,266,156,4185.3511521400005,0.04262906,-4.0520246558719215,0.4309895833333333,0.912031888961792,706.02,0.0007781591525094376,7.885009288787842,18.94497487280104,0.2,0.00025
