#{"t_start": 1742488873.6801696, "env_id": "None"}
r,l,t
-1555.899946,1019,8.71258
1380.800098,1019,18.265429
8207.8002,1019,30.753644
9362.400217,1019,39.846715
-6454.699718,1019,49.212314
10817.100235,1019,58.549638
5229.900097,438,65.828753
-9575.099737,1019,76.261938
-3825.699854,1019,86.03469
5100.100056,373,90.066303
-1710.599739,1019,102.054215
11957.700232,726,107.528742
110.500286,1019,117.285754
12333.900183,728,125.374858
4111.000191,741,130.72767
-19018.699902,1019,142.239797
4567.500063,334,146.182847
6249.900093,449,150.382614
-12164.299831,1019,159.330924
-3835.799854,1019,171.474573
8502.500158,630,176.541899
3097.300062,374,180.64945
7908.000143,682,185.776066
5604.600111,586,190.499773
2186.900063,585,195.427965
-3867.499725,972,207.658059
-3479.19977,1019,216.997725
3064.100052,369,220.94616
5807.100119,549,225.643356
15693.700277,991,234.709468
12376.900229,760,245.476868
6795.400112,496,249.867356
6061.70006,334,251.155443
4656.200058,366,255.08006
6195.700245,1019,266.605165
9971.700159,579,271.485657
5738.000048,302,278.308603
8076.400116,500,282.68473
6649.700052,332,283.965668
-7148.099865,1019,293.097845
16013.700315,1019,302.063289
17392.200306,1010,317.174048
10191.000187,633,921.088223
6837.700075,389,925.397372
14884.400301,1019,934.402129
10520.600185,656,939.297868
11495.900249,1019,948.044512
4702.500057,389,951.850685
10074.300186,550,956.173552
10614.200205,626,963.222223
6409.500105,391,964.539401
8545.600136,460,968.925111
10245.100279,1019,977.909286
14055.900286,1019,990.687297
5707.800158,550,995.197292
10441.800207,687,1002.950074
14733.600296,1019,1011.204748
14155.800261,773,1016.188215
15436.200304,1019,1025.706
7022.000134,479,1029.837041
6077.900084,384,1033.648472
7789.10013,436,1037.545293
14507.700293,1019,1045.823328
5288.700165,535,1049.961663
9199.800146,533,1057.095382
4828.000101,393,1061.455693
14406.900288,948,1067.75902
12801.100269,1019,1076.002738
-1988.499809,1019,1084.230937
10642.300234,1019,1095.536461
12198.70026,1019,1103.842309
8809.90015,473,1107.723448
13930.400284,1019,1115.905628
8783.900253,758,1126.518812
12976.600269,1019,1134.844083
15009.7003,1019,1143.114584
6576.800077,349,1144.286777
8390.500128,450,1148.191751
10954.300169,585,1152.771948
13857.800251,778,1163.154111
15988.800318,1019,1171.34189
12399.500263,1019,1180.019025
11069.200243,1019,1190.77657
14432.400291,1019,1203.184978
14231.800291,1019,1212.316949
10802.100231,1013,1221.690459
16590.800322,1019,1234.662863
8918.500158,516,1239.302668
15210.700306,1019,1248.568799
10834.600183,627,1253.595684
6117.500231,1019,1262.896743
11480.700243,825,1273.804041
8850.100128,515,1278.388628
9204.700127,491,1282.889114
8782.700146,608,1287.898648
7921.500095,406,1292.167122
8577.200157,629,1297.191986
13529.00028,1019,1306.312962
14532.800293,1019,1320.082594
10131.100262,910,1329.703039
7803.100084,409,1331.436982
10407.300194,790,1340.300203
14758.700296,1019,1349.508885
10613.300201,623,1354.956943
12592.100212,776,1363.272966
8012.800117,426,1367.588702
13353.300278,1019,1377.604386
14081.000286,1019,1390.489954
13043.400251,875,1397.136008
14959.700302,1019,1406.623673
5933.200077,404,1410.807132
7033.300144,462,1415.382518
7887.00012,429,1421.058047
13171.900246,840,1426.857355
7629.300091,390,1431.09238
8776.400131,472,1435.517023
10948.000195,591,1440.352724
9616.200151,585,1445.618619
10881.500172,600,1455.968843
-11870.9998,1019,1465.0582
9420.600147,522,1469.700427
12432.300228,691,1474.916947
8815.000164,580,1480.013755
11710.800266,1019,1491.956449
10985.200184,587,1496.816307
9815.400171,556,1502.121616
17343.60033,1019,1511.882196
12145.600222,663,1519.721085
13933.100271,1019,1528.912322
5580.200151,470,1533.289572
14414.800297,1008,1546.950699
15831.500303,1019,1557.076247
15787.800312,1019,1567.282476
8408.600203,617,1572.523798
12499.700262,1019,1582.015835
14934.400299,1019,1590.970666
14407.500294,1019,1600.038713
14005.900288,1019,1611.942344
14307.100292,1019,1621.911996
14281.600286,1019,1631.617843
11721.800253,1019,1641.314284
12826.20027,1019,1653.579823
8158.400164,511,1658.552187
17393.800331,1019,1668.15651
13152.300272,1019,1680.600372
10367.300217,649,1686.138784
11922.400253,1019,1696.034484
8562.100178,531,1700.882457
14482.800295,1019,1710.162253
9307.600161,507,1717.597151
-11027.09977,1019,1726.587598
15059.900301,1019,1735.468958
13754.900284,1019,1744.782722
12101.300243,752,1753.361117
9995.500221,661,1760.804983
16139.000315,1019,1769.797359
8398.600145,518,1774.501705
8304.500124,441,1778.818764
8729.500124,458,1780.584919
8218.000118,437,1787.773597
14507.900295,1019,1796.6543
14181.60029,1019,1805.838609
7588.100271,1019,1815.044247
16314.700317,1019,1826.931843
13706.300262,959,1835.636395
6851.80014,507,1840.365393
12558.100231,706,1848.239813
14859.100298,1019,1860.504841
4445.300127,438,1862.228609
12854.900221,702,1870.193355
8306.100098,457,1874.457304
7954.300108,418,1876.037903
7531.600153,605,1883.355744
11437.600212,660,1891.311776
10062.000143,595,1896.041737
6420.600191,589,1900.982587
8442.500179,555,1905.69974
9276.400194,570,1910.364301
16891.800323,1019,1919.257875
5665.500086,395,1926.088363
8925.700148,544,1930.811508
8710.300129,500,1935.394505
13805.100285,1019,1944.364489
1987.200287,1019,1953.266293
14056.100288,1019,1965.892983
10968.400236,1019,1974.726671
16189.200315,1019,1983.628984
14934.000294,1019,1992.789739
17072.600328,1019,2001.682941
15612.100309,1019,2014.477717
7759.000105,414,2018.663629
13328.000275,1019,2027.724052
15034.600298,1019,2037.033527
12681.300262,792,2048.89927
13654.500282,1019,2058.334289
13704.700283,1019,2067.57932
13328.200277,1019,2077.018526
15695.900299,972,2086.29916
9654.100166,525,2090.893088
12901.500271,1019,2100.595571
13955.700287,1019,2110.732936
13830.200285,1019,2122.794525
13851.20023,818,2131.360377
5446.500137,424,2135.847948
7642.100092,407,2140.224622
6683.800077,361,2141.738316
14206.500288,1019,2150.864595
10563.400198,714,2161.658253
11391.100191,698,2166.975727
10117.000284,891,2175.765126
6754.400082,365,2179.937472
14407.500294,1019,2191.969719
8490.200151,462,2193.831193
17117.700327,1019,2203.61483
13780.000284,1019,2213.597611
15336.200308,1019,2225.893676
12531.300243,732,2234.305537
9495.900173,515,2238.965279
11696.100245,1019,2248.148913
10918.400238,1019,2260.146033
16415.300322,1019,2269.349564
15587.000309,1019,2278.430282
9366.900177,548,2283.053674
13252.900276,1019,2295.149576
10028.100233,726,2300.54944
12524.800262,1019,2309.788039
12349.300262,1019,2319.718724
11822.200254,1019,2331.684892
7311.100243,723,2339.438639
8282.900198,1019,2349.285047
12173.60026,1019,2358.825201
15947.800346,1019,2370.913084
11622.300228,743,2376.669966
15461.70031,1019,2385.89564
14532.800293,1019,2395.283856
8339.200148,454,2402.704135
6219.600334,1019,2411.945408
15009.500298,1019,2421.358935
8253.000269,1001,2430.346464
18322.500345,1019,2442.606412
7472.400118,526,2447.073499
10998.500202,594,2452.506687
10391.700226,698,2460.600736
12399.500263,1019,2473.125685
12951.700272,1019,2483.695461
13027.000273,1019,2494.13941
14031.000288,1019,2503.562668
-6964.399698,1019,2516.395499
14583.000294,1019,2525.565105
14558.100296,1019,2535.26807
16590.600319,1019,2544.64711
13617.90027,893,2553.974146
7495.900135,433,2558.515298
13177.20027,1019,2568.171389
13428.600279,1019,2580.585836
8027.100246,767,2589.197389
-12519.799757,1019,2598.90234
-9209.899717,1019,2608.667743
12366.400208,756,2617.599875
5951.300095,419,2622.044697
11884.000181,721,2627.656452
12778.900259,1019,2638.725029
16444.900316,1019,2652.532498
11754.000216,661,2661.826063
13704.700283,1019,2671.338871
13669.100254,775,2677.343196
14457.700294,1019,2690.466579
12748.500233,730,2696.311608
8614.700125,467,2701.346611
14753.900255,810,2710.611143
9484.200161,568,2715.676799
3221.500103,456,2721.986436
11526.700211,777,2731.239682
-14956.199858,1019,2741.85246
13554.100281,1019,2749.353884
10026.100206,637,2760.613512
5920.600111,443,2765.155742
12258.300198,796,2770.949458
11412.100216,654,2776.137619
14809.1003,1019,2785.346335
14282.000292,1019,2797.345649
6223.000109,466,2801.801686
13403.500278,1019,2811.036153
14106.300289,1019,2820.324866
8317.600124,471,2827.704428
7218.200062,404,2831.859448
14176.800247,784,2840.156778
5678.000076,395,2841.698022
13127.200272,1019,2851.13907
13300.600243,779,2862.314481
4702.300116,422,2866.555372
15336.200308,1019,2875.671009
16992.200325,1019,2884.886561
11259.800203,751,2890.397962
-16432.999868,1019,2902.650474
8167.800142,442,2907.029191
11563.700277,1019,2916.314096
15282.500273,1019,2925.594079
13101.200243,753,2933.806978
8291.900141,474,2938.436251
8193.40033,1019,2947.699875
14984.6003,1019,2957.266097
13428.600279,1019,2969.791234
14733.800299,1019,2979.53194
13029.30028,1019,2989.511092
-2415.999687,1019,3001.454742
-2387.599771,1019,3011.123818
15135.200302,1019,3020.645859
15311.100307,1019,3029.957553
7198.400095,411,3036.876273
6168.900166,513,3041.550899
8707.800161,496,3046.127604
10723.400213,698,3051.330826
10056.700178,585,3058.660194
9235.000153,523,3063.255078
14683.400295,1019,3075.028936
14963.500294,1019,3084.12402
14102.600252,894,3090.234511
16022.500288,946,3099.011739
11076.600191,719,3109.730875
10747.000156,565,3114.574446
8975.600174,549,3119.36187
16139.000315,1019,3128.49901
6366.800158,518,3133.105306
13648.900255,833,3142.121796
16164.300318,1019,3152.663822
10065.700169,563,3160.193406
14895.300261,906,3166.290094
13780.000284,1019,3177.531626
14859.300301,1019,3186.692906
2853.900295,1019,3195.773432
11190.400187,660,3203.399657
-13052.999865,1019,3215.471681
15837.80031,1019,3224.629704
16340.00032,1019,3233.81872
15311.100307,1019,3242.816759
13403.100273,1019,3255.079353
14457.700294,1019,3264.096538
7746.700138,423,3265.719123
11571.000248,1019,3274.790828
-1917.299692,1019,3286.651126
14859.100298,1019,3295.671028
14608.100294,1019,3304.822202
15561.900309,1019,3313.913979
15963.500315,1019,3326.121676
16415.500324,1019,3335.745135
13980.600285,1019,3344.896039
14844.200256,897,3353.582175
14144.800259,857,3362.174052
12901.500271,1019,3375.856683
12725.800268,1019,3386.487399
8611.500122,463,3391.378273
14111.200262,802,3397.211163
11441.200224,674,3405.165954
15313.200294,1019,3414.288627
12399.500263,1019,3423.397022
11135.300209,619,3428.332424
15737.800314,1019,3440.390437
15637.400312,1019,3450.226017
5166.40007,403,3454.536489
8921.500156,499,3456.502909
17891.000322,1019,3465.700044
9098.000145,504,3471.796775
14382.200291,1019,3481.076577
15189.60026,890,3490.096491
15210.700306,1019,3499.150567
15627.30031,1019,3511.054007
9666.200159,543,3515.723946
15641.700304,1019,3524.97229
13814.100296,1019,3533.934645
15863.100313,1019,3545.847741
17318.50033,1019,3555.14419
9680.100164,550,3559.771669
15311.100307,1019,3568.821483
7002.700064,352,3572.701073
14708.500296,1019,3584.852222
12080.600222,694,3590.099521
15662.30031,1019,3599.138888
15787.800312,1019,3611.144015
14081.000286,1019,3620.372029
16691.400326,1019,3629.575723
7239.400114,422,3633.739447
14332.00029,1019,3643.037519
13378.700253,823,3654.206516
-8884.199833,1019,3662.986691
7831.400097,423,3667.030354
16365.100321,1019,3675.946995
13980.800287,1019,3687.63671
15536.800308,1019,3696.466726
5448.70014,458,3698.252499
10396.70023,933,3707.070925
15863.100313,1019,3718.953716
11571.900215,642,3723.959714
14579.500317,1019,3733.024056
16401.600323,1019,3742.015686
15328.700314,1019,3753.938059
-20338.399902,1019,3763.013624
11739.300217,679,3770.876063
9019.400167,545,3775.63596
14256.700289,1019,3787.848704
11395.500248,1019,3797.045517
11972.800257,1019,3806.074666
14281.800289,1019,3814.980031
13592.900272,1019,3827.10513
17594.600334,1019,3836.129954
10583.700169,603,3840.980119
-2149.999702,1019,3850.081143
13045.900242,749,3858.727046
14228.40029,923,3867.402221
14131.40029,1019,3876.440341
13328.200277,1019,3885.606892
14281.600286,1019,3897.583112
15862.900311,1019,3906.611973
13578.700254,969,3915.751218
8490.000151,470,3920.20608
402.600182,633,3928.076654
11818.400202,651,3935.842
10199.900188,555,3940.595481
16792.500309,1019,3949.774252
14975.90028,865,3955.595909
11495.900249,1019,3967.625737
4175.80015,510,3972.208701
15386.000303,1019,3981.215907
15059.900301,1019,3990.190318
15762.700312,1019,4002.202761
6763.800148,501,4006.776557
9338.400164,511,4011.297804
8585.200151,477,4015.756291
14231.400286,1019,4024.920084
13905.300301,1019,4037.002706
15235.600304,1019,4046.170133
15535.200277,892,4054.899115
15988.600315,1019,4064.09794
14106.600269,1019,4076.156359
12318.000231,749,4081.638417
7389.100086,380,4085.698263
3254.70015,476,4090.131095
14583.000294,1019,4099.453174
17218.500334,1019,4111.840523
11445.700249,1019,4121.063759
14156.300287,1019,4130.233584
15135.200302,1019,4142.74741
10678.900204,640,4148.031997
16791.800327,1019,4157.289309
11143.500254,912,4166.038702
16387.10029,1019,4178.137501
14382.400293,1019,4187.447524
14758.900299,1019,4196.721863
13787.400267,927,4205.509093
13316.400269,1019,4217.773841
14507.300287,1019,4227.055458
11370.200245,1019,4236.167491
14937.700289,1019,4248.078392
11083.100214,725,4253.58677
12273.600256,1019,4262.649177
11847.100252,1019,4271.757105
13346.100248,1019,4281.669734
16835.600302,1019,4290.843078
15194.400276,842,4303.661785
16063.600292,951,4312.53197
6961.700176,545,4317.144254
13894.600256,783,4322.765946
8455.000151,465,4327.160514
13252.300268,1019,4339.358938
16555.6003,1001,4348.438412
12022.600252,1019,4357.691997
16666.300325,1019,4370.569358
12820.300262,1019,4380.497327
14031.000288,1019,4389.83206
13489.900263,1019,4399.094015
14683.400295,1019,4410.767378
16841.400326,1019,4419.875182
9768.900148,529,4424.470706
14030.200283,1019,4433.831804
7418.500273,1019,4445.816586
18046.600344,1019,4455.100023
17609.300331,1011,4464.378005
14030.800285,1019,4476.402146
2055.300224,1019,4485.726784
16452.200306,1009,4495.350823
8050.600136,433,4500.078311
12801.100269,1019,4513.521649
13303.100277,1019,4523.319995
14583.000294,1019,4532.574365
15587.000309,1019,4545.077599
13930.400284,1019,4554.363378
15135.200302,1019,4563.395264
17067.900331,1019,4572.441466
10385.000189,599,4580.219844
13303.100277,1019,4589.534998
9577.300179,549,4594.289318
15345.100262,961,4603.176865
9506.000174,518,4607.800147
16416.800343,1019,4619.813248
14350.600302,1019,4628.843929
6975.900173,564,4633.608583
15720.800303,1019,4642.659031
15235.800306,1019,4654.618378
11171.200212,657,4659.731992
14720.600283,1019,4668.728628
3399.200144,1019,4678.055364
15386.200306,1019,4690.101957
15863.100313,1019,4699.283826
12936.000225,772,4707.646888
16415.100319,1019,4719.763461
15637.000307,1019,4729.243546
14708.700298,1019,4738.792427
8410.100279,1019,4748.369636
15913.300314,1019,4761.24004
16579.100311,962,4770.606848
9853.500183,554,4775.568344
15372.00029,1019,4785.233613
14633.200294,1019,4797.910162
11980.500206,728,4803.974101
5847.600071,401,4808.799222
7838.900129,431,4813.306815
6633.700165,494,4818.157593
12367.100208,683,4826.500445
5494.900133,419,4830.943135
13827.000271,1019,4840.546143
-15467.099884,1019,4850.362351
14181.60029,1019,4862.416369
10189.900188,557,4867.216575
11029.100204,610,4872.23421
12398.100231,738,4880.477028
10976.000193,593,4885.356282
8281.600132,467,4889.769544
14256.900291,1019,4901.802541
14607.700289,1019,4911.726794
15189.900295,930,4920.814163
17444.200335,1019,4932.249733
14171.800249,1005,4938.724729
16967.50033,1019,4948.092847
12474.600262,1019,4957.46324
15662.30031,1019,4967.851782
15248.700258,905,4978.077653
16624.500315,1019,4991.565228
13532.000252,1017,5001.115535
8410.100151,461,5005.577905
12549.500257,1019,5016.366173
9187.600199,592,5021.439569
13654.100277,1019,5031.147807
13353.400272,1019,5040.676924
12583.800238,888,5052.296754
7894.600132,432,5056.66515
9783.000181,543,5061.52236
9214.500168,501,5066.274406
7933.300291,1019,5075.847222
7359.20013,432,5080.239095
14880.200279,855,5089.729735
14589.800262,1019,5099.224994
-6560.199722,1019,5108.478481
15475.900265,880,5117.211181
15286.000284,985,5129.024478
12015.900248,1019,5138.111147
15360.900303,1019,5147.258908
16214.100313,1019,5159.384456
17117.700327,1019,5168.434218
16945.300318,985,5177.391873
13804.700279,1019,5186.555313
12202.700211,770,5194.994437
16584.500313,975,5203.884075
11770.200262,939,5212.534843
16038.600313,1019,5221.552306
12550.100266,1019,5233.572328
13077.200274,1019,5242.679398
17001.200321,1019,5251.764065
13608.900278,1019,5263.671776
16528.600294,1002,5272.672511
14422.60029,1019,5281.775809
13894.600258,814,5290.008065
17140.700302,997,5301.841051
7349.800152,514,5306.555977
13637.600267,861,5312.539494
15284.600334,1019,5321.648838
16543.900316,1019,5334.067243
16054.400295,909,5343.118994
9043.800165,506,5347.672583
16583.000307,980,5356.612585
12654.200235,742,5362.747934
13302.900274,1019,5374.650217
16155.600302,1019,5383.750839
722.00021,1019,5392.909787
-4371.799709,993,5405.078385
13955.500284,1019,5414.394652
15815.100283,1019,5423.447357
13395.700228,988,5432.577329
15676.600304,1019,5444.732858
12700.300262,1019,5453.826401
-11716.5998,1019,5463.02732
15763.400291,1001,5475.107894
14862.70031,1019,5484.192043
6811.100246,1019,5493.263394
8606.400213,620,5498.292778
15662.500313,1019,5510.306287
12198.500257,1019,5519.536139
4021.800175,1019,5528.650029
13102.100271,1019,5537.759197
12042.700216,927,5549.568375
17368.900333,1019,5558.719783
13288.000235,909,5567.415948
9693.400215,988,5576.592111
10763.400202,598,5584.650069
12048.100258,1019,5593.766899
15436.600309,1019,5602.931336
17645.000338,1019,5612.15889
10957.000191,675,5620.90106
4963.700127,429,5625.169993
10621.900196,589,5630.065567
16295.300299,906,5638.778717
12573.400253,1019,5647.945433
17167.900328,1019,5656.991472
16691.400326,1019,5670.24676
16085.400318,980,5679.378798
6914.700315,1019,5689.249053
