time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss
761856,4370,174,113.54794007000002,124,1219.93,492,0.2,-6.129779726266861,0.00025,0.03271031,0.3497721354166667,0.9630957245826721,0.01306612801757486,12.649797677993774,4.448721408843994
768000,4406,174,103.40633502,125,1249.12,496,0.2,-6.296613032619159,0.00025,0.049701948,0.41455078125,0.9686304330825806,0.013285994728600295,7.887765054901441,2.910985231399536
774144,4440,174,99.74779003999998,126,1298.13,500,0.2,-6.188601200779279,0.00025,0.071464814,0.400634765625,0.9443556666374207,0.01698293985100463,9.64293497800827,2.476933479309082
780288,4466,174,91.5274301,127,1366.33,504,0.2,-6.266561105847359,0.00025,0.03031185,0.3939208984375,0.965747058391571,0.006047125939706651,9.044064179062843,3.3110225200653076
786432,4495,174,85.43588511,128,1364.39,508,0.2,-6.158031190435092,0.00025,0.03107324,0.3946940104166667,0.970880389213562,0.010062510846182704,8.2847547630469,3.6037473678588867
792576,4526,175,86.25357010000003,129,1367.22,512,0.2,-6.083608115712802,0.00025,0.056213092,0.4080810546875,0.9551007747650146,0.027574489167212352,10.646638045708338,3.432011604309082
798720,4560,175,85.78272507,130,1375.73,516,0.2,-6.122232303023338,0.00025,0.029501727,0.347412109375,0.9689541459083557,0.006216650057467632,10.591587593158087,3.875697135925293
804864,4595,175,86.49247508,131,1411.56,520,0.2,-6.09446216126283,0.00025,0.042124134,0.46044921875,0.9685474634170532,0.018856906938405398,7.628561432162921,3.053144931793213
811008,4630,175,93.78761001000001,132,1351.88,524,0.2,-6.089994892477989,0.00025,0.06293472,0.4195149739583333,0.9813422560691833,0.016782401473998714,6.051122645537059,1.880054235458374
817152,4659,175,91.51283501,133,1367.27,528,0.2,-6.172121688723564,0.00025,0.026192391,0.3304443359375,0.9655330181121826,0.003761432133615017,9.999496127168337,5.555938720703125
823296,4694,175,103.18552505,134,1345.27,532,0.2,-6.254950841267903,0.00025,0.04139503,0.3662516276041667,0.9627945423126221,0.009329473953888131,9.277041599154472,3.1938281059265137
829440,4730,175,104.56591506999999,135,1339.43,536,0.2,-6.1509949664274854,0.00025,0.027456917,0.3277994791666667,0.9766039848327637,0.005661268859209183,8.150423164168993,3.4818992614746094
835584,4763,175,111.43363011000002,136,1289.69,540,0.2,-6.2711411267519,0.00025,0.029326469,0.3549397786458333,0.9714164137840271,0.00821617579034258,8.16681219637394,2.91347336769104
841728,4801,175,113.94394512000001,137,1254.5,544,0.2,-6.3193637778361635,0.00025,0.04716729,0.4101155598958333,0.9589335322380066,0.012775602585558469,8.402456854780516,3.422790050506592
847872,4842,175,114.10090513000002,138,1263.14,548,0.2,-6.428019528587659,0.00025,0.031640667,0.35888671875,0.9765563011169434,0.008403212304983754,7.386289748052756,3.2807347774505615
854016,4880,175,110.22908513,139,1297.71,552,0.2,-6.417888065179189,0.00025,0.03410617,0.3610026041666667,0.965722918510437,0.008510501456233518,8.790585940082869,2.9344191551208496
860160,4911,175,101.90249017000001,140,1361.6,556,0.2,-6.458181604743004,0.00025,0.12425733,0.4038899739583333,0.9734398722648621,0.017292847282078583,8.118618696928024,3.2793612480163574
866304,4946,175,85.21456515,141,1386.6,560,0.2,-6.338466907540957,0.00025,0.03476285,0.3960367838541667,0.9669761061668396,0.011329657708605131,8.470901365081469,3.4975342750549316
872448,4976,175,70.45391512,142,1387.84,564,0.2,-6.39222074051698,0.00025,0.03735015,0.4307047526041667,0.8921915888786316,0.01799919127612763,14.70015058418115,4.397049903869629
878592,5003,175,67.44826516999998,143,1426.04,568,0.2,-6.235384752353032,0.00025,0.043552805,0.4200032552083333,0.9289964437484741,0.018531384962746717,15.057656546433767,4.660974025726318
884736,5032,175,64.47327514999999,144,1398.71,572,0.2,-6.238069012761116,0.00025,0.036587033,0.352294921875,0.9635711908340454,0.0084496458536402,10.595366870363554,3.2273213863372803
