time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,train/clip_fraction,train/value_loss,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/n_updates
35,343,263424,7319,781.07,6.002056121826172,0.3459201388888889,10.1776259276602,11856.31,0.9242204427719116,0.04044708,0.00025,-5.122901141643524,0.2,0.010918732085782621,1026
36,344,264192,7324,781.05,7.54617977142334,0.4188368055555556,8.042001883188883,11761.76,0.9485865235328674,0.037382036,0.00025,-4.471852898597717,0.2,0.010639791739069752,1029
36,345,264960,7329,788.83,7.938506126403809,0.41015625,14.205140941672855,11813.92,0.8793649673461914,0.04353251,0.00025,-5.026702178849114,0.2,0.013973759416128613,1032
36,346,265728,7334,817.26,6.328591346740723,0.375,10.671444551812279,12215.01,0.9187116026878357,0.04690366,0.00025,-4.619360638989343,0.2,-0.0008978792724923955,1035
36,347,266496,7339,808.14,4.534993648529053,0.3454861111111111,12.742633130815294,11987.36,0.9363479018211365,0.070806175,0.00025,-5.168260375658671,0.2,0.01721852575428784,1038
36,348,267264,7344,811.07,14.79317855834961,0.3810763888888889,30.912591192457413,12036.22,0.9333661198616028,0.076306574,0.00025,-4.642748061153624,0.2,0.01702497811574075,1041
36,349,268032,7350,831.66,2.7230193614959717,0.4344618055555556,5.742658178011577,12312.15,0.9592268466949463,0.051308397,0.00025,-4.521762503517999,0.2,0.01662189280614257,1044
36,350,268800,7355,834.39,6.792346954345703,0.3871527777777778,9.291750543647343,12317.94,0.9132288098335266,0.04033264,0.00025,-4.900711516539256,0.2,0.01693185762916174,1047
36,351,269568,7360,799.89,4.978170394897461,0.4375,16.286567631695007,11839.86,0.9107666611671448,0.03946658,0.00025,-5.010307689507802,0.2,0.00873012463044789,1050
36,352,270336,7365,758.82,11.770380020141602,0.44921875,9.512663318051231,11325.3,0.9631848335266113,0.053022098,0.00025,-5.001667817433675,0.2,0.009119158157975309,1053
36,353,271104,7371,753.57,3.647853374481201,0.4097222222222222,9.197561413049698,11233.87,0.9307042956352234,0.060030878,0.00025,-5.122300803661346,0.2,0.01295860180269099,1056
36,354,271872,7376,748.99,6.217122554779053,0.4114583333333333,14.044190274344551,11168.04,0.8998444080352783,0.040119145,0.00025,-5.284100254376729,0.2,0.0015594218857586384,1059
36,355,272640,7382,754.17,4.330507755279541,0.3459201388888889,16.010933995246887,11131.42,0.9087858200073242,0.036610015,0.00025,-5.691825310389201,0.2,0.016658867735208735,1062
37,356,273408,7387,766.62,27.109800338745117,0.3463541666666667,35.9859059519238,11231.03,0.8891777396202087,0.05815355,0.00025,-5.0171352293756275,0.2,0.01303427608218044,1065
37,357,274176,7392,758.79,9.813584327697754,0.4444444444444444,16.287486596239937,11195.75,0.8941980600357056,0.053195283,0.00025,-5.065599203109741,0.2,0.01845417924535771,1068
37,358,274944,7397,747.99,6.800481796264648,0.4097222222222222,15.42057611544927,11138.74,0.9225959181785583,0.056170154,0.00025,-5.3692816562122765,0.2,0.002852582476205296,1071
37,359,275712,7402,747.99,3.784088611602783,0.3420138888888889,9.087150226036707,11183.72,0.9460890889167786,0.041391622,0.00025,-4.875492347611321,0.2,0.011318485718220472,1074
37,360,276480,7408,756.86,6.244627475738525,0.3914930555555556,6.294992195235358,11288.25,0.96519535779953,0.040418778,0.00025,-5.297836310333675,0.2,0.016429394477098767,1077
37,361,277248,7413,755.53,8.10461139678955,0.5555555555555556,15.033516161971622,11278.26,0.9181562662124634,0.056214556,0.00025,-5.377282592985365,0.2,0.035980643562248185,1080
37,362,278016,7418,764.27,6.829453468322754,0.3611111111111111,21.87811059421963,11522.17,0.9138600826263428,0.036341876,0.00025,-5.7586990462409124,0.2,0.022177537421359576,1083
37,363,278784,7424,764.27,4.007304668426514,0.3871527777777778,9.489956183565987,11538.79,0.926605224609375,0.067215055,0.00025,-4.580645130740272,0.2,0.00773997300873614,1086
37,364,279552,7429,763.55,17.41425323486328,0.4131944444444444,21.43485403060913,11312.57,0.9203531742095947,0.045606803,0.00025,-5.3610022399160595,0.2,0.028056088796195883,1089
37,365,280320,7434,760.15,8.353631019592285,0.4249131944444444,15.921418302588993,11509.35,0.9534446001052856,0.14429222,0.00025,-4.818489730358124,0.2,0.03370233563085397,1092
37,366,281088,7439,751.54,4.458450794219971,0.4496527777777778,10.155280460913977,11382.46,0.9444392919540405,0.057679202,0.00025,-5.036161204179128,0.2,0.015524564550206479,1095
37,367,281856,7444,746.47,18.63296890258789,0.4717881944444444,25.76824559105767,11227.44,0.85662841796875,0.052916247,0.00025,-5.611506958802541,0.2,0.0435275558847934,1098
37,368,282624,7449,749.19,4.397934913635254,0.4097222222222222,15.225141174263424,11257.5,0.9186104536056519,0.056051698,0.00025,-5.615110443698035,0.2,0.021356229696215853,1101
38,369,283392,7455,749.19,8.681825637817383,0.4049479166666667,11.112408379713694,11235.42,0.9529374837875366,0.052179117,0.00025,-5.259003460407257,0.2,0.004390131216496229,1104
38,370,284160,7460,751.7,5.143610000610352,0.3541666666666667,10.09588227669398,11192.97,0.9538512825965881,0.021937512,0.00025,-4.522777908378178,0.2,-0.004614336571345727,1107
38,371,284928,7466,753.57,5.42180871963501,0.40625,8.537019037538105,11164.59,0.9269483089447021,0.04001427,0.00025,-4.80681515402264,0.2,0.004314165801689442,1110
38,372,285696,7471,759.65,5.8525872230529785,0.3728298611111111,12.983483758237627,11403.47,0.91033935546875,0.03476332,0.00025,-4.919888589117262,0.2,0.011589019843894575,1113
38,373,286464,7477,756.8,4.330551624298096,0.42578125,8.57746926943461,11347.58,0.9415355920791626,0.05065902,0.00025,-5.599528080887264,0.2,0.014485041261650622,1116
38,374,287232,7482,755.59,7.085475444793701,0.52734375,8.894874463478724,11219.17,0.9194968342781067,0.10336823,0.00025,-5.027001321315765,0.2,0.015757452903522387,1119
38,375,288000,7488,769.17,5.965205669403076,0.4431423611111111,9.168456594149271,11366.65,0.901319682598114,0.054875065,0.00025,-5.325916402869755,0.2,0.02183924533892423,1122
38,376,288768,7493,780.84,4.111008167266846,0.3975694444444444,9.273508701059553,11561.2,0.9280304312705994,0.040705528,0.00025,-5.408320950137244,0.2,0.011757382747924162,1125
38,377,289536,7499,788.14,6.551520824432373,0.5334201388888888,11.301648315456179,11677.37,0.9465540647506714,0.0726007,0.00025,-5.668838560581207,0.2,0.018761832913797762,1128
38,378,290304,7505,801.39,3.69580340385437,0.4913194444444444,7.438337587647968,11754.3,0.9646651148796082,0.08918343,0.00025,-5.560469773080614,0.2,0.02950094976565904,1131
38,379,291072,7511,805.8,9.81251049041748,0.4353298611111111,22.80239686701033,11823.7,0.9282220005989075,0.038799126,0.00025,-5.21609632174174,0.2,0.018516764549228053,1134
38,380,291840,7517,818.56,9.088728904724121,0.4639756944444444,28.491032905048794,11651.66,0.8638163805007935,0.07458058,0.00025,-5.812912272082435,0.2,0.04699425690341741,1137
